traits	patch	samp.dates	short.names
2_53078_2019.139726	3	2019.139726	2_53078
2_52915_2018.90137	3	2018.90137	2_52915
2_52913_2018.953425	3	2018.953425	2_52913
2_52912_2019.054795	3	2019.054795	2_52912
2_52910_2019.112329	3	2019.112329	2_52910
2_52905_2018.947945	3	2018.947945	2_52905
2_52904_2018.953425	3	2018.953425	2_52904
2_52898_2018.953425	3	2018.953425	2_52898
2_52896_2018.890411	3	2018.890411	2_52896
2_52895_2018.90411	3	2018.90411	2_52895
2_52894_2018.980822	3	2018.980822	2_52894
2_52893_2018.926027	3	2018.926027	2_52893
2_52891_2018.887671	3	2018.887671	2_52891
2_52888_2018.989041	3	2018.989041	2_52888
2_52887_2018.989041	3	2018.989041	2_52887
2_52884_2018.89863	3	2018.89863	2_52884
2_52880_2018.915068	3	2018.915068	2_52880
1_11618_2018.890411	2	2018.890411	1_11618
2_52877_2019.131507	3	2019.131507	2_52877
2_52875_2018.964384	3	2018.964384	2_52875
2_52873_2019.021918	3	2019.021918	2_52873
2_52872_2018.961644	3	2018.961644	2_52872
2_52869_2018.947945	3	2018.947945	2_52869
2_52866_2018.917808	3	2018.917808	2_52866
2_52865_2018.915068	3	2018.915068	2_52865
2_52864_2018.926027	3	2018.926027	2_52864
2_52863_2018.920548	3	2018.920548	2_52863
2_52858_2019.00274	3	2019.00274	2_52858
2_52857_2018.920548	3	2018.920548	2_52857
2_52853_2018.980822	3	2018.980822	2_52853
2_52852_2018.893151	3	2018.893151	2_52852
2_52850_2018.915068	3	2018.915068	2_52850
2_52849_2018.953425	3	2018.953425	2_52849
2_52848_2018.890411	3	2018.890411	2_52848
2_52846_2018.934247	3	2018.934247	2_52846
2_52845_2018.980822	3	2018.980822	2_52845
2_52843_2018.890411	3	2018.890411	2_52843
2_52841_2018.882192	3	2018.882192	2_52841
2_52837_2018.887671	3	2018.887671	2_52837
2_52836_2019.005479	3	2019.005479	2_52836
2_52834_2018.887671	3	2018.887671	2_52834
2_52833_2018.882192	3	2018.882192	2_52833
2_52828_2019.041096	3	2019.041096	2_52828
2_52824_2018.882192	3	2018.882192	2_52824
3_9518_2018.906849	4	2018.906849	3_9518
2_52822_2019.019178	3	2019.019178	2_52822
2_52820_2018.961644	3	2018.961644	2_52820
2_52819_2018.873973	3	2018.873973	2_52819
2_52816_2018.986301	3	2018.986301	2_52816
2_52813_2018.909589	3	2018.909589	2_52813
2_52812_2018.876712	3	2018.876712	2_52812
2_52809_2018.920548	3	2018.920548	2_52809
2_52808_2019.016438	3	2019.016438	2_52808
2_52806_2018.931507	3	2018.931507	2_52806
2_52804_2018.863014	3	2018.863014	2_52804
2_52801_2018.939726	3	2018.939726	2_52801
2_52799_2018.978082	3	2018.978082	2_52799
2_52798_2018.854795	3	2018.854795	2_52798
2_52795_2018.90411	3	2018.90411	2_52795
2_52793_2018.89589	3	2018.89589	2_52793
2_52790_2018.989041	3	2018.989041	2_52790
2_52787_2018.887671	3	2018.887671	2_52787
2_52783_2018.890411	3	2018.890411	2_52783
2_52778_2018.953425	3	2018.953425	2_52778
2_52777_2018.90411	3	2018.90411	2_52777
2_52776_2018.868493	3	2018.868493	2_52776
2_52775_2018.953425	3	2018.953425	2_52775
2_52774_2018.906849	3	2018.906849	2_52774
2_52773_2018.945205	3	2018.945205	2_52773
2_52772_2018.934247	3	2018.934247	2_52772
2_52771_2018.884932	3	2018.884932	2_52771
2_52767_2018.906849	3	2018.906849	2_52767
2_52766_2018.884932	3	2018.884932	2_52766
2_52765_2018.860274	3	2018.860274	2_52765
2_52763_2018.857534	3	2018.857534	2_52763
2_52761_2018.876712	3	2018.876712	2_52761
2_52758_2018.879452	3	2018.879452	2_52758
2_52755_2018.909589	3	2018.909589	2_52755
2_52754_2018.956164	3	2018.956164	2_52754
1_11616_2018.953425	2	2018.953425	1_11616
2_52752_2018.860274	3	2018.860274	2_52752
2_52748_2018.991781	3	2018.991781	2_52748
2_52747_2018.854795	3	2018.854795	2_52747
2_52742_2018.865753	3	2018.865753	2_52742
2_52739_2018.849315	3	2018.849315	2_52739
2_52738_2018.906849	3	2018.906849	2_52738
2_52737_2018.942466	3	2018.942466	2_52737
2_52733_2018.849315	3	2018.849315	2_52733
2_52731_2018.846575	3	2018.846575	2_52731
2_52730_2018.89863	3	2018.89863	2_52730
2_52723_2018.865753	3	2018.865753	2_52723
2_52721_2018.832877	3	2018.832877	2_52721
2_52719_2018.90411	3	2018.90411	2_52719
2_52718_2018.947945	3	2018.947945	2_52718
2_52714_2018.824658	3	2018.824658	2_52714
2_52713_2018.893151	3	2018.893151	2_52713
2_52712_2018.857534	3	2018.857534	2_52712
2_52710_2018.942466	3	2018.942466	2_52710
2_52706_2018.863014	3	2018.863014	2_52706
2_52698_2018.854795	3	2018.854795	2_52698
2_52697_2018.810959	3	2018.810959	2_52697
2_52696_2018.854795	3	2018.854795	2_52696
2_52695_2018.838356	3	2018.838356	2_52695
2_52690_2018.873973	3	2018.873973	2_52690
2_52686_2018.838356	3	2018.838356	2_52686
2_52683_2018.953425	3	2018.953425	2_52683
2_52682_2018.841096	3	2018.841096	2_52682
2_52679_2018.835616	3	2018.835616	2_52679
2_52678_2018.879452	3	2018.879452	2_52678
2_52677_2018.827397	3	2018.827397	2_52677
2_52676_2018.816438	3	2018.816438	2_52676
2_52675_2018.90137	3	2018.90137	2_52675
2_52673_2018.810959	3	2018.810959	2_52673
2_52667_2018.824658	3	2018.824658	2_52667
2_52664_2019.019178	3	2019.019178	2_52664
2_52663_2018.821918	3	2018.821918	2_52663
2_52660_2018.810959	3	2018.810959	2_52660
2_52659_2018.846575	3	2018.846575	2_52659
2_52657_2018.841096	3	2018.841096	2_52657
2_52654_2018.846575	3	2018.846575	2_52654
2_52652_2018.915068	3	2018.915068	2_52652
2_52648_2018.805479	3	2018.805479	2_52648
2_52646_2018.819178	3	2018.819178	2_52646
2_52642_2018.852055	3	2018.852055	2_52642
2_52641_2018.830137	3	2018.830137	2_52641
2_52640_2018.882192	3	2018.882192	2_52640
2_52639_2018.830137	3	2018.830137	2_52639
2_52634_2018.846575	3	2018.846575	2_52634
2_52633_2018.791781	3	2018.791781	2_52633
2_52626_2018.832877	3	2018.832877	2_52626
2_52625_2018.89589	3	2018.89589	2_52625
2_52622_2018.816438	3	2018.816438	2_52622
2_52618_2018.808219	3	2018.808219	2_52618
2_52617_2018.791781	3	2018.791781	2_52617
2_52616_2018.876712	3	2018.876712	2_52616
2_52615_2018.841096	3	2018.841096	2_52615
2_52613_2018.783562	3	2018.783562	2_52613
2_52609_2018.857534	3	2018.857534	2_52609
2_52608_2018.868493	3	2018.868493	2_52608
2_52607_2018.816438	3	2018.816438	2_52607
2_52606_2018.838356	3	2018.838356	2_52606
2_52604_2018.805479	3	2018.805479	2_52604
2_52603_2018.90137	3	2018.90137	2_52603
2_52596_2018.819178	3	2018.819178	2_52596
2_52595_2018.80274	3	2018.80274	2_52595
2_52594_2018.854795	3	2018.854795	2_52594
2_52591_2018.791781	3	2018.791781	2_52591
2_52587_2018.805479	3	2018.805479	2_52587
2_52586_2018.775342	3	2018.775342	2_52586
2_52581_2018.780822	3	2018.780822	2_52581
2_52580_2018.775342	3	2018.775342	2_52580
2_52579_2018.805479	3	2018.805479	2_52579
2_52575_2018.830137	3	2018.830137	2_52575
2_52572_2018.775342	3	2018.775342	2_52572
2_52565_2018.849315	3	2018.849315	2_52565
2_52564_2018.813699	3	2018.813699	2_52564
2_52563_2018.835616	3	2018.835616	2_52563
2_52561_2018.778082	3	2018.778082	2_52561
2_52557_2018.79726	3	2018.79726	2_52557
2_52553_2018.783562	3	2018.783562	2_52553
2_52552_2018.805479	3	2018.805479	2_52552
2_52546_2018.753425	3	2018.753425	2_52546
3_9514_2018.813699	4	2018.813699	3_9514
2_52545_2018.8	3	2018.8	2_52545
2_52536_2018.756164	3	2018.756164	2_52536
2_52535_2018.769863	3	2018.769863	2_52535
2_52534_2018.791781	3	2018.791781	2_52534
2_52532_2018.819178	3	2018.819178	2_52532
2_52530_2018.778082	3	2018.778082	2_52530
2_52528_2018.775342	3	2018.775342	2_52528
2_52527_2018.758904	3	2018.758904	2_52527
2_52526_2018.805479	3	2018.805479	2_52526
2_52525_2018.808219	3	2018.808219	2_52525
2_52524_2018.750685	3	2018.750685	2_52524
2_52523_2018.769863	3	2018.769863	2_52523
2_52522_2018.783562	3	2018.783562	2_52522
2_52517_2018.805479	3	2018.805479	2_52517
2_52515_2018.830137	3	2018.830137	2_52515
2_52514_2018.783562	3	2018.783562	2_52514
2_52513_2018.860274	3	2018.860274	2_52513
2_52512_2018.794521	3	2018.794521	2_52512
2_52510_2018.775342	3	2018.775342	2_52510
2_52509_2018.745205	3	2018.745205	2_52509
2_52508_2018.761644	3	2018.761644	2_52508
2_52498_2018.99726	3	2018.99726	2_52498
2_52497_2018.758904	3	2018.758904	2_52497
2_52493_2018.939726	3	2018.939726	2_52493
2_52491_2018.830137	3	2018.830137	2_52491
2_52486_2018.786301	3	2018.786301	2_52486
2_52485_2018.764384	3	2018.764384	2_52485
2_52483_2018.764384	3	2018.764384	2_52483
2_52482_2018.876712	3	2018.876712	2_52482
2_52476_2018.808219	3	2018.808219	2_52476
2_52473_2018.745205	3	2018.745205	2_52473
3_9513_2018.742466	4	2018.742466	3_9513
2_52472_2018.8	3	2018.8	2_52472
2_52469_2018.791781	3	2018.791781	2_52469
2_52459_2018.731507	3	2018.731507	2_52459
2_52458_2018.747945	3	2018.747945	2_52458
2_52455_2018.731507	3	2018.731507	2_52455
2_52453_2018.819178	3	2018.819178	2_52453
2_52448_2018.739726	3	2018.739726	2_52448
2_52447_2018.739726	3	2018.739726	2_52447
2_52445_2018.805479	3	2018.805479	2_52445
3_9512_2018.786301	4	2018.786301	3_9512
2_52439_2018.756164	3	2018.756164	2_52439
2_52435_2018.841096	3	2018.841096	2_52435
2_52434_2018.778082	3	2018.778082	2_52434
2_52429_2018.775342	3	2018.775342	2_52429
2_52428_2018.775342	3	2018.775342	2_52428
2_52423_2018.780822	3	2018.780822	2_52423
2_52421_2018.747945	3	2018.747945	2_52421
2_52420_2018.769863	3	2018.769863	2_52420
2_52419_2018.758904	3	2018.758904	2_52419
2_52418_2018.764384	3	2018.764384	2_52418
2_52417_2018.753425	3	2018.753425	2_52417
2_52416_2018.819178	3	2018.819178	2_52416
2_52415_2018.805479	3	2018.805479	2_52415
2_52414_2018.871233	3	2018.871233	2_52414
2_52413_2018.726027	3	2018.726027	2_52413
2_52411_2018.794521	3	2018.794521	2_52411
2_52408_2018.750685	3	2018.750685	2_52408
2_52406_2018.827397	3	2018.827397	2_52406
2_52402_2018.764384	3	2018.764384	2_52402
1_11611_2018.808219	2	2018.808219	1_11611
2_52388_2018.789041	3	2018.789041	2_52388
2_52382_2018.731507	3	2018.731507	2_52382
3_9511_2018.720548	4	2018.720548	3_9511
2_52380_2018.736986	3	2018.736986	2_52380
2_52377_2018.728767	3	2018.728767	2_52377
2_52375_2018.769863	3	2018.769863	2_52375
2_52372_2018.712329	3	2018.712329	2_52372
2_52370_2018.819178	3	2018.819178	2_52370
2_52366_2018.742466	3	2018.742466	2_52366
2_52363_2018.726027	3	2018.726027	2_52363
2_52362_2018.786301	3	2018.786301	2_52362
2_52361_2018.789041	3	2018.789041	2_52361
2_52359_2018.69589	3	2018.69589	2_52359
2_52358_2018.70137	3	2018.70137	2_52358
2_52357_2018.731507	3	2018.731507	2_52357
2_52355_2018.726027	3	2018.726027	2_52355
2_52354_2018.706849	3	2018.706849	2_52354
2_52352_2018.756164	3	2018.756164	2_52352
2_52348_2018.709589	3	2018.709589	2_52348
2_52343_2018.712329	3	2018.712329	2_52343
2_52336_2018.69589	3	2018.69589	2_52336
2_52335_2018.70411	3	2018.70411	2_52335
2_52334_2018.893151	3	2018.893151	2_52334
2_52333_2018.726027	3	2018.726027	2_52333
2_52330_2018.79726	3	2018.79726	2_52330
2_52329_2018.775342	3	2018.775342	2_52329
2_52322_2018.679452	3	2018.679452	2_52322
2_52319_2018.712329	3	2018.712329	2_52319
2_52318_2018.682192	3	2018.682192	2_52318
2_52315_2018.69589	3	2018.69589	2_52315
2_52313_2018.70137	3	2018.70137	2_52313
2_52312_2018.693151	3	2018.693151	2_52312
2_52310_2018.750685	3	2018.750685	2_52310
2_52309_2018.720548	3	2018.720548	2_52309
2_52306_2018.736986	3	2018.736986	2_52306
2_52304_2018.682192	3	2018.682192	2_52304
2_52302_2018.671233	3	2018.671233	2_52302
2_52301_2018.676712	3	2018.676712	2_52301
2_52300_2018.789041	3	2018.789041	2_52300
2_52299_2018.682192	3	2018.682192	2_52299
2_52298_2018.750685	3	2018.750685	2_52298
2_52296_2018.808219	3	2018.808219	2_52296
2_52295_2018.769863	3	2018.769863	2_52295
2_52294_2018.758904	3	2018.758904	2_52294
2_52293_2018.753425	3	2018.753425	2_52293
2_52290_2018.734247	3	2018.734247	2_52290
1_11610_2018.709589	2	2018.709589	1_11610
2_52289_2018.753425	3	2018.753425	2_52289
2_52288_2018.684932	3	2018.684932	2_52288
3_9509_2018.679452	4	2018.679452	3_9509
2_52284_2018.736986	3	2018.736986	2_52284
2_52283_2018.693151	3	2018.693151	2_52283
2_52282_2018.726027	3	2018.726027	2_52282
2_52281_2018.690411	3	2018.690411	2_52281
2_52280_2018.715068	3	2018.715068	2_52280
2_52279_2018.750685	3	2018.750685	2_52279
2_52277_2018.723288	3	2018.723288	2_52277
2_52276_2018.731507	3	2018.731507	2_52276
2_52274_2018.731507	3	2018.731507	2_52274
2_52273_2018.70411	3	2018.70411	2_52273
2_52272_2018.731507	3	2018.731507	2_52272
2_52271_2018.671233	3	2018.671233	2_52271
2_52953_2018.939726	3	2018.939726	2_52953
3_9508_2018.726027	4	2018.726027	3_9508
3_9507_2018.712329	4	2018.712329	3_9507
2_52265_2018.684932	3	2018.684932	2_52265
2_52263_2018.731507	3	2018.731507	2_52263
2_52260_2018.849315	3	2018.849315	2_52260
2_52258_2018.665753	3	2018.665753	2_52258
2_52254_2018.736986	3	2018.736986	2_52254
2_52253_2018.684932	3	2018.684932	2_52253
2_52251_2018.712329	3	2018.712329	2_52251
2_52250_2018.712329	3	2018.712329	2_52250
2_52246_2018.70411	3	2018.70411	2_52246
2_52243_2018.673973	3	2018.673973	2_52243
2_52241_2018.682192	3	2018.682192	2_52241
2_52240_2018.665753	3	2018.665753	2_52240
2_52238_2018.635616	3	2018.635616	2_52238
2_52237_2018.663014	3	2018.663014	2_52237
2_52236_2018.70137	3	2018.70137	2_52236
2_52234_2018.663014	3	2018.663014	2_52234
2_52233_2018.646575	3	2018.646575	2_52233
2_52230_2018.632877	3	2018.632877	2_52230
2_52228_2018.709589	3	2018.709589	2_52228
2_52227_2018.731507	3	2018.731507	2_52227
2_52226_2018.635616	3	2018.635616	2_52226
2_52225_2018.712329	3	2018.712329	2_52225
2_52224_2018.753425	3	2018.753425	2_52224
2_52931_2018.934247	3	2018.934247	2_52931
2_52223_2018.665753	3	2018.665753	2_52223
3_9505_2018.635616	4	2018.635616	3_9505
2_52221_2018.90137	3	2018.90137	2_52221
2_52220_2018.673973	3	2018.673973	2_52220
2_52218_2018.70137	3	2018.70137	2_52218
2_52216_2018.646575	3	2018.646575	2_52216
2_52210_2018.673973	3	2018.673973	2_52210
2_52209_2018.728767	3	2018.728767	2_52209
2_52207_2018.775342	3	2018.775342	2_52207
2_52206_2018.679452	3	2018.679452	2_52206
2_52202_2018.632877	3	2018.632877	2_52202
2_52200_2018.638356	3	2018.638356	2_52200
2_52199_2018.717808	3	2018.717808	2_52199
2_52198_2018.668493	3	2018.668493	2_52198
2_52192_2018.69589	3	2018.69589	2_52192
2_52190_2018.736986	3	2018.736986	2_52190
2_52189_2018.750685	3	2018.750685	2_52189
2_52188_2018.734247	3	2018.734247	2_52188
2_52185_2018.753425	3	2018.753425	2_52185
2_52184_2018.712329	3	2018.712329	2_52184
2_52182_2018.652055	3	2018.652055	2_52182
2_52179_2018.632877	3	2018.632877	2_52179
2_52178_2018.657534	3	2018.657534	2_52178
2_52177_2018.641096	3	2018.641096	2_52177
2_52174_2018.652055	3	2018.652055	2_52174
2_52171_2018.641096	3	2018.641096	2_52171
