Sample	posterior	likelihood	prior	treeLikelihood.sim7_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-950855.0947364726	-950545.0803768039	-310.01435966873504	-950545.0803768039	-293.9709458044128	29.99071661568317	1	1	0	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	0.0	1.000000	1.000000	1.000000	5	1.0	2.0	0.25	0.25	0.25	0.25
2000	-94025.53551037278	-93931.44732813597	-94.08818223681419	-93931.44732813597	-74.94076517454161	29.691804778272182	1	1	1	0	1	0	0.111340	0.111340	0.111340	8.522830	4.760922	6.815013	0.0	4.835398	0.0	4	0.06066024582834175	2.0	0.25	0.25	0.25	0.25
4000	-47631.795534265395	-47503.69862559633	-128.09690866906672	-47503.69862559633	-111.2337662130811	29.691803878934646	1	1	1	0	1	1	0.119208	0.119208	0.119208	7.086761	3.875533	3.415044	0.0	3.488937	1.651568	5	0.003444706042927939	1.9966609630875327	0.256441378651364	0.24934102563931157	0.25	0.24421759570932441
6000	-42280.44444328695	-41970.21169488737	-310.23274839957367	-41970.21169488737	-291.3629377122945	30.05575283735206	1	0	0	1	1	0	0.671813	0.671813	0.671813	3.045411	0.0	0.0	0.254880	1.795816	0.0	3	0.0017825928455042167	2.178918991216939	0.2652432949568933	0.24934102563931157	0.23079036252613694	0.2546253168776582
8000	-37704.57183123153	-37255.281721324274	-449.29010990725425	-37255.281721324274	-431.7688798379605	29.242235901767675	1	1	0	1	1	0	1.618309	1.618309	1.618309	1.577245	0.200813	0.0	0.084047	0.968118	0.0	4	9.662904792027276E-4	2.178918991216939	0.2652432949568933	0.2450866342175174	0.23079036252613694	0.2588797082994524
10000	-35195.36091830242	-34692.907052666895	-502.4538656355213	-34692.907052666895	-486.74421376458463	29.492301097196524	1	0	0	1	1	0	2.143466	2.143466	2.143466	0.700258	0.0	0.0	0.201178	0.529415	0.0	3	6.854834347895925E-4	1.9702076974723246	0.2652432949568933	0.2450866342175174	0.23079036252613694	0.2588797082994524
12000	-33550.12983224438	-33000.01812358598	-550.1117086584067	-33000.01812358598	-527.6652768558009	29.492301629126647	1	1	0	1	1	0	3.420382	3.420382	3.420382	0.755149	0.027625	0.0	0.132605	0.276949	0.0	4	5.173032924888679E-4	1.9702076974723246	0.2652432949568933	0.2450866342175174	0.23079036252613694	0.2588797082994524
14000	-32084.549805976454	-31511.81702694897	-572.7327790274823	-31511.81702694897	-553.792938079177	29.492302692043996	1	1	0	1	1	0	3.433041	3.433041	3.433041	0.651658	0.092150	0.0	0.117356	0.307462	0.0	4	4.4562065803125295E-4	1.9702076974723246	0.27308825609161475	0.2450866342175174	0.23078758191069448	0.2510375277801734
16000	-30449.984504765744	-29852.00009548135	-597.9844092843935	-29852.00009548135	-577.3656220689624	29.492302213703475	1	0	0	1	1	0	4.261220	4.261220	4.261220	0.865795	0.0	0.0	0.087844	0.204989	0.0	3	3.5812854793869223E-4	1.9702076974723246	0.2729185401530457	0.2450866342175174	0.23095729784926353	0.2510375277801734
18000	-28682.045422650062	-28067.002647165056	-615.042775485007	-28067.002647165056	-591.525293866396	28.72943177718367	1	1	0	1	1	0	4.081510	4.081510	4.081510	0.448154	0.043689	0.0	0.255503	0.270301	0.0	4	2.905524833615851E-4	1.9702076974723246	0.2729185401530457	0.2450866342175174	0.23095729784926353	0.2510375277801734
20000	-28174.511315838878	-27565.57161878962	-608.9396970492546	-27565.57161878962	-587.9035983255651	28.729432330155156	1	0	0	1	1	0	3.803664	3.803664	3.803664	0.417032	0.0	0.0	0.076973	0.188348	0.0	3	2.66409007346166E-4	1.9702076974723246	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
22000	-27582.253542493352	-26986.466337247883	-595.7872052454682	-26986.466337247883	-573.1499549318667	28.78202456233476	1	0	0	1	1	0	3.635494	3.635494	3.635494	0.424393	0.0	0.0	0.128564	0.242271	0.0	3	2.6475103069341024E-4	1.9702076974723246	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
24000	-27091.637864219178	-26488.18727153352	-603.4505926856577	-26488.18727153352	-584.1088093470097	28.795534713729335	1	1	0	1	1	1	3.402021	3.402021	3.402021	0.473577	0.007042	0.0	0.111170	0.160709	0.052256	5	2.3703371583024062E-4	1.9702076974723246	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
26000	-26782.489372351505	-26189.32039106636	-593.1689812851434	-26189.32039106636	-570.7322239448062	28.795538882439924	1	0	0	1	1	1	3.813223	3.813223	3.813223	0.357677	0.0	0.0	0.141439	0.228009	0.067133	4	2.5439197161529703E-4	1.9702076974723246	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
28000	-26697.747347583572	-26119.711202614835	-578.0361449687377	-26119.711202614835	-556.4031703601771	28.795524013633315	1	0	0	1	1	0	3.071033	3.071033	3.071033	0.339882	0.0	0.0	0.125188	0.252085	0.0	3	2.532207106867814E-4	1.9702076974723246	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
30000	-26349.973144470183	-25776.03829273127	-573.9348517389103	-25776.03829273127	-552.4494241644059	28.828990807200935	1	0	1	1	1	0	3.106326	3.106326	3.106326	0.277540	0.0	0.095424	0.121192	0.104646	0.0	4	2.3627740069567696E-4	1.9702076974723246	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
32000	-26056.17110587698	-25472.522333092227	-583.6487727847538	-25472.522333092227	-560.7286662824738	28.842436239895406	1	0	1	1	1	0	3.032834	3.032834	3.032834	0.430170	0.0	0.101285	0.121762	0.217873	0.0	4	2.4314778871158E-4	1.9237135556553742	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
34000	-25690.412844786533	-25106.30815625691	-584.1046885296229	-25106.30815625691	-562.9754475004694	28.842469052421283	1	1	1	1	1	1	3.028169	3.028169	3.028169	0.088813	0.141616	0.220938	0.056058	0.135589	0.100895	6	2.053173733903991E-4	1.980567112216752	0.2823732649655259	0.23509964233427444	0.23095729784926353	0.2515697948509361
36000	-25487.489437240172	-24914.114651325697	-573.3747859144768	-24914.114651325697	-552.5000399176638	28.84239691991011	1	1	1	1	1	0	3.175495	3.175495	3.175495	0.220150	0.062949	0.059480	0.126004	0.299590	0.0	5	2.123579041010781E-4	1.980567112216752	0.2823732649655259	0.23509964233427444	0.2256769019764389	0.25685019072376075
