name	date
Korea/KCDC03/2020|EPI_ISL_407193|South_Korea|Gyeonggi-do|NA|NA|2020-01-25	2020.0655737704917
Hangzhou/HZCDC0001/2020|EPI_ISL_407313|China|Zhejiang|Hangzhou|Wuhan|2020-01-19	2020.049180327869
Australia/NSW01/2020|EPI_ISL_407893|Australia|New_South_Wales|Sydney|Wuhan|2020-01-24	2020.0628415300546
Australia/QLD01/2020|EPI_ISL_407894|Australia|Queensland|Gold_Coast|Wuhan|2020-01-28	2020.0737704918033
Australia/QLD02/2020|EPI_ISL_407896|Australia|Queensland|Gold_Coast|Wuhan|2020-01-30	2020.0792349726776
Belgium/GHB-03021/2020|EPI_ISL_407976|Belgium|Leuven|NA|Wuhan|2020-02-03	2020.0901639344263
Singapore/2/2020|EPI_ISL_407987|Singapore|NA|NA|NA|2020-01-25	2020.0655737704917
Singapore/3/2020|EPI_ISL_407988|Singapore|NA|NA|NA|2020-02-01	2020.0846994535518
USA/CA3/2020|EPI_ISL_408008|USA|California|NA|Wuhan|2020-01-29	2020.0765027322404
USA/CA4/2020|EPI_ISL_408009|USA|California|NA|NA|2020-01-29	2020.0765027322404
USA/CA5/2020|EPI_ISL_408010|USA|California|NA|Wuhan|2020-01-29	2020.0765027322404
France/IDF0515/2020|EPI_ISL_408430|France|Ile-de-France|Paris|NA|2020-01-29	2020.0765027322404
France/IDF0626/2020|EPI_ISL_408431|France|Ile-de-France|Paris|NA|2020-01-29	2020.0765027322404
Chongqing/YC01/2020|EPI_ISL_408478|China|Chongqing|Yongchuan|NA|2020-01-21	2020.0546448087432
Chongqing/ZX01/2020|EPI_ISL_408479|China|Chongqing|Zhongxian|NA|2020-01-23	2020.0601092896175
Yunnan/IVDC-YN-003/2020|EPI_ISL_408480|China|Yunnan|Kunming|NA|2020-01-17	2020.0437158469945
Chongqing/IVDC-CQ-001/2020|EPI_ISL_408481|China|Chongqing|NA|NA|2020-01-18	2020.0464480874316
Shandong/IVDC-SD-001/2020|EPI_ISL_408482|China|Shandong|Qingdao|NA|2020-01-19	2020.049180327869
Sichuan/IVDC-SC-001/2020|EPI_ISL_408484|China|Sichuan|Chengdu|NA|2020-01-15	2020.0382513661202
Jiangxi/IVDC-JX-002/2020|EPI_ISL_408486|China|Jiangxi|Pingxiang|NA|2020-01-11	2020.0273224043715
Jiangsu/IVDC-JS-001/2020|EPI_ISL_408488|China|Jiangsu|Huaian|NA|2020-01-19	2020.049180327869
Taiwan/NTU01/2020|EPI_ISL_408489|Taiwan|Taipei|NA|Wuhan|2020-01-31	2020.0819672131147
Wuhan/IVDC-HB-envF13-20/2020|EPI_ISL_408514|China|Hubei|Wuhan|NA|2020-01-01	2020.0
Wuhan/IVDC-HB-envF13-21/2020|EPI_ISL_408515|China|Hubei|Wuhan|NA|2020-01-01	2020.0
Japan/TY-WK-012/2020|EPI_ISL_408665|Japan|Tokyo|NA|NA|2020-01-29	2020.0765027322404
Japan/TY-WK-501/2020|EPI_ISL_408666|Japan|Tokyo|NA|NA|2020-01-31	2020.0819672131147
Japan/TY-WK-521/2020|EPI_ISL_408667|Japan|Tokyo|NA|NA|2020-01-31	2020.0819672131147
Vietnam/VR03-38142/2020|EPI_ISL_408668|Vietnam|Thanh_Hoa|NA|Wuhan|2020-01-24	2020.0628415300546
Japan/KY-V-029/2020|EPI_ISL_408669|Japan|Kyoto|NA|NA|2020-01-29	2020.0765027322404
USA/WI1/2020|EPI_ISL_408670|USA|Wisconsin|NA|Beijing|2020-01-31	2020.0819672131147
Sydney/2/2020|EPI_ISL_408976|Australia|New_South_Wales|Sydney|Wuhan|2020-01-22	2020.0573770491803
Sydney/3/2020|EPI_ISL_408977|Australia|New_South_Wales|Sydney|Wuhan|2020-01-25	2020.0655737704917
Wuhan/WH05/2020|EPI_ISL_408978|China|Hubei|Wuhan|NA|2020-02-07	2020.1010928961748
USA-MA1/2020|EPI_ISL_409067|USA|Massachusetts|Boston|Wuhan|2020-01-29	2020.0765027322404
USA/CA6/2020|EPI_ISL_410044|USA|California|NA|NA|2020-01-27	2020.0710382513662
USA/IL2/2020|EPI_ISL_410045|USA|Illinois|NA|NA|2020-01-28	2020.0737704918033
Taiwan/NTU02/2020|EPI_ISL_410218|Taiwan|Taipei|NA|Wuhan|2020-02-05	2020.0956284153006
Nepal/61/2020|EPI_ISL_410301|Nepal|Kathmandu|NA|Wuhan|2020-01-13	2020.032786885246
France/RA739/2020|EPI_ISL_410486|France|Rhone-Alpes|Contamines|NA|2020-02-08	2020.103825136612
Japan/NA-20-05-1/2020|EPI_ISL_410531|Japan|Nara|NA|NA|2020-01-25	2020.0655737704917
Japan/OS-20-07-1/2020|EPI_ISL_410532|Japan|Osaka|NA|NA|2020-01-23	2020.0601092896175
Singapore/4/2020|EPI_ISL_410535|Singapore|NA|NA|NA|2020-02-03	2020.0901639344263
Singapore/5/2020|EPI_ISL_410536|Singapore|NA|NA|NA|2020-02-06	2020.0983606557377
Singapore/6/2020|EPI_ISL_410537|Singapore|NA|NA|NA|2020-02-09	2020.1065573770493
Italy/INMI1-isl/2020|EPI_ISL_410545|Italy|Rome|NA|Hubei|2020-01-29	2020.0765027322404
Singapore/7/2020|EPI_ISL_410713|Singapore|NA|NA|NA|2020-01-27	2020.0710382513662
Singapore/8/2020|EPI_ISL_410714|Singapore|NA|NA|NA|2020-02-03	2020.0901639344263
Singapore/9/2020|EPI_ISL_410715|Singapore|NA|NA|NA|2020-02-04	2020.0928961748634
Singapore/10/2020|EPI_ISL_410716|Singapore|NA|NA|NA|2020-02-04	2020.0928961748634
Australia/QLD03/2020|EPI_ISL_410717|Australia|Queensland|Gold_Coast|Wuhan|2020-02-05	2020.0956284153006
Australia/QLD04/2020|EPI_ISL_410718|Australia|Queensland|Gold_Coast|Wuhan|2020-02-05	2020.0956284153006
Singapore/11/2020|EPI_ISL_410719|Singapore|NA|NA|NA|2020-02-02	2020.0874316939892
Fujian/8/2020|EPI_ISL_411060|China|Fujian|NA|NA|2020-01-21	2020.0546448087432
Fujian/13/2020|EPI_ISL_411066|China|Fujian|NA|NA|2020-01-22	2020.0573770491803
France/IDF0571/2020|EPI_ISL_411218|France|Ile-de-France|Paris|NA|2020-02-02	2020.0874316939892
France/IDF0386/2020|EPI_ISL_411219|France|Ile-de-France|Paris|NA|2020-01-28	2020.0737704918033
