mean	std	min	2_5	50	97_5	max	ESS	2_5_hpd	97_5_hpd	parameter	BF	p_value	value	model
-11945.381665623088	44.28981784038735	-12120.85789210484	-12035.295426377295	-11944.245822867339	-11861.6005314098	-11793.144339378572	220.54749850458123	-12031.3736229866	-11858.580788803489	posterior				dta
-4183.155620984783	41.91509887307061	-4351.604930947183	-4272.185385351331	-4180.166131744128	-4109.128036344309	-4040.972195106775	181.62191390434174	-4268.14646902502	-4107.700915238318	prior				dta
-7762.226044638304	14.646061657622162	-7811.077401799654	-7791.275962584756	-7762.08956761999	-7732.613284672085	-7716.543863109828	1347.6005402765652	-7791.504844718926	-7733.239147811245	likelihood				dta
45.76647357407943	8.557127751581776	25.751632919392296	32.812501197895415	44.5614549766147	65.28146116975395	98.667216213359	256.37495328446647	31.242698320689517	62.963674507064496	treeHeight				dta
1964.3568140971506	8.55712775158177	1911.4560714578708	1944.8418265014761	1965.5618326946153	1977.3107864733342	1984.3716547518377	256.374953029661	1947.1596131641652	1978.8805893505405	ageRoot				dta
855.9032054206364	133.43228522380542	531.1428108750572	650.0567200397909	833.0720314665084	1158.9593231725455	1527.1983297181114	162.82449944436578	627.813300149775	1134.2876971333892	treeLength				dta
99.01648603318716	19.808262314469488	49.839195168649134	68.01480078194432	95.895079312281	144.70489857295917	207.5300163537702	186.52167609915412	65.58311148334487	139.56622810542888	Ne				dta
11.293282529354629	1.155119912590765	7.576140049244984	9.24367993292972	11.21587950161815	13.695915762207356	15.566867346659958	2700.0	9.240662473330996	13.689909822577349	kappa				dta
0.3617394596123625	0.043002927197879584	0.2400771108913963	0.28471695709598344	0.35838838347481594	0.45335190241822354	0.5738396314592721	2490.887027259239	0.278213882246651	0.4436041465472117	gammaShape				dta
0.0005950799077996832	9.437239608655449e-05	0.0003090325828186792	0.0004182289027243315	0.0005935333324760016	0.0007906865448167257	0.000997857210788014	227.50609930602445	0.0004080949533258739	0.0007731510796171473	ucldMean				dta
