mean	std	min	2_5	50	97_5	max	ESS	2_5_hpd	97_5_hpd	parameter	1%	5%	10%	15%	20%	25%	30%	35%	40%	45%	55%	60%	65%	70%	75%	80%	85%	90%	95%	99%	BF	p_value	value	model
-8702.398467319945	31.38290612213678	-8828.096651706846	-8766.113591973994	-8702.256391596045	-8641.64742424538	-8600.008684296969	493.57101548912533	-8763.167814765713	-8640.658149344641	posterior																								basta
-7739.259560706137	15.995696655131988	-7798.721748315456	-7772.307903893732	-7739.49342584419	-7708.563396925281	-7690.710720547404	1163.285454703171	-7773.336573439337	-7710.466547791326	treeLikelihood																								basta
-78.88320795484643	6.459929492521667	-106.2205433946213	-92.52983538629961	-78.7868156498595	-66.92942712347896	-56.2289920582205	980.5097806676764	-92.76427769063326	-67.30718642151922	prior																								basta
-884.2556986589625	23.32725054215037	-974.5496521073436	-930.9421258180066	-883.3837942885668	-839.5054932177575	-814.9840830925771	403.4498756891732	-929.2565657706458	-838.9459626678863	treePrior																								basta
7.355422293821501	0.7529904328620459	5.279759353707761	6.008195598976553	7.323562349881842	8.951730175154589	10.130475641116492	558.7121001993042	5.987248808788904	8.892257428045282	Ne_Catanduanes																								basta
7.355422293821501	0.7529904328620459	5.279759353707761	6.008195598976553	7.323562349881842	8.951730175154589	10.130475641116492	558.7121001993042	5.987248808788904	8.892257428045282	Ne_Cebu																								basta
7.355422293821501	0.7529904328620459	5.279759353707761	6.008195598976553	7.323562349881842	8.951730175154589	10.130475641116492	558.7121001993042	5.987248808788904	8.892257428045282	Ne_Luzon																								basta
7.355422293821501	0.7529904328620459	5.279759353707761	6.008195598976553	7.323562349881842	8.951730175154589	10.130475641116492	558.7121001993042	5.987248808788904	8.892257428045282	Ne_Mindanao																								basta
7.355422293821501	0.7529904328620459	5.279759353707761	6.008195598976553	7.323562349881842	8.951730175154589	10.130475641116492	558.7121001993042	5.987248808788904	8.892257428045282	Ne_NegrosOriental																								basta
7.355422293821501	0.7529904328620459	5.279759353707761	6.008195598976553	7.323562349881842	8.951730175154589	10.130475641116492	558.7121001993042	5.987248808788904	8.892257428045282	Ne_OrientalMindoro																								basta
0.09555555555555556	0.2940352229965033	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_Cebu																								basta
0.2840740740740741	0.45105581346849066	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_Luzon																								basta
0.027037037037037037	0.16222139886992074	0.0	0.0	0.0	1.0	1.0		0.0	0.0	indicators_Catanduanes_Mindanao																								basta
0.7581481481481481	0.4282843327832264	0.0	0.0	1.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_NegrosOriental																								basta
0.09666666666666666	0.29555807512027693	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_OrientalMindoro																								basta
0.06111111111111111	0.23957838311277987	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_Catanduanes																								basta
0.04777777777777778	0.21333522445746947	0.0	0.0	0.0	1.0	1.0		0.0	0.0	indicators_Cebu_Luzon																								basta
0.0962962962962963	0.295051796159263	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_Mindanao																								basta
0.21777777777777776	0.412811983209713	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_NegrosOriental																								basta
0.047407407407407405	0.21254805864320284	0.0	0.0	0.0	1.0	1.0		0.0	0.0	indicators_Cebu_OrientalMindoro																								basta
0.51	0.49999258979318073	0.0	0.0	1.0	1.0	1.0		0.0	1.0	indicators_Luzon_Catanduanes																								basta
0.005925925925925926	0.07676582519223915	0.0	0.0	0.0	0.0	1.0		0.0	0.0	indicators_Luzon_Cebu																								basta
0.005185185185185185	0.07183460328249983	0.0	0.0	0.0	0.0	1.0		0.0	0.0	indicators_Luzon_Mindanao																								basta
0.030740740740740742	0.17264642234998007	0.0	0.0	0.0	1.0	1.0		0.0	0.0	indicators_Luzon_NegrosOriental																								basta
0.9855555555555555	0.11933598343365388	0.0	1.0	1.0	1.0	1.0		1.0	1.0	indicators_Luzon_OrientalMindoro																								basta
0.11370370370370371	0.3175098572237107	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_Catanduanes																								basta
0.3125925925925926	0.4636357166480006	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_Cebu																								basta
0.0674074074074074	0.2507726864979261	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_Luzon																								basta
0.28703703703703703	0.4524628156998865	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_NegrosOriental																								basta
0.08481481481481482	0.27865753402677	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_OrientalMindoro																								basta
0.020370370370370372	0.14128981568189583	0.0	0.0	0.0	0.0	1.0		0.0	0.0	indicators_NegrosOriental_Catanduanes																								basta
0.605925925925926	0.48874141210721367	0.0	0.0	1.0	1.0	1.0		0.0	1.0	indicators_NegrosOriental_Cebu																								basta
0.015185185185185185	0.12231163528967738	0.0	0.0	0.0	0.0	1.0		0.0	0.0	indicators_NegrosOriental_Luzon																								basta
0.08666666666666667	0.28139808686291284	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_NegrosOriental_Mindanao																								basta
0.020370370370370372	0.14128981568189583	0.0	0.0	0.0	0.0	1.0		0.0	0.0	indicators_NegrosOriental_OrientalMindoro																								basta
