model	coef	intercept	slope	nSim	protocol	nSeq	matrix
glm	0.9976078576799973	0.26073936404372944	0.9931122280348299	39	uniform	150	3demes
dta	0.9962768134346339	0.20262088366411213	1.0213187620581616	39	biased_20	500	3demes
mascot	0.9884808901199513	0.25182336398299654	1.0152768158342844	39	biased_20	500	3demes
glm	0.9941013136171173	0.02230644503379864	0.9902342911157679	39	biased_20	500	3demes
dta	0.9866666071623302	0.5806199623049277	0.9692406488122429	39	biased_5	150	3demes
mascot	0.9855455560964176	0.18241111970639423	1.033040292316526	39	biased_5	150	3demes
basta	0.9882953117258095	0.7102269776716028	1.009541153218973	39	biased_5	150	3demes
glm	0.987737075173115	0.2981149746288114	1.0629599974587551	39	biased_5	150	3demes
dta	0.9793455594513426	0.7603259201692723	0.976822346514784	39	maxPerRegionYear_10	150	3demes
mascot	0.9827896009305198	0.3231433498837859	0.9816673682286533	39	maxPerRegionYear_10	150	3demes
basta	0.9776557833110219	0.6738069387828354	0.9907696610201481	39	maxPerRegionYear_10	150	3demes
dta	0.9958321516281944	0.6211417075837478	0.9957636170788349	39	biased_2.5	150	3demes
mascot	0.991991461609575	0.8447550222356401	0.9817926978232739	39	biased_2.5	150	3demes
basta	0.9921492929195085	0.24128163005495118	1.0139281858640814	39	biased_2.5	150	3demes
glm	0.9877785265100795	0.7952129009124906	0.93490428296292	39	biased_2.5	150	3demes
dta	0.993899951325234	0.48963041509614236	1.0060741252431107	39	uniformS_10	150	3demes
mascot	0.9846925412854117	0.17125855595513606	0.979919825030455	39	uniformS_10	150	3demes
basta	0.9956450053808189	0.632343386824127	0.973460033228779	39	uniformS_10	150	3demes
glm	0.9947952525017869	0.4349825887255765	0.9576051624815634	39	uniformS_10	150	3demes
dta	0.9965050688676098	0.520072417346551	0.9927119152279664	39	maxPerRegion_20	150	3demes
mascot	0.9967479670232673	-0.0032196199976404216	1.0160163236697894	39	maxPerRegion_20	150	3demes
basta	0.9928957935037818	0.3588046471090891	0.9811944299276205	39	maxPerRegion_20	150	3demes
dta	0.99554213162999	0.277176869905869	0.9948041933057827	39	maxPerRegionYear_20	500	3demes
mascot	0.9919607376479953	-0.009120220154347436	0.9924237778918776	39	maxPerRegionYear_20	500	3demes
dta	0.9866009601643541	0.735940068622515	0.9701552051758104	39	biased_20	150	3demes
mascot	0.9908048738644525	0.6324700801928387	0.9615505789643932	39	biased_20	150	3demes
basta	0.9761249253400816	1.450832748304089	0.9455198605999997	39	biased_20	150	3demes
glm	0.9929057072167113	0.19301281155247452	0.9597144343403261	39	biased_20	150	3demes
dta	0.9945791479609494	0.016926315711128126	1.0298365209666767	39	maxPerRegion_10	500	3demes
mascot	0.991902679437026	0.10246054858028586	1.0158466935264951	39	maxPerRegion_10	500	3demes
dta	0.996969154601585	0.3018038704177961	0.9875667255424915	35	biased_10	500	3demes
