source	destination	value	model	nSim	nSeq	protocol
Region1	Region1	36.0	simulation	1	500	uniformS_20
Region2	Region1	6.0	simulation	1	500	uniformS_20
Region3	Region1	2.0	simulation	1	500	uniformS_20
Region1	Region2	22.0	simulation	1	500	uniformS_20
Region2	Region2	835.0	simulation	1	500	uniformS_20
Region3	Region2	16.0	simulation	1	500	uniformS_20
Region1	Region3	0.0	simulation	1	500	uniformS_20
Region2	Region3	1.0	simulation	1	500	uniformS_20
Region3	Region3	54.0	simulation	1	500	uniformS_20
Region1	Region1	230.0	simulation	1	500	maxPerRegionYear_5
Region2	Region1	26.0	simulation	1	500	maxPerRegionYear_5
Region3	Region1	3.0	simulation	1	500	maxPerRegionYear_5
Region1	Region2	16.0	simulation	1	500	maxPerRegionYear_5
Region2	Region2	351.0	simulation	1	500	maxPerRegionYear_5
Region3	Region2	19.0	simulation	1	500	maxPerRegionYear_5
Region1	Region3	4.0	simulation	1	500	maxPerRegionYear_5
Region2	Region3	5.0	simulation	1	500	maxPerRegionYear_5
Region3	Region3	325.0	simulation	1	500	maxPerRegionYear_5
Region1	Region1	126.0	simulation	1	500	biased_2.5
Region2	Region1	15.0	simulation	1	500	biased_2.5
Region3	Region1	3.0	simulation	1	500	biased_2.5
Region1	Region2	22.0	simulation	1	500	biased_2.5
Region2	Region2	596.0	simulation	1	500	biased_2.5
Region3	Region2	12.0	simulation	1	500	biased_2.5
Region1	Region3	3.0	simulation	1	500	biased_2.5
Region2	Region3	6.0	simulation	1	500	biased_2.5
Region3	Region3	185.0	simulation	1	500	biased_2.5
Region1	Region1	86.0	simulation	1	500	maxPerRegionYear_50
Region2	Region1	7.0	simulation	1	500	maxPerRegionYear_50
Region3	Region1	3.0	simulation	1	500	maxPerRegionYear_50
Region1	Region2	27.0	simulation	1	500	maxPerRegionYear_50
Region2	Region2	653.0	simulation	1	500	maxPerRegionYear_50
Region3	Region2	13.0	simulation	1	500	maxPerRegionYear_50
Region1	Region3	3.0	simulation	1	500	maxPerRegionYear_50
Region2	Region3	5.0	simulation	1	500	maxPerRegionYear_50
Region3	Region3	168.0	simulation	1	500	maxPerRegionYear_50
Region1	Region1	157.0	simulation	1	500	uniformS_2.5
Region2	Region1	12.0	simulation	1	500	uniformS_2.5
Region3	Region1	2.0	simulation	1	500	uniformS_2.5
Region1	Region2	19.0	simulation	1	500	uniformS_2.5
Region2	Region2	541.0	simulation	1	500	uniformS_2.5
Region3	Region2	18.0	simulation	1	500	uniformS_2.5
Region1	Region3	3.0	simulation	1	500	uniformS_2.5
Region2	Region3	3.0	simulation	1	500	uniformS_2.5
Region3	Region3	215.0	simulation	1	500	uniformS_2.5
Region1	Region1	29.0	simulation	1	500	biased_20
Region2	Region1	2.0	simulation	1	500	biased_20
