regions	value	model	nSim	nSeq	protocol
Region3	2018.169863	simulation	33	500	maxPerRegion_50
Region1	1989.361644	simulation	33	500	uniformS_5
Region2	2015.808219	simulation	33	500	uniformS_5
Region3	2017.838356	simulation	33	500	uniformS_5
Region1	1989.361644	simulation	33	500	uniformS_10
Region2	2013.3424670000002	simulation	33	500	uniformS_10
Region3	2018.1424660000002	simulation	33	500	uniformS_10
Region1	1989.361644	simulation	33	500	biased_50
Region2	2016.5205480000002	simulation	33	500	biased_50
Region3	2017.8602740000001	simulation	33	500	biased_50
Region1	1989.361644	simulation	33	500	maxPerRegion_10
Region2	2013.1972600000001	simulation	33	500	maxPerRegion_10
Region3	2018.2876710000003	simulation	33	500	maxPerRegion_10
Region1	1989.361644	simulation	33	500	uniformS_50
Region2	2015.873973	simulation	33	500	uniformS_50
Region3	2018.169863	simulation	33	500	uniformS_50
Region1	1989.361644	simulation	33	500	maxPerRegion_2.5
Region2	2012.517809	simulation	33	500	maxPerRegion_2.5
Region3	2018.421918	simulation	33	500	maxPerRegion_2.5
Region1	1989.361644	simulation	33	500	uniformS_2.5
Region2	2016.013961	simulation	33	500	uniformS_2.5
Region3	2018.4767120000001	simulation	33	500	uniformS_2.5
Region1	1989.361644	simulation	33	500	maxPerRegion_20
Region2	2009.545206	simulation	33	500	maxPerRegion_20
Region3	2018.712329	simulation	33	500	maxPerRegion_20
Region1	1989.0	simulation	46	500	uniformS_5
Region2	2010.076713	simulation	46	500	uniformS_5
Region3	2008.010959	simulation	46	500	uniformS_5
Region1	1989.0	simulation	46	500	uniformS_50
Region2	2008.0630139999998	simulation	46	500	uniformS_50
Region3	2006.7780819999998	simulation	46	500	uniformS_50
Region1	1989.0	simulation	46	500	biased_50
Region2	2010.9287669999999	simulation	46	500	biased_50
Region3	2008.863013	simulation	46	500	biased_50
Region1	1989.0	simulation	46	500	maxPerRegionYear_5
Region2	2010.9643839999999	simulation	46	500	maxPerRegionYear_5
Region3	2009.578082	simulation	46	500	maxPerRegionYear_5
Region1	1989.0	simulation	46	500	maxPerRegionYear_50
Region2	2010.961644	simulation	46	500	maxPerRegionYear_50
Region3	2008.89589	simulation	46	500	maxPerRegionYear_50
Region1	1989.0	simulation	46	500	maxPerRegionYear_20
Region2	2011.1315069999998	simulation	46	500	maxPerRegionYear_20
Region3	2009.0657529999999	simulation	46	500	maxPerRegionYear_20
Region1	1989.0	simulation	46	500	biased_2.5
Region2	2010.438356	simulation	46	500	biased_2.5
Region3	2008.958904	simulation	46	500	biased_2.5
Region1	1989.0	simulation	46	500	uniformS_20
Region2	2008.147945	simulation	46	500	uniformS_20
Region3	2007.0082189999998	simulation	46	500	uniformS_20
Region1	1989.0	simulation	46	500	maxPerRegion_20
Region2	2008.0246579999998	simulation	46	500	maxPerRegion_20
Region3	2006.7780819999998	simulation	46	500	maxPerRegion_20
Region1	1989.0	simulation	46	500	maxPerRegion_10
Region2	2010.564107	simulation	46	500	maxPerRegion_10
Region3	2009.996983	simulation	46	500	maxPerRegion_10
Region1	1989.0	simulation	46	500	maxPerRegionYear_2.5
Region2	2011.757602	simulation	46	500	maxPerRegionYear_2.5
Region3	2010.393218	simulation	46	500	maxPerRegionYear_2.5
Region1	1989.0	simulation	46	500	biased_5
Region2	2010.868493	simulation	46	500	biased_5
Region3	2007.8	simulation	46	500	biased_5
Region1	1989.0	simulation	46	500	biased_20
Region2	2009.471233	simulation	46	500	biased_20
Region3	2008.084931	simulation	46	500	biased_20
Region1	1989.0	simulation	46	500	uniformS_10
Region2	2010.564107	simulation	46	500	uniformS_10
Region3	2009.714793	simulation	46	500	uniformS_10
Region1	1989.0	simulation	46	500	maxPerRegion_50
Region2	2009.0383559999998	simulation	46	500	maxPerRegion_50
Region3	2006.9726019999998	simulation	46	500	maxPerRegion_50
Region1	1989.0	simulation	46	500	maxPerRegionYear_10
Region2	2011.383285	simulation	46	500	maxPerRegionYear_10
Region3	2009.996983	simulation	46	500	maxPerRegionYear_10
Region1	1989.0	simulation	46	500	biased_10
Region2	2011.260274	simulation	46	500	biased_10
Region3	2009.591781	simulation	46	500	biased_10
Region1	1989.0	simulation	46	500	maxPerRegion_5
Region2	2010.145206	simulation	46	500	maxPerRegion_5
Region3	2009.578082	simulation	46	500	maxPerRegion_5
Region1	1989.0	simulation	46	500	uniform
Region2	2010.838356	simulation	46	500	uniform
Region3	2009.452054	simulation	46	500	uniform
Region1	1989.0	simulation	46	500	maxPerRegion_2.5
Region2	2010.134247	simulation	46	500	maxPerRegion_2.5
Region3	2008.769863	simulation	46	500	maxPerRegion_2.5
Region1	1989.0	simulation	46	500	uniformS_2.5
Region2	2011.005479	simulation	46	500	uniformS_2.5
Region3	2007.832674	simulation	46	500	uniformS_2.5
Region1	1989.065753	simulation	39	500	uniformS_2.5
Region2	2017.50137	simulation	39	500	uniformS_2.5
Region3	1999.008167	simulation	39	500	uniformS_2.5
Region1	1989.065753	simulation	39	500	maxPerRegion_20
Region2	2017.69315	simulation	39	500	maxPerRegion_20
Region3	1997.928766	simulation	39	500	maxPerRegion_20
Region1	1989.065753	simulation	39	500	maxPerRegionYear_50
Region2	2017.635616	simulation	39	500	maxPerRegionYear_50
Region3	2003.514274	simulation	39	500	maxPerRegionYear_50
Region1	1991.863014	simulation	39	500	biased_10
Region2	2015.8438350000001	simulation	39	500	biased_10
Region3	2002.469204	simulation	39	500	biased_10
Region1	1989.065753	simulation	39	500	maxPerRegion_10
Region2	2017.2164380000002	simulation	39	500	maxPerRegion_10
Region3	2001.150685	simulation	39	500	maxPerRegion_10
Region1	1989.065753	simulation	39	500	biased_20
Region2	2016.041095	simulation	39	500	biased_20
Region3	1999.849314	simulation	39	500	biased_20
Region1	1989.065753	simulation	39	500	maxPerRegionYear_5
Region2	2016.9479450000001	simulation	39	500	maxPerRegionYear_5
Region3	2008.863014	simulation	39	500	maxPerRegionYear_5
Region1	1991.183562	simulation	39	500	uniformS_50
Region2	2018.550686	simulation	39	500	uniformS_50
Region3	1997.683652	simulation	39	500	uniformS_50
Region1	1989.065753	simulation	39	500	maxPerRegionYear_10
Region2	2016.8931499999999	simulation	39	500	maxPerRegionYear_10
Region3	2002.967122	simulation	39	500	maxPerRegionYear_10
Region1	1989.065753	simulation	39	500	uniformS_10
Region2	2013.479452	simulation	39	500	uniformS_10
Region3	1999.8141480000002	simulation	39	500	uniformS_10
Region1	1989.065753	simulation	39	500	uniformS_20
Region2	2017.065753	simulation	39	500	uniformS_20
Region3	1999.885186	simulation	39	500	uniformS_20
Region1	1989.065753	simulation	39	500	biased_2.5
Region2	2011.16368	simulation	39	500	biased_2.5
Region3	2000.2301370000002	simulation	39	500	biased_2.5
Region1	1989.065753	simulation	39	500	maxPerRegionYear_2.5
Region2	2017.958904	simulation	39	500	maxPerRegionYear_2.5
Region3	2009.0876710000002	simulation	39	500	maxPerRegionYear_2.5
Region1	1989.065753	simulation	39	500	maxPerRegion_50
Region2	2016.7452050000002	simulation	39	500	maxPerRegion_50
Region3	2003.317014	simulation	39	500	maxPerRegion_50
Region1	1989.065753	simulation	39	500	maxPerRegionYear_20
Region2	2017.9424660000002	simulation	39	500	maxPerRegionYear_20
Region3	1998.0356160000001	simulation	39	500	maxPerRegionYear_20
Region1	1989.065753	simulation	39	500	uniform
Region2	2016.1534250000002	simulation	39	500	uniform
Region3	2004.2109590000002	simulation	39	500	uniform
Region1	1989.065753	simulation	39	500	maxPerRegion_2.5
Region2	2016.0356160000001	simulation	39	500	maxPerRegion_2.5
Region3	1997.487671	simulation	39	500	maxPerRegion_2.5
Region1	1991.863014	simulation	39	500	uniformS_5
Region2	2016.539728	simulation	39	500	uniformS_5
Region3	2006.7837339999999	simulation	39	500	uniformS_5
Region1	1989.065753	simulation	39	500	maxPerRegion_5
Region2	2009.980821	simulation	39	500	maxPerRegion_5
Region3	2008.638356	simulation	39	500	maxPerRegion_5
Region1	1993.057534	simulation	39	500	biased_50
Region2	2017.769863	simulation	39	500	biased_50
Region3	2002.980822	simulation	39	500	biased_50
Region1	1991.863014	simulation	39	500	biased_5
Region2	2016.0109590000002	simulation	39	500	biased_5
Region3	2006.390427	simulation	39	500	biased_5
Region1	1990.093151	simulation	35	500	biased_5
Region2	2014.079452	simulation	35	500	biased_5
Region3	2004.855476	simulation	35	500	biased_5
Region1	1990.093151	simulation	35	500	maxPerRegionYear_20
Region2	2018.112329	simulation	35	500	maxPerRegionYear_20
Region3	2005.454795	simulation	35	500	maxPerRegionYear_20
Region1	1990.093151	simulation	35	500	uniformS_2.5
Region2	2014.6849320000001	simulation	35	500	uniformS_2.5
Region3	2004.858216	simulation	35	500	uniformS_2.5
Region1	1990.093151	simulation	35	500	biased_50
Region2	2017.438357	simulation	35	500	biased_50
Region3	2001.0577520000002	simulation	35	500	biased_50
Region1	1990.093151	simulation	35	500	biased_2.5
Region2	2017.70959	simulation	35	500	biased_2.5
Region3	2015.057535	simulation	35	500	biased_2.5
Region1	1990.093151	simulation	35	500	biased_10
Region2	2018.1424670000001	simulation	35	500	biased_10
Region3	2006.4273970000002	simulation	35	500	biased_10
Region1	1989.939726	simulation	35	500	maxPerRegionYear_2.5
Region2	2018.019178	simulation	35	500	maxPerRegionYear_2.5
Region3	2007.463013	simulation	35	500	maxPerRegionYear_2.5
Region1	1990.093151	simulation	35	500	maxPerRegion_2.5
Region2	2015.0136989999999	simulation	35	500	maxPerRegion_2.5
Region3	2005.843836	simulation	35	500	maxPerRegion_2.5
Region1	1990.093151	simulation	35	500	maxPerRegion_20
Region2	2015.9834720000001	simulation	35	500	maxPerRegion_20
Region3	2005.249315	simulation	35	500	maxPerRegion_20
Region1	1990.093151	simulation	35	500	maxPerRegionYear_50
Region2	2018.367123	simulation	35	500	maxPerRegionYear_50
Region3	2006.753425	simulation	35	500	maxPerRegionYear_50
Region1	1990.093151	simulation	35	500	biased_20
Region2	2017.5972610000001	simulation	35	500	biased_20
Region3	2003.0657540000002	simulation	35	500	biased_20
Region1	1990.093151	simulation	35	500	uniformS_50
Region2	2018.276713	simulation	35	500	uniformS_50
Region3	2001.383562	simulation	35	500	uniformS_50
Region1	1990.093151	simulation	35	500	maxPerRegionYear_5
Region2	2018.0821930000002	simulation	35	500	maxPerRegionYear_5
Region3	2007.6849320000001	simulation	35	500	maxPerRegionYear_5
Region1	1990.093151	simulation	35	500	maxPerRegion_5
Region2	2017.50137	simulation	35	500	maxPerRegion_5
Region3	2007.572603	simulation	35	500	maxPerRegion_5
Region1	1990.093151	simulation	35	500	maxPerRegion_50
Region2	2017.950685	simulation	35	500	maxPerRegion_50
Region3	2006.589042	simulation	35	500	maxPerRegion_50
Region1	1990.093151	simulation	35	500	uniformS_10
Region2	2017.9506860000001	simulation	35	500	uniformS_10
Region3	1995.043836	simulation	35	500	uniformS_10
Region1	1990.093151	simulation	35	500	maxPerRegionYear_10
Region2	2018.80274	simulation	35	500	maxPerRegionYear_10
Region3	2007.5890410000002	simulation	35	500	maxPerRegionYear_10
Region1	1990.093151	simulation	35	500	uniformS_5
Region2	2014.243836	simulation	35	500	uniformS_5
Region3	2002.112329	simulation	35	500	uniformS_5
Region1	1990.093151	simulation	35	500	uniform
Region2	2014.4	simulation	35	500	uniform
Region3	2014.939727	simulation	35	500	uniform
Region1	1990.093151	simulation	35	500	uniformS_20
Region2	2017.580823	simulation	35	500	uniformS_20
Region3	2005.394521	simulation	35	500	uniformS_20
Region1	1990.093151	simulation	35	500	maxPerRegion_10
Region2	2017.6164390000001	simulation	35	500	maxPerRegion_10
Region3	2007.419178	simulation	35	500	maxPerRegion_10
Region1	1989.394521	simulation	31	500	biased_2.5
Region2	2011.8438359999998	simulation	31	500	biased_2.5
Region3	1998.9632829999998	simulation	31	500	biased_2.5
Region1	1989.164384	simulation	31	500	uniformS_5
Region2	2012.068621	simulation	31	500	uniformS_5
Region3	2001.590614	simulation	31	500	uniformS_5
Region1	1989.164384	simulation	31	500	maxPerRegionYear_2.5
Region2	2014.90137	simulation	31	500	maxPerRegionYear_2.5
Region3	2008.452055	simulation	31	500	maxPerRegionYear_2.5
Region1	1989.164384	simulation	31	500	biased_5
Region2	2012.40548	simulation	31	500	biased_5
Region3	1995.791781	simulation	31	500	biased_5
Region1	1989.394521	simulation	31	500	biased_10
Region2	2009.857534	simulation	31	500	biased_10
Region3	1998.027352	simulation	31	500	biased_10
Region1	1989.394521	simulation	31	500	maxPerRegion_10
Region2	2010.164384	simulation	31	500	maxPerRegion_10
Region3	2012.413699	simulation	31	500	maxPerRegion_10
Region1	1989.164384	simulation	31	500	maxPerRegionYear_20
Region2	2014.8219189999998	simulation	31	500	maxPerRegionYear_20
Region3	2000.0686289999999	simulation	31	500	maxPerRegionYear_20
Region1	1989.394521	simulation	31	500	maxPerRegion_2.5
Region2	2010.917808	simulation	31	500	maxPerRegion_2.5
Region3	2008.3808219999999	simulation	31	500	maxPerRegion_2.5
Region1	1989.394521	simulation	31	500	biased_50
Region2	2011.255858	simulation	31	500	biased_50
Region3	1995.504492	simulation	31	500	biased_50
Region1	1989.164384	simulation	31	500	maxPerRegionYear_50
Region2	2014.90137	simulation	31	500	maxPerRegionYear_50
Region3	1998.90137	simulation	31	500	maxPerRegionYear_50
Region1	1989.394521	simulation	31	500	biased_20
Region2	2013.430138	simulation	31	500	biased_20
Region3	1996.441097	simulation	31	500	biased_20
Region1	1989.164384	simulation	31	500	maxPerRegionYear_5
Region2	2014.846576	simulation	31	500	maxPerRegionYear_5
Region3	2003.880171	simulation	31	500	maxPerRegionYear_5
Region1	1989.164384	simulation	31	500	maxPerRegionYear_10
Region2	2014.9232889999998	simulation	31	500	maxPerRegionYear_10
