regions	value	model	nSim	nSeq	protocol
Region1	1989.715068	simulation	1	150	maxPerRegion_2.5
Region2	2005.8054789999999	simulation	1	150	maxPerRegion_2.5
Region3	2013.5753419999999	simulation	1	150	maxPerRegion_2.5
Region1	1989.715068	simulation	1	150	maxPerRegionYear_5
Region2	2018.589041	simulation	1	150	maxPerRegionYear_5
Region3	2016.141432	simulation	1	150	maxPerRegionYear_5
Region1	2009.635594	simulation	1	150	biased_5
Region2	2010.99452	simulation	1	150	biased_5
Region3	1995.682192	simulation	1	150	biased_5
Region1	1989.715068	simulation	1	150	uniform
Region2	2001.679452	simulation	1	150	uniform
Region3	2015.09315	simulation	1	150	uniform
Region1	1989.715068	simulation	1	150	uniformS_20
Region2	2009.378082	simulation	1	150	uniformS_20
Region3	2013.106849	simulation	1	150	uniformS_20
Region1	1989.715068	simulation	1	150	maxPerRegion_5
Region2	2016.827397	simulation	1	150	maxPerRegion_5
Region3	2014.816438	simulation	1	150	maxPerRegion_5
Region1	2006.0019320000001	simulation	1	150	uniformS_50
Region2	2017.457535	simulation	1	150	uniformS_50
Region3	1995.682192	simulation	1	150	uniformS_50
Region1	1989.715068	simulation	1	150	maxPerRegionYear_10
Region2	2018.4876709999999	simulation	1	150	maxPerRegionYear_10
Region3	2016.1715689999999	simulation	1	150	maxPerRegionYear_10
Region1	2005.966315	simulation	1	150	uniformS_2.5
Region2	2016.1232879999998	simulation	1	150	uniformS_2.5
Region3	1995.668493	simulation	1	150	uniformS_2.5
Region1	1989.715068	simulation	1	150	maxPerRegionYear_20
Region2	2018.4246569999998	simulation	1	150	maxPerRegionYear_20
Region3	2014.868493	simulation	1	150	maxPerRegionYear_20
Region1	2006.0238490000002	simulation	1	150	biased_50
Region2	2017.5808220000001	simulation	1	150	biased_50
Region3	1995.682192	simulation	1	150	biased_50
Region1	1989.715068	simulation	1	150	maxPerRegion_50
Region2	2016.086705	simulation	1	150	maxPerRegion_50
Region3	2013.9808209999999	simulation	1	150	maxPerRegion_50
Region1	2004.026589	simulation	1	150	uniformS_10
Region2	2014.183562	simulation	1	150	uniformS_10
Region3	1993.887671	simulation	1	150	uniformS_10
Region1	1989.715068	simulation	1	150	biased_2.5
Region2	2004.567123	simulation	1	150	biased_2.5
Region3	2012.517808	simulation	1	150	biased_2.5
Region1	1989.715068	simulation	1	150	maxPerRegion_10
Region2	1999.7338639999998	simulation	1	150	maxPerRegion_10
Region3	2015.9715689999998	simulation	1	150	maxPerRegion_10
Region1	1989.715068	simulation	1	150	maxPerRegion_20
Region2	2009.180821	simulation	1	150	maxPerRegion_20
Region3	2014.704109	simulation	1	150	maxPerRegion_20
Region1	1989.715068	simulation	1	150	biased_10
Region2	2016.122322	simulation	1	150	biased_10
Region3	2013.087671	simulation	1	150	biased_10
Region1	1989.715068	simulation	1	150	maxPerRegionYear_2.5
Region2	2018.457534	simulation	1	150	maxPerRegionYear_2.5
Region3	2016.062197	simulation	1	150	maxPerRegionYear_2.5
Region1	1989.715068	simulation	1	150	biased_20
Region2	2009.846575	simulation	1	150	biased_20
Region3	2012.712328	simulation	1	150	biased_20
Region1	1989.715068	simulation	1	150	maxPerRegionYear_50
Region2	2018.479453	simulation	1	150	maxPerRegionYear_50
Region3	2014.0328759999998	simulation	1	150	maxPerRegionYear_50
Region1	1989.715068	simulation	1	150	uniformS_5
Region2	2010.136986	simulation	1	150	uniformS_5
Region3	2013.002739	simulation	1	150	uniformS_5
Region1	1989.361644	simulation	33	150	uniformS_10
Region2	2012.30137	simulation	33	150	uniformS_10
Region3	2017.747945	simulation	33	150	uniformS_10
Region1	1989.361644	simulation	33	150	maxPerRegion_10
Region2	2013.3643840000002	simulation	33	150	maxPerRegion_10
Region3	2017.9616440000002	simulation	33	150	maxPerRegion_10
Region1	1989.361644	simulation	33	150	biased_10
Region2	2008.043836	simulation	33	150	biased_10
Region3	2010.900345	simulation	33	150	biased_10
Region1	1989.361644	simulation	33	150	maxPerRegion_50
Region2	2010.068493	simulation	33	150	maxPerRegion_50
Region3	2018.115068	simulation	33	150	maxPerRegion_50
Region1	1989.361644	simulation	33	150	biased_20
Region2	2012.6684930000001	simulation	33	150	biased_20
Region3	2014.690411	simulation	33	150	biased_20
Region1	1989.361644	simulation	33	150	biased_50
Region2	2012.6547950000001	simulation	33	150	biased_50
Region3	2013.6054800000002	simulation	33	150	biased_50
Region1	1989.361644	simulation	33	150	maxPerRegionYear_2.5
Region2	2017.5315070000001	simulation	33	150	maxPerRegionYear_2.5
Region3	2018.7808220000002	simulation	33	150	maxPerRegionYear_2.5
Region1	1989.361644	simulation	33	150	maxPerRegion_2.5
Region2	2013.0575350000001	simulation	33	150	maxPerRegion_2.5
Region3	2017.890411	simulation	33	150	maxPerRegion_2.5
Region1	1989.361644	simulation	33	150	uniformS_2.5
Region2	2012.715069	simulation	33	150	uniformS_2.5
Region3	2017.7726030000001	simulation	33	150	uniformS_2.5
Region1	1989.361644	simulation	33	150	biased_2.5
Region2	2008.4657530000002	simulation	33	150	biased_2.5
Region3	2017.0876710000002	simulation	33	150	biased_2.5
Region1	1989.361644	simulation	33	150	uniformS_5
Region2	2010.097732	simulation	33	150	uniformS_5
Region3	2015.5991020000001	simulation	33	150	uniformS_5
Region1	1989.361644	simulation	33	150	maxPerRegionYear_10
Region2	2017.5452050000001	simulation	33	150	maxPerRegionYear_10
Region3	2018.7452050000002	simulation	33	150	maxPerRegionYear_10
Region1	1989.361644	simulation	33	150	biased_5
Region2	2008.5095890000002	simulation	33	150	biased_5
Region3	2017.9013700000003	simulation	33	150	biased_5
Region1	1989.361644	simulation	33	150	maxPerRegionYear_5
Region2	2016.567123	simulation	33	150	maxPerRegionYear_5
Region3	2018.460274	simulation	33	150	maxPerRegionYear_5
Region1	1989.361644	simulation	33	150	uniformS_50
Region2	2012.5041090000002	simulation	33	150	uniformS_50
Region3	2013.0493150000002	simulation	33	150	uniformS_50
Region1	1989.361644	simulation	33	150	maxPerRegion_5
Region2	2012.380822	simulation	33	150	maxPerRegion_5
Region3	2018.087671	simulation	33	150	maxPerRegion_5
Region1	1989.361644	simulation	33	150	uniform
Region2	2006.323288	simulation	33	150	uniform
Region3	2017.5068500000002	simulation	33	150	uniform
Region1	1989.361644	simulation	33	150	uniformS_20
Region2	2006.606228	simulation	33	150	uniformS_20
