regions	value	model	nSim	nSeq	protocol
Region1	1990.835616	simulation	1	500	uniformS_20
Region2	2003.749352	simulation	1	500	uniformS_20
Region3	2002.879451	simulation	1	500	uniformS_20
Region4	2002.010958	simulation	1	500	uniformS_20
Region5	2001.564383	simulation	1	500	uniformS_20
Region6	2001.071232	simulation	1	500	uniformS_20
Region7	NA	simulation	1	500	uniformS_20
Region1	1989.49863	simulation	1	500	maxPerRegionYear_5
Region2	2007.9726030000002	simulation	1	500	maxPerRegionYear_5
Region3	2005.0602740000002	simulation	1	500	maxPerRegionYear_5
Region4	2002.5093120000001	simulation	1	500	maxPerRegionYear_5
Region5	2002.563957	simulation	1	500	maxPerRegionYear_5
Region6	1998.5011150000003	simulation	1	500	maxPerRegionYear_5
Region7	1999.909589	simulation	1	500	maxPerRegionYear_5
Region1	1989.49863	simulation	1	500	biased_2.5
Region2	2001.328767	simulation	1	500	biased_2.5
Region3	1998.102829	simulation	1	500	biased_2.5
Region4	2000.854794	simulation	1	500	biased_2.5
Region5	2001.364383	simulation	1	500	biased_2.5
Region6	1997.807747	simulation	1	500	biased_2.5
Region7	NA	simulation	1	500	biased_2.5
Region1	1990.835616	simulation	1	500	maxPerRegionYear_50
Region2	2007.88678	simulation	1	500	maxPerRegionYear_50
Region3	2004.665753	simulation	1	500	maxPerRegionYear_50
Region4	2003.662736	simulation	1	500	maxPerRegionYear_50
Region5	1999.575304	simulation	1	500	maxPerRegionYear_50
Region6	NA	simulation	1	500	maxPerRegionYear_50
Region7	NA	simulation	1	500	maxPerRegionYear_50
Region1	1989.49863	simulation	1	500	uniformS_2.5
Region2	2006.8583350000001	simulation	1	500	uniformS_2.5
Region3	1998.694401	simulation	1	500	uniformS_2.5
Region4	2000.4821920000002	simulation	1	500	uniformS_2.5
Region5	2001.783562	simulation	1	500	uniformS_2.5
Region6	1997.854795	simulation	1	500	uniformS_2.5
Region7	1999.306849	simulation	1	500	uniformS_2.5
Region1	1990.835616	simulation	1	500	biased_20
Region2	2003.8147310000002	simulation	1	500	biased_20
Region3	1999.74096	simulation	1	500	biased_20
Region4	2002.7972590000002	simulation	1	500	biased_20
Region5	1998.854794	simulation	1	500	biased_20
Region6	NA	simulation	1	500	biased_20
Region7	NA	simulation	1	500	biased_20
Region1	1990.835616	simulation	1	500	biased_50
Region2	2005.1671230000002	simulation	1	500	biased_50
Region3	2003.889198	simulation	1	500	biased_50
Region4	2002.7232870000003	simulation	1	500	biased_50
Region5	1997.4465750000002	simulation	1	500	biased_50
Region6	NA	simulation	1	500	biased_50
Region7	NA	simulation	1	500	biased_50
Region1	1991.627397	simulation	1	500	uniformS_10
Region2	2005.298765	simulation	1	500	uniformS_10
Region3	2000.217561	simulation	1	500	uniformS_10
Region4	2003.750348	simulation	1	500	uniformS_10
Region5	1997.386436	simulation	1	500	uniformS_10
Region6	2001.813833	simulation	1	500	uniformS_10
Region7	NA	simulation	1	500	uniformS_10
Region1	1989.49863	simulation	1	500	maxPerRegionYear_10
Region2	2002.757175	simulation	1	500	maxPerRegionYear_10
Region3	1997.4	simulation	1	500	maxPerRegionYear_10
Region4	2002.298158	simulation	1	500	maxPerRegionYear_10
Region5	2002.281765	simulation	1	500	maxPerRegionYear_10
Region6	2000.591781	simulation	1	500	maxPerRegionYear_10
Region7	NA	simulation	1	500	maxPerRegionYear_10
Region1	1991.452055	simulation	1	500	uniformS_5
Region2	2003.187028	simulation	1	500	uniformS_5
Region3	1997.333566	simulation	1	500	uniformS_5
Region4	2002.801782	simulation	1	500	uniformS_5
Region5	1998.207538	simulation	1	500	uniformS_5
Region6	2000.413018	simulation	1	500	uniformS_5
Region7	2000.202059	simulation	1	500	uniformS_5
Region1	1989.49863	simulation	1	500	maxPerRegionYear_20
Region2	2007.50411	simulation	1	500	maxPerRegionYear_20
Region3	2001.2630139999999	simulation	1	500	maxPerRegionYear_20
Region4	2001.846575	simulation	1	500	maxPerRegionYear_20
Region5	1998.336724	simulation	1	500	maxPerRegionYear_20
Region6	2000.049315	simulation	1	500	maxPerRegionYear_20
Region7	NA	simulation	1	500	maxPerRegionYear_20
Region1	1991.027397	simulation	1	500	biased_5
Region2	2006.199176	simulation	1	500	biased_5
Region3	1996.96082	simulation	1	500	biased_5
Region4	2001.448491	simulation	1	500	biased_5
Region5	2001.864929	simulation	1	500	biased_5
Region6	NA	simulation	1	500	biased_5
Region7	NA	simulation	1	500	biased_5
Region1	1990.835616	simulation	1	500	maxPerRegion_2.5
Region2	2006.6361630000001	simulation	1	500	maxPerRegion_2.5
Region3	2001.952691	simulation	1	500	maxPerRegion_2.5
Region4	2000.999266	simulation	1	500	maxPerRegion_2.5
Region5	2002.453103	simulation	1	500	maxPerRegion_2.5
Region6	1998.368403	simulation	1	500	maxPerRegion_2.5
Region7	1999.25954	simulation	1	500	maxPerRegion_2.5
Region1	1989.49863	simulation	1	500	maxPerRegion_10
Region2	2001.0007200000002	simulation	1	500	maxPerRegion_10
Region3	1997.881144	simulation	1	500	maxPerRegion_10
Region4	2001.408466	simulation	1	500	maxPerRegion_10
Region5	2001.392073	simulation	1	500	maxPerRegion_10
Region6	1999.7020890000001	simulation	1	500	maxPerRegion_10
