regions	value	model	nSim	nSeq	protocol
Region1	1990.835616	simulation	1	150	maxPerRegion_2.5
Region2	2001.899378	simulation	1	150	maxPerRegion_2.5
Region3	2002.7317910000002	simulation	1	150	maxPerRegion_2.5
Region4	2001.707597	simulation	1	150	maxPerRegion_2.5
Region5	2002.868403	simulation	1	150	maxPerRegion_2.5
Region6	1998.827419	simulation	1	150	maxPerRegion_2.5
Region7	1999.718556	simulation	1	150	maxPerRegion_2.5
Region1	1989.49863	simulation	1	150	maxPerRegionYear_5
Region2	2007.6739730000002	simulation	1	150	maxPerRegionYear_5
Region3	2004.7616440000002	simulation	1	150	maxPerRegionYear_5
Region4	2002.885545	simulation	1	150	maxPerRegionYear_5
Region5	2002.0301370000002	simulation	1	150	maxPerRegionYear_5
Region6	1998.2024850000003	simulation	1	150	maxPerRegionYear_5
Region7	1999.610959	simulation	1	150	maxPerRegionYear_5
Region1	1991.627397	simulation	1	150	biased_5
Region2	2003.851441	simulation	1	150	biased_5
Region3	2000.138326	simulation	1	150	biased_5
Region4	2002.4363349999999	simulation	1	150	biased_5
Region5	2000.617157	simulation	1	150	biased_5
Region6	NA	simulation	1	150	biased_5
Region7	NA	simulation	1	150	biased_5
Region1	1989.49863	simulation	1	150	uniform
Region2	1997.767123	simulation	1	150	uniform
Region3	1999.224658	simulation	1	150	uniform
Region4	2000.641912	simulation	1	150	uniform
Region5	1993.613699	simulation	1	150	uniform
Region6	NA	simulation	1	150	uniform
Region7	NA	simulation	1	150	uniform
Region1	1990.835616	simulation	1	150	uniformS_20
Region2	2003.47538	simulation	1	150	uniformS_20
Region3	2002.605479	simulation	1	150	uniformS_20
Region4	2002.134246	simulation	1	150	uniformS_20
Region5	2000.8109590000001	simulation	1	150	uniformS_20
Region6	2000.79726	simulation	1	150	uniformS_20
Region7	NA	simulation	1	150	uniformS_20
Region1	1989.49863	simulation	1	150	maxPerRegion_5
Region2	2005.9835620000001	simulation	1	150	maxPerRegion_5
Region3	1998.5506860000003	simulation	1	150	maxPerRegion_5
Region4	1999.5643830000001	simulation	1	150	maxPerRegion_5
Region5	1995.8383560000002	simulation	1	150	maxPerRegion_5
Region6	1996.5120740000002	simulation	1	150	maxPerRegion_5
Region7	1997.920548	simulation	1	150	maxPerRegion_5
Region1	1992.554645	simulation	1	150	uniformS_50
Region2	2004.595629	simulation	1	150	uniformS_50
Region3	2001.131148	simulation	1	150	uniformS_50
Region4	2003.965918	simulation	1	150	uniformS_50
Region5	2000.74317	simulation	1	150	uniformS_50
Region6	NA	simulation	1	150	uniformS_50
Region7	NA	simulation	1	150	uniformS_50
Region1	1989.49863	simulation	1	150	maxPerRegionYear_10
Region2	2002.417846	simulation	1	150	maxPerRegionYear_10
Region3	2001.216439	simulation	1	150	maxPerRegionYear_10
Region4	2000.720548	simulation	1	150	maxPerRegionYear_10
Region5	2002.087245	simulation	1	150	maxPerRegionYear_10
Region6	2000.397261	simulation	1	150	maxPerRegionYear_10
Region7	NA	simulation	1	150	maxPerRegionYear_10
Region1	1989.49863	simulation	1	150	uniformS_2.5
Region2	1999.2849320000003	simulation	1	150	uniformS_2.5
Region3	2001.0465760000002	simulation	1	150	uniformS_2.5
Region4	2000.9068490000002	simulation	1	150	uniformS_2.5
Region5	2001.9993490000002	simulation	1	150	uniformS_2.5
Region6	1997.3753430000002	simulation	1	150	uniformS_2.5
Region7	1998.9178080000002	simulation	1	150	uniformS_2.5
Region1	1989.49863	simulation	1	150	maxPerRegionYear_20
Region2	2007.50411	simulation	1	150	maxPerRegionYear_20
Region3	2001.991781	simulation	1	150	maxPerRegionYear_20
Region4	2001.7342469999999	simulation	1	150	maxPerRegionYear_20
Region5	1998.336724	simulation	1	150	maxPerRegionYear_20
Region6	2000.049315	simulation	1	150	maxPerRegionYear_20
Region7	NA	simulation	1	150	maxPerRegionYear_20
Region1	1992.554645	simulation	1	150	biased_50
Region2	2004.8473689999998	simulation	1	150	biased_50
Region3	2001.1588439999998	simulation	1	150	biased_50
Region4	2005.979302	simulation	1	150	biased_50
Region5	2000.354645	simulation	1	150	biased_50
Region6	NA	simulation	1	150	biased_50
Region7	NA	simulation	1	150	biased_50
Region1	1990.835616	simulation	1	150	maxPerRegion_50
Region2	2006.114178	simulation	1	150	maxPerRegion_50
Region3	1999.920548	simulation	1	150	maxPerRegion_50
Region4	2000.934246	simulation	1	150	maxPerRegion_50
Region5	1997.802702	simulation	1	150	maxPerRegion_50
Region6	NA	simulation	1	150	maxPerRegion_50
Region7	NA	simulation	1	150	maxPerRegion_50
Region1	1991.627397	simulation	1	150	uniformS_10
Region2	2004.4096260000001	simulation	1	150	uniformS_10
Region3	2003.208219	simulation	1	150	uniformS_10
Region4	2003.646575	simulation	1	150	uniformS_10
Region5	2001.810958	simulation	1	150	uniformS_10
Region6	2002.38904	simulation	1	150	uniformS_10
Region7	NA	simulation	1	150	uniformS_10
Region1	1989.49863	simulation	1	150	biased_2.5
Region2	1998.746665	simulation	1	150	biased_2.5
Region3	2000.250775	simulation	1	150	biased_2.5
Region4	2000.176802	simulation	1	150	biased_2.5
Region5	1996.979504	simulation	1	150	biased_2.5
Region6	NA	simulation	1	150	biased_2.5
Region7	NA	simulation	1	150	biased_2.5
Region1	1989.49863	simulation	1	150	maxPerRegion_10
Region2	2002.21471	simulation	1	150	maxPerRegion_10
Region3	2000.868494	simulation	1	150	maxPerRegion_10
Region4	2000.728767	simulation	1	150	maxPerRegion_10
Region5	2001.7393	simulation	1	150	maxPerRegion_10
Region6	2000.049316	simulation	1	150	maxPerRegion_10
Region7	NA	simulation	1	150	maxPerRegion_10
Region1	1989.49863	simulation	1	150	maxPerRegion_20
Region2	2005.4082190000001	simulation	1	150	maxPerRegion_20
Region3	1999.430137	simulation	1	150	maxPerRegion_20
Region4	1999.29041	simulation	1	150	maxPerRegion_20
Region5	1996.240833	simulation	1	150	maxPerRegion_20
Region6	1997.953424	simulation	1	150	maxPerRegion_20
Region7	NA	simulation	1	150	maxPerRegion_20
Region1	1990.835616	simulation	1	150	biased_10
Region2	2004.1931880000002	simulation	1	150	biased_10
Region3	2002.9917810000002	simulation	1	150	biased_10
Region4	2002.8191780000002	simulation	1	150	biased_10
Region5	NA	simulation	1	150	biased_10
Region6	NA	simulation	1	150	biased_10
Region7	NA	simulation	1	150	biased_10
Region1	1989.49863	simulation	1	150	maxPerRegionYear_2.5
Region2	2006.882327	simulation	1	150	maxPerRegionYear_2.5
Region3	2002.0326	simulation	1	150	maxPerRegionYear_2.5
Region4	2003.317808	simulation	1	150	maxPerRegionYear_2.5
Region5	2002.281234	simulation	1	150	maxPerRegionYear_2.5
Region6	1997.80548	simulation	1	150	maxPerRegionYear_2.5
Region7	1999.087671	simulation	1	150	maxPerRegionYear_2.5
Region1	1991.627397	simulation	1	150	biased_20
Region2	2003.280403	simulation	1	150	biased_20
Region3	1999.621933	simulation	1	150	biased_20
Region4	2003.5345009999999	simulation	1	150	biased_20
Region5	2003.717561	simulation	1	150	biased_20
Region6	NA	simulation	1	150	biased_20
Region7	NA	simulation	1	150	biased_20
Region1	1990.835616	simulation	1	150	maxPerRegionYear_50
Region2	2007.88678	simulation	1	150	maxPerRegionYear_50
Region3	1999.331506	simulation	1	150	maxPerRegionYear_50
Region4	2004.79178	simulation	1	150	maxPerRegionYear_50
Region5	1999.575304	simulation	1	150	maxPerRegionYear_50
Region6	NA	simulation	1	150	maxPerRegionYear_50
Region7	NA	simulation	1	150	maxPerRegionYear_50
Region1	1992.554645	simulation	1	150	uniformS_5
Region2	2003.928655	simulation	1	150	uniformS_5
Region3	2001.746427	simulation	1	150	uniformS_5
Region4	2003.600786	simulation	1	150	uniformS_5
Region5	2000.062536	simulation	1	150	uniformS_5
Region6	2001.1546449999998	simulation	1	150	uniformS_5
Region7	2000.9436859999998	simulation	1	150	uniformS_5
Region1	1989.89589	simulation	33	150	uniformS_10
Region2	2010.887671	simulation	33	150	uniformS_10
Region3	2008.6781039999998	simulation	33	150	uniformS_10
Region4	2001.608219	simulation	33	150	uniformS_10
Region5	2006.723287	simulation	33	150	uniformS_10
Region6	1999.5561639999999	simulation	33	150	uniformS_10
Region7	1994.4876709999999	simulation	33	150	uniformS_10
Region1	1989.89589	simulation	33	150	maxPerRegion_10
Region2	2009.969863	simulation	33	150	maxPerRegion_10
Region3	2007.333902	simulation	33	150	maxPerRegion_10
Region4	2000.2767130000002	simulation	33	150	maxPerRegion_10
Region5	2003.53882	simulation	33	150	maxPerRegion_10
Region6	2004.621918	simulation	33	150	maxPerRegion_10
Region7	1999.6535740000002	simulation	33	150	maxPerRegion_10
Region1	1989.89589	simulation	33	150	biased_10
Region2	2010.419178	simulation	33	150	biased_10
Region3	2008.209611	simulation	33	150	biased_10
Region4	2002.6493150000001	simulation	33	150	biased_10
Region5	2002.7315070000002	simulation	33	150	biased_10
Region6	2006.0438350000002	simulation	33	150	biased_10
Region7	NA	simulation	33	150	biased_10
Region1	1989.424658	simulation	33	150	maxPerRegion_50
Region2	2010.498631	simulation	33	150	maxPerRegion_50
Region3	2008.067588	simulation	33	150	maxPerRegion_50
Region4	2002.443836	simulation	33	150	maxPerRegion_50
