model	coef	intercept	slope	nSim	protocol	nSeq	matrix
dta	0.9914071076897115	-0.22436019784599814	1.033049813393125	1	biased_2.5	150	7demes
mascot	0.9872946999090692	-0.4157580929788107	1.0183924920287455	1	biased_2.5	150	7demes
basta	0.9665731173053499	0.4924838413618513	0.9561071559730132	1	biased_2.5	150	7demes
glm	0.9872136753177996	0.025416165501150445	0.9850378105424785	1	biased_2.5	150	7demes
dta	0.9695648082225871	-0.7825559363854886	1.1404800632195544	1	biased_50	500	7demes
mascot	0.9801592481089586	0.9142937671652831	0.926999749905112	1	biased_50	500	7demes
glm	0.9913782860084971	0.5449557930243873	0.9661332609182718	1	biased_50	500	7demes
dta	0.9862773659894883	0.28493672793140057	1.039746151195576	1	maxPerRegion_10	500	7demes
mascot	0.992385303756089	0.17462462917517918	1.0389032489268089	1	maxPerRegion_10	500	7demes
dta	0.95567920094507	-0.10870754744125577	1.137075976306748	1	uniform	150	7demes
mascot	0.9557809925453479	-0.033501722383604715	0.9365353820391623	1	uniform	150	7demes
basta	0.9640925007486778	0.30476765355747126	0.9530025240460739	1	uniform	150	7demes
glm	0.9853925785599131	-0.11188047531549827	0.9845277011646589	1	uniform	150	7demes
dta	0.9867003879394618	0.09901276383722823	1.058522584138819	1	maxPerRegionYear_10	150	7demes
mascot	0.9837095039640735	0.2870792380093352	1.022257719278184	1	maxPerRegionYear_10	150	7demes
basta	0.9876625531662065	0.7495959424263496	1.0255179946732902	1	maxPerRegionYear_10	150	7demes
dta	0.9939297850073844	0.08826336490076514	1.0361104984313048	1	maxPerRegionYear_10	500	7demes
mascot	0.9945764595780161	0.16356982102169582	1.0122598464403407	1	maxPerRegionYear_10	500	7demes
dta	0.989613850655256	0.25699878989543734	1.0633356080720633	1	biased_10	150	7demes
mascot	0.9862666054050097	0.18869198862621417	1.0754989269705735	1	biased_10	150	7demes
basta	0.9901581780131054	-0.008926707867875194	1.0145953924848226	1	biased_10	150	7demes
glm	0.9912275841426005	0.34744283773531315	0.9517984328145417	1	biased_10	150	7demes
dta	0.9891799182086055	-0.10933516048635283	1.0722105256688612	1	biased_10	500	7demes
mascot	0.988674658358836	0.45833932189805004	1.0923545448507213	1	biased_10	500	7demes
glm	0.9947012891328919	0.10923161936704595	1.007541081245891	1	biased_10	500	7demes
dta	0.9791884251846188	-0.008947892158357007	1.087058345898608	1	maxPerRegion_10	150	7demes
mascot	0.9661713730607099	0.12852120840091175	1.1052244490317367	1	maxPerRegion_10	150	7demes
basta	0.9639063627185863	-0.7253266243984378	1.0736816873652864	1	maxPerRegion_10	150	7demes
dta	0.9935376363110754	0.1070891837658241	1.0561154382312101	1	maxPerRegionYear_20	500	7demes
mascot	0.9741672982713657	-0.19010726572467718	1.1200995482594842	1	maxPerRegionYear_20	500	7demes
dta	0.9768090098940001	-0.6200055614699735	1.1346566637891897	1	biased_20	500	7demes
mascot	0.990781720958965	-0.2459751605321685	1.0997841164038211	1	biased_20	500	7demes
glm	0.9946080077014663	0.4280419456460578	1.0038514728407057	1	biased_20	500	7demes
dta	0.9929501423561092	0.04242917582481276	0.989712471294091	1	biased_50	150	7demes
mascot	0.9878713024056875	0.07163979366406181	1.0603341919017717	1	biased_50	150	7demes
basta	0.9860246051154518	0.02193691189972391	1.1269035014790258	1	biased_50	150	7demes
glm	0.9892238529702699	0.28202769272690276	1.004727563343047	1	biased_50	150	7demes
dta	0.972902398789025	1.123056736507925	1.0957336102329578	1	biased_20	150	7demes
mascot	0.9674795047389732	0.9279235013273013	0.9367566782740104	1	biased_20	150	7demes
basta	0.9873073327172293	-0.015129707704440776	1.019974320461735	1	biased_20	150	7demes
glm	0.9869014099522228	0.10330976712790729	0.9700161699287992	1	biased_20	150	7demes
dta	0.9774541154736903	-0.4303752044246991	1.0932810365967809	1	uniformS_10	500	7demes
mascot	0.9959661242748121	-0.1061431385740832	1.0301785658304787	1	uniformS_10	500	7demes
