source	destination	value	model	nSim	nSeq	protocol
Region1	Region1	40.0	simulation	1	500	uniformS_20
Region2	Region1	2.0	simulation	1	500	uniformS_20
Region3	Region1	0.0	simulation	1	500	uniformS_20
Region4	Region1	0.0	simulation	1	500	uniformS_20
Region5	Region1	0.0	simulation	1	500	uniformS_20
Region6	Region1	0.0	simulation	1	500	uniformS_20
Region7	Region1	0.0	simulation	1	500	uniformS_20
Region1	Region2	4.0	simulation	1	500	uniformS_20
Region2	Region2	24.0	simulation	1	500	uniformS_20
Region3	Region2	0.0	simulation	1	500	uniformS_20
Region4	Region2	1.0	simulation	1	500	uniformS_20
Region5	Region2	0.0	simulation	1	500	uniformS_20
Region6	Region2	0.0	simulation	1	500	uniformS_20
Region7	Region2	0.0	simulation	1	500	uniformS_20
Region1	Region3	1.0	simulation	1	500	uniformS_20
Region2	Region3	11.0	simulation	1	500	uniformS_20
Region3	Region3	394.0	simulation	1	500	uniformS_20
Region4	Region3	9.0	simulation	1	500	uniformS_20
Region5	Region3	0.0	simulation	1	500	uniformS_20
Region6	Region3	0.0	simulation	1	500	uniformS_20
Region7	Region3	0.0	simulation	1	500	uniformS_20
Region1	Region4	2.0	simulation	1	500	uniformS_20
Region2	Region4	7.0	simulation	1	500	uniformS_20
Region3	Region4	11.0	simulation	1	500	uniformS_20
Region4	Region4	449.0	simulation	1	500	uniformS_20
Region5	Region4	0.0	simulation	1	500	uniformS_20
Region6	Region4	0.0	simulation	1	500	uniformS_20
Region7	Region4	0.0	simulation	1	500	uniformS_20
Region1	Region5	0.0	simulation	1	500	uniformS_20
Region2	Region5	0.0	simulation	1	500	uniformS_20
Region3	Region5	0.0	simulation	1	500	uniformS_20
Region4	Region5	1.0	simulation	1	500	uniformS_20
Region5	Region5	0.0	simulation	1	500	uniformS_20
Region6	Region5	0.0	simulation	1	500	uniformS_20
Region7	Region5	0.0	simulation	1	500	uniformS_20
Region1	Region6	0.0	simulation	1	500	uniformS_20
Region2	Region6	1.0	simulation	1	500	uniformS_20
Region3	Region6	0.0	simulation	1	500	uniformS_20
Region4	Region6	0.0	simulation	1	500	uniformS_20
Region5	Region6	0.0	simulation	1	500	uniformS_20
Region6	Region6	0.0	simulation	1	500	uniformS_20
Region7	Region6	0.0	simulation	1	500	uniformS_20
Region1	Region7	0.0	simulation	1	500	uniformS_20
Region2	Region7	0.0	simulation	1	500	uniformS_20
Region3	Region7	0.0	simulation	1	500	uniformS_20
Region4	Region7	0.0	simulation	1	500	uniformS_20
Region5	Region7	0.0	simulation	1	500	uniformS_20
Region6	Region7	0.0	simulation	1	500	uniformS_20
Region7	Region7	0.0	simulation	1	500	uniformS_20
Region1	Region1	239.0	simulation	1	500	maxPerRegionYear_5
Region2	Region1	8.0	simulation	1	500	maxPerRegionYear_5
Region3	Region1	0.0	simulation	1	500	maxPerRegionYear_5
Region4	Region1	0.0	simulation	1	500	maxPerRegionYear_5
Region5	Region1	0.0	simulation	1	500	maxPerRegionYear_5
Region6	Region1	0.0	simulation	1	500	maxPerRegionYear_5
Region7	Region1	0.0	simulation	1	500	maxPerRegionYear_5
Region1	Region2	13.0	simulation	1	500	maxPerRegionYear_5
Region2	Region2	156.0	simulation	1	500	maxPerRegionYear_5
Region3	Region2	4.0	simulation	1	500	maxPerRegionYear_5
Region4	Region2	5.0	simulation	1	500	maxPerRegionYear_5
Region5	Region2	1.0	simulation	1	500	maxPerRegionYear_5
Region6	Region2	0.0	simulation	1	500	maxPerRegionYear_5
Region7	Region2	0.0	simulation	1	500	maxPerRegionYear_5
Region1	Region3	2.0	simulation	1	500	maxPerRegionYear_5
Region2	Region3	12.0	simulation	1	500	maxPerRegionYear_5
Region3	Region3	195.0	simulation	1	500	maxPerRegionYear_5
Region4	Region3	5.0	simulation	1	500	maxPerRegionYear_5
Region5	Region3	1.0	simulation	1	500	maxPerRegionYear_5
Region6	Region3	0.0	simulation	1	500	maxPerRegionYear_5
Region7	Region3	0.0	simulation	1	500	maxPerRegionYear_5
Region1	Region4	2.0	simulation	1	500	maxPerRegionYear_5
Region2	Region4	6.0	simulation	1	500	maxPerRegionYear_5
Region3	Region4	5.0	simulation	1	500	maxPerRegionYear_5
Region4	Region4	238.0	simulation	1	500	maxPerRegionYear_5
Region5	Region4	1.0	simulation	1	500	maxPerRegionYear_5
Region6	Region4	0.0	simulation	1	500	maxPerRegionYear_5
Region7	Region4	0.0	simulation	1	500	maxPerRegionYear_5
Region1	Region5	0.0	simulation	1	500	maxPerRegionYear_5
Region2	Region5	8.0	simulation	1	500	maxPerRegionYear_5
Region3	Region5	0.0	simulation	1	500	maxPerRegionYear_5
Region4	Region5	12.0	simulation	1	500	maxPerRegionYear_5
Region5	Region5	55.0	simulation	1	500	maxPerRegionYear_5
Region6	Region5	0.0	simulation	1	500	maxPerRegionYear_5
Region7	Region5	0.0	simulation	1	500	maxPerRegionYear_5
Region1	Region6	0.0	simulation	1	500	maxPerRegionYear_5
Region2	Region6	2.0	simulation	1	500	maxPerRegionYear_5
