regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	1990.3172478668773	1989.346122969074	1991.4002198614944	1988.9259826216528	1989.1001420363941	1989.3916316865766	1989.6042424125687	1989.7649740788434	1989.9022348050717	1989.991700179878	1990.0834947562398	1990.1620313828482	1990.2319254464376	1990.29231050447	1990.3480216167547	1990.4049107585347	1990.454502971283	1990.5216282419517	1990.5826028677143	1990.657697041399	1990.736876805393	1990.8155365928906	1990.9370543405073	1991.0720454909476	1991.223991666795	1991.390371393263	dta	1	500	biased_5
Region2	2002.1647827226955	1996.4253206964972	2006.5766696343264	1993.716118363232	1995.6468690268882	1996.4211027566732	1999.0105093403638	1999.401237571183	1999.6629889719707	2000.0353024791812	2000.3623347672697	2000.71467741585	2001.0327417591582	2001.3837603169975	2001.7454617583476	2002.1394983692383	2002.907391051584	2004.7078627951437	2005.0783054262	2005.3036139310975	2005.4629471722985	2005.624384774336	2005.8299444478544	2006.0632283099278	2006.215031849769	2006.3625473319719	dta	1	500	biased_5
Region3	2000.6763245461455	1997.4060469190683	2003.404115162991	1994.2499151616596	1996.7460038961258	1997.5675085058624	1998.7073141096928	1999.2731928432322	1999.5904214210366	1999.7464747386018	1999.9179860142353	2000.1128564036526	2000.2925013244387	2000.4666461564584	2000.7709281696507	2001.0231333663617	2001.2640131057146	2001.520332783963	2001.8580255721538	2002.0586591207336	2002.2960902573068	2002.4547048999234	2002.6912122239985	2002.9470616542842	2003.172023570028	2003.463140141481	dta	1	500	biased_5
Region4	2000.7616825319392	1997.878783692199	2002.7193530973395	1997.498982003277	1997.6475100250339	1998.0441587362589	1998.5663549790245	1998.9538278869225	1999.6871206551846	2000.1662734162564	2000.516170152205	2000.7062426363195	2000.833511522079	2000.9563962205661	2001.0731525102656	2001.1933987896432	2001.362992642563	2001.483559946022	2001.610158409717	2001.7146151808786	2001.8434398344384	2001.9387793865822	2002.1023973685417	2002.3197382019894	2002.5922578650548	2002.8805562241187	dta	1	500	biased_5
Region5	1998.882904333236	1994.2305763601064	2001.8449158365438	1994.0189904292124	1994.2866231497806	1994.5013541890833	1994.7475234254082	1994.9927531806438	1995.192423733186	1995.4143162016885	1995.7248380461272	1998.7141236906032	1999.4289737930374	1999.8382044674138	2000.268266329011	2000.5645150539813	2000.801204369393	2000.9857963689972	2001.124779144813	2001.230151183151	2001.3201167958555	2001.4081486231678	2001.5715517664162	2001.7744129395246	2001.926275408889	2002.1713848034692	dta	1	500	biased_5
Region6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	500	biased_5
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	500	biased_5
Region1	1989.2253498284738	1988.0638812587952	1989.960847885293	1987.7927656062109	1988.0220282420864	1988.2256185631595	1988.526830459008	1988.6610895520555	1988.756755339373	1988.864320864869	1988.9523851302195	1989.0136451358233	1989.0844628176608	1989.132534069685	1989.1823655092712	1989.2389071143514	1989.2975126748836	1989.3592609275615	1989.422765051774	1989.4859627113137	1989.55469442879	1989.6296993050105	1989.723479822645	1989.8493681855389	1989.933228903568	1990.0785442435688	dta	1	500	uniform
Region2	2001.961941904647	2000.4325893999276	2004.096948804464	1999.4355160959008	2000.0106268213608	2000.5072213596027	2000.972568781726	2001.2656978599364	2001.4001625575168	2001.5036180212078	2001.5816180073925	2001.664881700378	2001.7393035010969	2001.8362479899356	2001.9240323460042	2002.0296404746916	2002.1384535607704	2002.2406878617294	2002.3761720663217	2002.5463081168996	2002.8101504055599	2003.1040209781056	2003.3108630402899	2003.6101570359826	2003.8664098590536	2004.0354283524234	dta	1	500	uniform
Region3	2000.381206589561	1996.3328922126673	2002.9598482136519	1994.8370010916517	1995.5737552554986	1996.4771944180573	1998.8060285080328	1999.3705798454396	1999.6491762431942	1999.88985947448	2000.0751024587316	2000.218538363953	2000.3392561651988	2000.5117889668475	2000.644476020246	2000.773809566271	2000.9099040594876	2001.0709827956732	2001.2250466543212	2001.4256676869131	2001.5607151258914	2001.7316296833653	2001.9320511287458	2002.152134235814	2002.4104916519912	2002.8524915146127	dta	1	500	uniform
