regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	1993.2658403667876	1989.6705949061288	2006.18464882808	1990.095245790053	1990.3580721183682	1990.5978043607781	1990.9349340476626	1991.1248066753503	1991.2518307527869	1991.3542648022697	1991.446971570867	1991.5362835846754	1991.6100472439196	1991.6888575446505	1991.7743392922162	1991.860936543406	1991.9362365227016	1992.0163769457552	1992.1295968378101	1992.22922598371	1992.32110602295	1992.4558335758359	2004.3313182914394	2006.1415414757776	2008.376506824009	2008.6606148771868	dta	1	150	uniformS_10
Region2	2003.1149665237274	1991.377596996333	2007.7584409458423	1990.6097743194612	1991.111735891559	1991.5056274158271	1992.5406946921355	2000.5970152716632	2001.1141825169261	2001.747476320555	2002.8842270636399	2003.4397702368935	2003.8154597219277	2004.1134839298543	2004.416039169389	2004.7857986239667	2005.1151285887222	2005.3980444068038	2005.637080038091	2005.8613982734005	2006.104964763575	2006.4552794458862	2006.8371201574819	2007.3675315462303	2007.642730968785	2007.875151591496	dta	1	150	uniformS_10
Region3	2003.5766486405737	2000.7699124349795	2007.3197754042608	1997.2215069643892	1998.1587029423647	2001.059581942167	2001.6409393482804	2002.042965511866	2002.3267048807932	2002.5406182251056	2002.7346416042167	2003.0353053578858	2003.2370949542565	2003.4781977532807	2003.7407352483415	2003.9987259124584	2004.2201203073737	2004.460215562756	2004.6873095712883	2004.884853921138	2005.1121509802874	2005.3243401580812	2005.620912800275	2006.4375010935648	2006.8837523441152	2007.3204949222438	dta	1	150	uniformS_10
Region4	2002.3727353917745	1994.9186604478207	2005.3350209433884	1994.030466735627	1994.6791695892748	1995.358739258015	2000.9432083302127	2001.3451628976804	2001.523698779285	2001.7259065243793	2001.921796504309	2002.0982681513813	2002.2806150571344	2002.4235289748003	2002.6146212056333	2002.8732102880397	2003.1223586892515	2003.2863235861314	2003.4534381044307	2003.635264967937	2003.8110182826597	2004.0131519323083	2004.3265697417187	2004.8852290574264	2005.2439502830832	2005.6976546246785	dta	1	150	uniformS_10
Region5	2001.6804571928249	2000.2591914639765	2002.8199996308	1999.4906777931797	1999.9858292451618	2000.3230145532434	2000.6821731407865	2000.9534281679921	2001.1829209931907	2001.3292794342435	2001.4435875538015	2001.5458491903617	2001.6274703057286	2001.7107995458025	2001.7896867849126	2001.869073165773	2001.958385062061	2002.0331119367993	2002.108291129322	2002.1790436667306	2002.2886180447447	2002.399650411	2002.4902392324398	2002.6198532038034	2002.7246056024728	2002.8079968183154	dta	1	150	uniformS_10
Region6	2002.3927706668176	2001.1269439387177	2003.3524623259523	2000.858204976798	2001.073317582908	2001.2776576774984	2001.5843686778355	2001.804364701156	2001.9383563397314	2002.0476883600372	2002.1401963846693	2002.223143542099	2002.2990707940162	2002.364870347543	2002.436733545886	2002.5084265450969	2002.585491410952	2002.6661534225448	2002.7343254007803	2002.8103888133237	2002.9038752833583	2002.998226721306	2003.098228252146	2003.2245348038355	2003.3192341754643	2003.5605831491657	dta	1	150	uniformS_10
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	uniformS_10
Region1	1989.2001423141194	1988.1228287676831	1989.9502169600032	1987.7868218726442	1988.0165134795643	1988.2314041109773	1988.4470837161857	1988.6268481821269	1988.744460019138	1988.8240270154656	1988.9052077832328	1988.96198663243	1989.0322899054415	1989.1015495851798	1989.1653741083917	1989.2251141943032	1989.2884046332892	1989.368838425734	1989.4144774354463	1989.484567888846	1989.5325721686827	1989.6023187117119	1989.6975388098585	1989.8027243406616	1989.9244698808734	1990.0118957126774	dta	1	150	maxPerRegionYear_20
Region2	2003.8472865085162	2000.2892849217978	2007.9556969600033	1997.0354872406185	1999.3379704022923	2000.3998954882063	2000.9313207772716	2001.1495197519312	2001.378232380536	2001.5689255518255	2001.7313117197916	2001.8863174249052	2002.0414314350407	2002.2525145707116	2002.495017434172	2002.8126260247313	2006.172201529343	2006.7166899823378	2006.9069772275054	2007.0667458883845	2007.2194876600333	2007.371334836645	2007.5102324266709	2007.7084239768803	2007.8040263860744	2007.9285370296332	dta	1	150	maxPerRegionYear_20
Region3	2000.9430069278135	1998.11452930638	2004.0700879418152	1996.7677615718935	1997.941364726783	1998.2406030749348	1998.6611330517292	1998.9052656207045	1999.1496725019504	1999.4634349975975	1999.7237862631023	2000.1819077400908	2000.6223013783112	2001.0128051877716	2001.2752344151177	2001.5136902327902	2001.6806038074537	2001.8534058018784	2002.0090153952397	2002.1449072815544	2002.3825189466186	2002.726328360855	2003.1706367405955	2003.6675042849938	2004.0069216527636	2004.1846272066357	dta	1	150	maxPerRegionYear_20
Region4	1998.0226827109245	1993.2545765838775	2003.1871892008492	1992.903024769102	1993.252414334888	1993.4388566328216	1993.71730650257	1993.887289453419	1994.065605602763	1994.2135193356844	1994.3757800119567	1994.5810028205199	1994.8165164624456	1995.4805629899488	1996.555120792201	2000.779253575316	2001.077835186321	2001.330536791536	2001.5208515753436	2001.6649365555331	2001.8428534523553	2002.136817595772	2002.5470896895167	2002.953425355693	2003.1862529222465	2003.3566475624928	dta	1	150	maxPerRegionYear_20
Region5	1998.2391733437705	1995.966617050259	1999.6960726696796	1995.2967699933236	1995.5949400415177	1996.0968813364684	1997.1476437633216	1997.574192294608	1997.7395001345587	1997.8789615711648	1997.9786628221357	1998.079078460376	1998.1766701472711	1998.2701427015566	1998.3603659718572	1998.4459170344314	1998.536158199537	1998.6223067025383	1998.7268452998414	1998.862138010174	1999.0017780491457	1999.1244294883675	1999.2563271997842	1999.4452135804806	1999.5671402180171	1999.7220326123918	dta	1	150	maxPerRegionYear_20
Region6	1999.643788598157	1998.6973570024002	2000.5282474765695	1998.2679108408654	1998.5060415857345	1998.7550622593367	1998.9923709937211	1999.1668335416653	1999.2917262144008	1999.3611938070999	1999.4486450701338	1999.507017563246	1999.5768868828327	1999.6437506080263	1999.71203361764	1999.769188620667	1999.8283422150664	1999.9082633233313	1999.9570644624614	2000.0282715827693	2000.0748317643133	2000.144387969171	2000.2342444356866	2000.3416469125596	2000.425889827101	2000.5191350613024	dta	1	150	maxPerRegionYear_20
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	maxPerRegionYear_20
Region1	1989.0100446632168	1987.9788005255166	1989.8454697276832	1987.7406891435194	1987.9245686695956	1988.061013231381	1988.3175535983946	1988.4511212098294	1988.565659668607	1988.6639196571641	1988.7510941665612	1988.816249196866	1988.8871288555401	1988.9452335226686	1989.0142735348877	1989.0731736942214	1989.1374237136304	1989.199621616055	1989.2775756141218	1989.3487508124322	1989.4216868679398	1989.4895254816809	1989.5605784749603	1989.6924106736556	1989.8213123083804	1989.9182156446902	dta	1	150	uniform
Region2	1998.9606786005568	1996.5087442876782	2001.4842956296784	1996.1798493775607	1996.5246445946573	1996.8212041356942	1997.1313357405631	1997.366239050054	1997.6854472299503	1997.9884637233447	1998.4333151366238	1998.7083417184613	1998.896923788803	1999.0282901846347	1999.1537691656954	1999.2621312349224	1999.3613361959751	1999.4887145918653	1999.6317867448738	1999.7960311737509	1999.9474669052736	2000.1760224318934	2000.527867996115	2001.0915276844614	2001.5284858364216	2001.869570617502	dta	1	150	uniform
Region3	1996.8637854049716	1994.102758237528	1999.5766737851768	1993.3069416904862	1994.1028299090885	1994.4440562534755	1994.8435024718776	1995.2103610050885	1995.5964558696048	1995.8118695258331	1996.0081691791236	1996.187129352407	1996.3163919502317	1996.4732618485434	1996.6223386977463	1996.8237002623835	1997.1358733169222	1997.5183976300268	1997.930933067432	1998.2176177673405	1998.488681707475	1998.6744682521826	1998.9242394974306	1999.348092117886	1999.5840234346952	1999.9542680770817	dta	1	150	uniform
Region4	1995.1482654625306	1990.440365390134	2000.6432814993461	1990.1788344088604	1990.3274377449557	1990.5608907287133	1990.788034359269	1990.9763375120194	1991.1295101506803	1991.2548304017382	1991.3851630731444	1991.52164791007	1991.6677193448213	1991.9551650903027	1996.3205229237537	1997.5675035243398	1997.9792137889704	1998.3606508864586	1998.6353043027782	1998.8723563539504	1999.1508896432836	1999.4643894516898	1999.855955272698	2000.3777822294571	2000.5866481360993	2000.77570278617	dta	1	150	uniform
Region5	1993.4479898107018	1992.06362435315	1995.637341913467	1991.8477260332045	1992.0791525306079	1992.2613418173908	1992.4541708762276	1992.626199409655	1992.7557015921775	1992.8455621721218	1992.941212387398	1993.0434777424384	1993.1373350577794	1993.2024146750618	1993.2975008165758	1993.3953640396433	1993.4931112791614	1993.5622844025922	1993.6634038135433	1993.793977902481	1994.06352089587	1994.3456264017902	1994.7522877085714	1995.33630293178	1995.668667187875	1995.9842226882824	dta	1	150	uniform
Region6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	uniform
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	uniform
Region1	1991.443545842348	1987.2692345675785	2001.8632223629788	1988.881865508239	1989.1325340480478	1989.4186910237086	1989.749090741486	1989.9661319651987	1990.1233576054406	1990.2709916400067	1990.3879603966848	1990.4948401391225	1990.5605818842466	1990.6632421731626	1990.7385950992793	1990.8160508025226	1990.8997371924643	1990.9817860832256	1991.0761345246822	1991.1764763598358	1991.3126439576943	1991.4701686151989	1991.6508621305188	2001.9430131632005	2006.7026416836736	2007.6779364666866	dta	1	150	biased_10
Region2	2001.2777761784305	1995.7208396949404	2004.528835306463	1995.6236304495415	1995.8878592133137	1996.196742732281	1996.5753930562325	1996.8727894282472	1997.1307731624024	1997.3958522146088	1998.0462903537025	2001.673192642917	2002.2352010879522	2002.548532146892	2002.8182080305178	2003.0806372526156	2003.2214231774778	2003.3759175615505	2003.489939895776	2003.6255542695683	2003.770234415124	2003.89173194572	2004.1328626418021	2004.4034082053654	2004.758188260756	2005.067641756353	dta	1	150	biased_10
Region3	2003.021320549122	1997.8462601614674	2008.5346433949114	1989.9448542603755	1990.4220377332188	1997.8149549871162	2001.1484214593627	2001.6134211741582	2002.0477944383445	2002.3140800346341	2002.633605073187	2002.8961069370198	2003.128191554252	2003.4380936401642	2003.64121738094	2003.842327378101	2003.994580526564	2004.1438544065288	2004.3445812575942	2004.5541141698918	2004.7547171546712	2005.105646659502	2005.6049918063734	2006.5794598764671	2007.264859714364	2007.8642397014735	dta	1	150	biased_10
Region4	1998.7460368827096	1990.5615904008557	2005.0086115318704	1990.290492434197	1990.7350968778642	1991.4081000637125	1994.2468410981317	1994.6394588159262	1994.897171123594	1995.097658787422	1995.3411911288779	1995.5436256164985	1995.738834443872	1995.9999405020558	1996.457502674652	2001.4114918416285	2002.0822933980612	2002.4486116002558	2002.7402227711855	2002.966452629245	2003.295798676174	2003.5302166556824	2004.002517949895	2004.7303725713298	2005.2282302346248	2005.796369897364	dta	1	150	biased_10
Region5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	biased_10
Region6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	biased_10
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dta	1	150	biased_10
Region1	1989.2546596604195	1986.2039771068746	1990.0560777226367	1986.601112280846	1986.9078064461337	1987.210875241521	1987.547152920987	1987.786658449687	1987.9678170724228	1988.0824809874732	1988.2142767510047	1988.316889117833	1988.3870599398506	1988.473654674415	1988.5616115980683	1988.6437771447124	1988.7511855220512	1988.8419998143509	1988.9428543016172	1989.0649572057769	1989.1960262971263	1989.3376342845636	1989.5487055588276	1990.036706328946	2005.113929430406	2005.6861388354746	dta	1	150	maxPerRegion_20
Region2	2002.50463201201	1991.7251771906642	2006.241011712992	1988.0581349710508	1988.6884869994153	1991.7228722639898	1999.0558823552408	1999.6681532244593	2000.3584564070284	2001.018717305645	2002.0017686400893	2003.2988553725709	2003.6507494407585	2003.9132232707068	2004.082624788229	2004.2467133452415	2004.3702379496822	2004.4764988725817	2004.62115401788	2004.7706049569313	2004.907757574281	2005.0612802003714	2005.2462390329542	2005.4869359966342	2005.6853325171758	2005.896578993955	dta	1	150	maxPerRegion_20
Region3	1996.8070052673322	1992.6514196319254	2000.0091276167504	1992.0831178283097	1992.5038190799166	1992.9611543705223	1993.8980864983505	1994.508175806524	1995.0761828151064	1995.4098108285905	1995.757462504755	1996.1331813059514	1996.3921813019513	1996.6782364521835	1996.9523353480622	1997.3060636964958	1997.68742512461	1998.004336189942	1998.2680344120915	1998.450922446509	1998.7197412329906	1998.974567416556	1999.2756081558628	1999.5693471858751	1999.8898022963647	2000.473357260202	dta	1	150	maxPerRegion_20
Region4	1994.8971040476674	1989.9153826415343	1999.9935404867988	1989.3525563870776	1989.7311426601134	1990.1975908843826	1990.6022320139575	1990.8917977689941	1991.1644918726895	1991.309675551765	1991.5722409630162	1991.8298924120595	1992.0811924469629	1992.483392835149	1995.6521677712344	1996.5895754449925	1997.2860162822371	1997.9494657306418	1998.2895499379686	1998.5664233931914	1998.785159410917	1999.0084168945875	1999.2514066768385	1999.5615315939092	1999.9024453848092	2000.2388367350081	dta	1	150	maxPerRegion_20
