parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region5_Region3	NA	migrationRate	150	uniformS	migrationrates	4
Region5_Region7	NA	migrationRate	150	uniformS	migrationrates	4
Region7_Region1	NA	migrationRate	150	uniformS	migrationrates	4
Region7_Region2	NA	migrationRate	150	uniformS	migrationrates	4
Region7_Region3	NA	migrationRate	150	uniformS	migrationrates	4
Region7_Region4	NA	migrationRate	150	uniformS	migrationrates	4
Region1	0.2529738728820386	locationFrequency	150	uniformS	migrationrates	4
Region2	0.20286780698692303	locationFrequency	150	uniformS	migrationrates	4
Region3	0.24003114846540102	locationFrequency	150	uniformS	migrationrates	4
Region4	0.08286565881689535	locationFrequency	150	uniformS	migrationrates	4
Region5	0.05707419242233023	locationFrequency	150	uniformS	migrationrates	4
Region6	0.08078461910260197	locationFrequency	150	uniformS	migrationrates	4
Region7	0.08340270132380978	locationFrequency	150	uniformS	migrationrates	4
NA	1990.1808219999998	mrcaDate	150	uniformS	migrationrates	4
NA	Region1	mrcaLocation	150	uniformS	migrationrates	4
NA	26.34103600000003	treeHeight	150	uniformS	migrationrates	4
Region1_Region1	18693.0	migrationCount	500	uniformS	migrationrates	4
Region1_Region2	110.0	migrationCount	500	uniformS	migrationrates	4
Region1_Region3	2.0	migrationCount	500	uniformS	migrationrates	4
Region1_Region4	2.0	migrationCount	500	uniformS	migrationrates	4
Region1_Region5	3.0	migrationCount	500	uniformS	migrationrates	4
Region1_Region6	1.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region1	157.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region2	14924.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region3	147.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region4	107.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region5	65.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region6	17.0	migrationCount	500	uniformS	migrationrates	4
Region2_Region7	3.0	migrationCount	500	uniformS	migrationrates	4
Region3_Region2	65.0	migrationCount	500	uniformS	migrationrates	4
Region3_Region3	17712.0	migrationCount	500	uniformS	migrationrates	4
Region3_Region4	44.0	migrationCount	500	uniformS	migrationrates	4
Region3_Region5	1.0	migrationCount	500	uniformS	migrationrates	4
Region4_Region1	1.0	migrationCount	500	uniformS	migrationrates	4
Region4_Region2	4.0	migrationCount	500	uniformS	migrationrates	4
Region4_Region3	16.0	migrationCount	500	uniformS	migrationrates	4
Region4_Region4	5999.0	migrationCount	500	uniformS	migrationrates	4
Region4_Region5	31.0	migrationCount	500	uniformS	migrationrates	4
Region5_Region2	5.0	migrationCount	500	uniformS	migrationrates	4
Region5_Region4	17.0	migrationCount	500	uniformS	migrationrates	4
Region5_Region5	4131.0	migrationCount	500	uniformS	migrationrates	4
Region5_Region6	4.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region1	1.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region2	2.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region3	1.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region4	4.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region5	19.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region6	6155.0	migrationCount	500	uniformS	migrationrates	4
Region6_Region7	9.0	migrationCount	500	uniformS	migrationrates	4
Region7_Region5	1.0	migrationCount	500	uniformS	migrationrates	4
Region7_Region6	11.0	migrationCount	500	uniformS	migrationrates	4
Region7_Region7	6495.0	migrationCount	500	uniformS	migrationrates	4
Region1_Region7	NA	migrationCount	500	uniformS	migrationrates	4
Region3_Region1	NA	migrationCount	500	uniformS	migrationrates	4
Region3_Region6	NA	migrationCount	500	uniformS	migrationrates	4
Region3_Region7	NA	migrationCount	500	uniformS	migrationrates	4
Region4_Region6	NA	migrationCount	500	uniformS	migrationrates	4
Region4_Region7	NA	migrationCount	500	uniformS	migrationrates	4
Region5_Region1	NA	migrationCount	500	uniformS	migrationrates	4
Region5_Region3	NA	migrationCount	500	uniformS	migrationrates	4
Region5_Region7	NA	migrationCount	500	uniformS	migrationrates	4
Region7_Region1	NA	migrationCount	500	uniformS	migrationrates	4
Region7_Region2	NA	migrationCount	500	uniformS	migrationrates	4
Region7_Region3	NA	migrationCount	500	uniformS	migrationrates	4
Region7_Region4	NA	migrationCount	500	uniformS	migrationrates	4
Region1_Region1	1.8618525896414342	migrationRate	500	uniformS	migrationrates	4
Region1_Region2	0.010956175298804782	migrationRate	500	uniformS	migrationrates	4
Region1_Region3	0.00019920318725099602	migrationRate	500	uniformS	migrationrates	4
Region1_Region4	0.00019920318725099602	migrationRate	500	uniformS	migrationrates	4
Region1_Region5	0.000298804780876494	migrationRate	500	uniformS	migrationrates	4
Region1_Region6	9.960159362549801e-05	migrationRate	500	uniformS	migrationrates	4
Region2_Region1	0.015637450199203186	migrationRate	500	uniformS	migrationrates	4
Region2_Region2	1.4864541832669322	migrationRate	500	uniformS	migrationrates	4
Region2_Region3	0.014641434262948207	migrationRate	500	uniformS	migrationrates	4
Region2_Region4	0.010657370517928286	migrationRate	500	uniformS	migrationrates	4
Region2_Region5	0.006474103585657371	migrationRate	500	uniformS	migrationrates	4
Region2_Region6	0.001693227091633466	migrationRate	500	uniformS	migrationrates	4
Region2_Region7	0.000298804780876494	migrationRate	500	uniformS	migrationrates	4
Region3_Region2	0.006474103585657371	migrationRate	500	uniformS	migrationrates	4
Region3_Region3	1.7641434262948208	migrationRate	500	uniformS	migrationrates	4
Region3_Region4	0.004382470119521913	migrationRate	500	uniformS	migrationrates	4
Region3_Region5	9.960159362549801e-05	migrationRate	500	uniformS	migrationrates	4
Region4_Region1	9.960159362549801e-05	migrationRate	500	uniformS	migrationrates	4
Region4_Region2	0.00039840637450199205	migrationRate	500	uniformS	migrationrates	4
Region4_Region3	0.0015936254980079682	migrationRate	500	uniformS	migrationrates	4
Region4_Region4	0.5975099601593625	migrationRate	500	uniformS	migrationrates	4
Region4_Region5	0.0030876494023904383	migrationRate	500	uniformS	migrationrates	4
Region5_Region2	0.00049800796812749	migrationRate	500	uniformS	migrationrates	4
Region5_Region4	0.001693227091633466	migrationRate	500	uniformS	migrationrates	4
Region5_Region5	0.4114541832669323	migrationRate	500	uniformS	migrationrates	4
Region5_Region6	0.00039840637450199205	migrationRate	500	uniformS	migrationrates	4
Region6_Region1	9.960159362549801e-05	migrationRate	500	uniformS	migrationrates	4
Region6_Region2	0.00019920318725099602	migrationRate	500	uniformS	migrationrates	4
Region6_Region3	9.960159362549801e-05	migrationRate	500	uniformS	migrationrates	4
Region6_Region4	0.00039840637450199205	migrationRate	500	uniformS	migrationrates	4
Region6_Region5	0.0018924302788844622	migrationRate	500	uniformS	migrationrates	4
Region6_Region6	0.6130478087649402	migrationRate	500	uniformS	migrationrates	4
Region6_Region7	0.0008964143426294821	migrationRate	500	uniformS	migrationrates	4
Region7_Region5	9.960159362549801e-05	migrationRate	500	uniformS	migrationrates	4
Region7_Region6	0.0010956175298804782	migrationRate	500	uniformS	migrationrates	4
Region7_Region7	0.6469123505976095	migrationRate	500	uniformS	migrationrates	4
Region1_Region7	NA	migrationRate	500	uniformS	migrationrates	4
Region3_Region1	NA	migrationRate	500	uniformS	migrationrates	4
Region3_Region6	NA	migrationRate	500	uniformS	migrationrates	4
Region3_Region7	NA	migrationRate	500	uniformS	migrationrates	4
Region4_Region6	NA	migrationRate	500	uniformS	migrationrates	4
Region4_Region7	NA	migrationRate	500	uniformS	migrationrates	4
Region5_Region1	NA	migrationRate	500	uniformS	migrationrates	4
Region5_Region3	NA	migrationRate	500	uniformS	migrationrates	4
Region5_Region7	NA	migrationRate	500	uniformS	migrationrates	4
Region7_Region1	NA	migrationRate	500	uniformS	migrationrates	4
Region7_Region2	NA	migrationRate	500	uniformS	migrationrates	4
Region7_Region3	NA	migrationRate	500	uniformS	migrationrates	4
Region7_Region4	NA	migrationRate	500	uniformS	migrationrates	4
Region1	0.2514974852919596	locationFrequency	500	uniformS	migrationrates	4
Region2	0.20157686201790312	locationFrequency	500	uniformS	migrationrates	4
Region3	0.2385037153643992	locationFrequency	500	uniformS	migrationrates	4
Region4	0.0823516855881215	locationFrequency	500	uniformS	migrationrates	4
Region5	0.056711002014434554	locationFrequency	500	uniformS	migrationrates	4
Region6	0.08255179498125642	locationFrequency	500	uniformS	migrationrates	4
Region7	0.08680745474192558	locationFrequency	500	uniformS	migrationrates	4
NA	1990.057534	mrcaDate	500	uniformS	migrationrates	4
NA	Region1	mrcaLocation	500	uniformS	migrationrates	4
NA	27.47945199999981	treeHeight	500	uniformS	migrationrates	4
Region1_Region1	17753.0	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region2	107.0	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region3	2.0	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region4	2.0	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region5	3.0	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region6	1.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region1	157.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region2	14874.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region3	146.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region4	107.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region5	65.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region6	17.0	migrationCount	150	maxPerRegion	migrationrates	4
Region2_Region7	3.0	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region2	65.0	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region3	17711.0	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region4	44.0	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region5	1.0	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region1	1.0	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region2	4.0	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region3	16.0	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region4	5999.0	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region5	31.0	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region2	5.0	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region4	17.0	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region5	4131.0	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region6	4.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region1	1.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region2	2.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region3	1.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region4	4.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region5	19.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region6	6169.0	migrationCount	150	maxPerRegion	migrationrates	4
Region6_Region7	9.0	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region5	1.0	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region6	11.0	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region7	6501.0	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region6	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region3_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region6	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region4_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region3	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region5_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region2	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region3	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region7_Region4	NA	migrationCount	150	maxPerRegion	migrationrates	4
Region1_Region1	1.9476686780032912	migrationRate	150	maxPerRegion	migrationrates	4
Region1_Region2	0.011738891936368623	migrationRate	150	maxPerRegion	migrationrates	4
Region1_Region3	0.00021941854086670324	migrationRate	150	maxPerRegion	migrationrates	4
Region1_Region4	0.00021941854086670324	migrationRate	150	maxPerRegion	migrationrates	4
Region1_Region5	0.00032912781130005483	migrationRate	150	maxPerRegion	migrationrates	4
Region1_Region6	0.00010970927043335162	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region1	0.017224355458036203	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region2	1.631815688425672	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region3	0.016017553483269335	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region4	0.011738891936368623	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region5	0.007131102578167855	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region6	0.0018650575973669775	migrationRate	150	maxPerRegion	migrationrates	4
Region2_Region7	0.00032912781130005483	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region2	0.007131102578167855	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region3	1.9430608886450904	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region4	0.0048272078990674715	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region5	0.00010970927043335162	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region1	0.00010970927043335162	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region2	0.0004388370817334065	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region3	0.001755348326933626	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region4	0.6581459133296763	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region5	0.0034009873834339004	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region2	0.0005485463521667581	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region4	0.0018650575973669775	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region5	0.4532089961601755	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region6	0.0004388370817334065	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region1	0.00010970927043335162	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region2	0.00021941854086670324	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region3	0.00010970927043335162	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region4	0.0004388370817334065	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region5	0.0020844761382336806	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region6	0.6767964893033461	migrationRate	150	maxPerRegion	migrationrates	4
Region6_Region7	0.0009873834339001646	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region5	0.00010970927043335162	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region6	0.0012068019747668679	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region7	0.7132199670872189	migrationRate	150	maxPerRegion	migrationrates	4
Region1_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region6	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region3_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region6	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region4_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region3	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region5_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region2	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region3	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region7_Region4	NA	migrationRate	150	maxPerRegion	migrationrates	4
Region1	0.24210640138408304	locationFrequency	150	maxPerRegion	migrationrates	4
Region2	0.2035169766435986	locationFrequency	150	maxPerRegion	migrationrates	4
Region3	0.24161980968858132	locationFrequency	150	maxPerRegion	migrationrates	4
Region4	0.08343695934256055	locationFrequency	150	maxPerRegion	migrationrates	4
Region5	0.05745836937716263	locationFrequency	150	maxPerRegion	migrationrates	4
Region6	0.08382893598615918	locationFrequency	150	maxPerRegion	migrationrates	4
Region7	0.08803254757785467	locationFrequency	150	maxPerRegion	migrationrates	4
NA	1992.6857920000002	mrcaDate	150	maxPerRegion	migrationrates	4
NA	Region1	mrcaLocation	150	maxPerRegion	migrationrates	4
NA	24.949823999999808	treeHeight	150	maxPerRegion	migrationrates	4
Region1_Region1	18693.0	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region2	110.0	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region3	2.0	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region4	2.0	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region5	3.0	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region6	1.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region1	157.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region2	14924.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region3	147.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region4	107.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region5	65.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region6	17.0	migrationCount	500	maxPerRegion	migrationrates	4
Region2_Region7	3.0	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region2	65.0	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region3	17712.0	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region4	44.0	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region5	1.0	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region1	1.0	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region2	4.0	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region3	16.0	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region4	5999.0	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region5	31.0	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region2	5.0	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region4	17.0	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region5	4131.0	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region6	4.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region1	1.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region2	2.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region3	1.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region4	4.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region5	19.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region6	6173.0	migrationCount	500	maxPerRegion	migrationrates	4
Region6_Region7	9.0	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region5	1.0	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region6	11.0	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region7	6504.0	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region6	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region3_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region6	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region4_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region3	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region5_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region2	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region3	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region7_Region4	NA	migrationCount	500	maxPerRegion	migrationrates	4
Region1_Region1	1.8453109575518263	migrationRate	500	maxPerRegion	migrationrates	4
Region1_Region2	0.01085883514313919	migrationRate	500	maxPerRegion	migrationrates	4
Region1_Region3	0.00019743336623889436	migrationRate	500	maxPerRegion	migrationrates	4
Region1_Region4	0.00019743336623889436	migrationRate	500	maxPerRegion	migrationrates	4
Region1_Region5	0.00029615004935834154	migrationRate	500	maxPerRegion	migrationrates	4
Region1_Region6	9.871668311944718e-05	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region1	0.015498519249753208	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region2	1.4732477788746299	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region3	0.014511352418558736	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region4	0.010562685093780848	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region5	0.006416584402764067	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region6	0.0016781836130306022	migrationRate	500	maxPerRegion	migrationrates	4
Region2_Region7	0.00029615004935834154	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region2	0.006416584402764067	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region3	1.7484698914116485	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region4	0.004343534057255676	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region5	9.871668311944718e-05	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region1	9.871668311944718e-05	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region2	0.0003948667324777887	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region3	0.0015794669299111549	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region4	0.5922013820335637	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region5	0.003060217176702863	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region2	0.0004935834155972359	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region4	0.0016781836130306022	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region5	0.40779861796643635	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region6	0.0003948667324777887	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region1	9.871668311944718e-05	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region2	0.00019743336623889436	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region3	9.871668311944718e-05	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region4	0.0003948667324777887	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region5	0.0018756169792694965	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region6	0.6093780848963475	migrationRate	500	maxPerRegion	migrationrates	4
Region6_Region7	0.0008884501480750247	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region5	9.871668311944718e-05	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region6	0.001085883514313919	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region7	0.6420533070088845	migrationRate	500	maxPerRegion	migrationrates	4
Region1_Region7	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region1	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region6	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region3_Region7	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region6	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region4_Region7	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region1	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region3	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region5_Region7	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region1	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region2	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region3	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region7_Region4	NA	migrationRate	500	maxPerRegion	migrationrates	4
Region1	0.25140692929346814	locationFrequency	500	maxPerRegion	migrationrates	4
Region2	0.2015042807990825	locationFrequency	500	maxPerRegion	migrationrates	4
Region3	0.238417837996426	locationFrequency	500	maxPerRegion	migrationrates	4
Region4	0.0823220334462433	locationFrequency	500	maxPerRegion	migrationrates	4
Region5	0.05669058224201851	locationFrequency	500	maxPerRegion	migrationrates	4
Region6	0.08276211559491105	locationFrequency	500	maxPerRegion	migrationrates	4
Region7	0.08689622062785053	locationFrequency	500	maxPerRegion	migrationrates	4
NA	1990.057534	mrcaDate	500	maxPerRegion	migrationrates	4
NA	Region1	mrcaLocation	500	maxPerRegion	migrationrates	4
NA	27.726028000000042	treeHeight	500	maxPerRegion	migrationrates	4
Region1_Region1	18683.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region1_Region2	110.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region1_Region3	2.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region1_Region4	2.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region1_Region5	3.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region1_Region6	1.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region1	157.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region2	14924.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region3	147.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region4	107.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region5	65.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region6	17.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region2_Region7	3.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region3_Region2	65.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region3_Region3	17712.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region3_Region4	44.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region3_Region5	1.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region4_Region1	1.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region4_Region2	4.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region4_Region3	16.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region4_Region4	5999.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region4_Region5	31.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region5_Region2	5.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region5_Region4	17.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region5_Region5	4131.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region5_Region6	4.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region1	1.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region2	2.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region3	1.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region4	4.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region5	19.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region6	6155.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region6_Region7	9.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region7_Region5	1.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region7_Region6	11.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region7_Region7	6495.0	migrationCount	150	maxPerRegionYear	migrationrates	4
Region1_Region7	NA	migrationCount	150	maxPerRegionYear	migrationrates	4
Region3_Region1	NA	migrationCount	150	maxPerRegionYear	migrationrates	4
Region3_Region6	NA	migrationCount	150	maxPerRegionYear	migrationrates	4
