parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region1_Region3	NA	migrationRate	150	uniformS	migrationrates	1
Region1_Region7	NA	migrationRate	150	uniformS	migrationrates	1
Region2_Region7	NA	migrationRate	150	uniformS	migrationrates	1
Region3_Region1	NA	migrationRate	150	uniformS	migrationrates	1
Region3_Region5	NA	migrationRate	150	uniformS	migrationrates	1
Region3_Region6	NA	migrationRate	150	uniformS	migrationrates	1
Region3_Region7	NA	migrationRate	150	uniformS	migrationrates	1
Region4_Region1	NA	migrationRate	150	uniformS	migrationrates	1
Region4_Region7	NA	migrationRate	150	uniformS	migrationrates	1
Region5_Region7	NA	migrationRate	150	uniformS	migrationrates	1
Region6_Region1	NA	migrationRate	150	uniformS	migrationrates	1
Region6_Region2	NA	migrationRate	150	uniformS	migrationrates	1
Region6_Region3	NA	migrationRate	150	uniformS	migrationrates	1
Region7_Region1	NA	migrationRate	150	uniformS	migrationrates	1
Region7_Region2	NA	migrationRate	150	uniformS	migrationrates	1
Region7_Region3	NA	migrationRate	150	uniformS	migrationrates	1
Region7_Region4	NA	migrationRate	150	uniformS	migrationrates	1
Region7_Region5	NA	migrationRate	150	uniformS	migrationrates	1
Region7_Region6	NA	migrationRate	150	uniformS	migrationrates	1
Region1	0.1684855264234851	locationFrequency	150	uniformS	migrationrates	1
Region2	0.12722014569066653	locationFrequency	150	uniformS	migrationrates	1
Region3	0.2908902409079748	locationFrequency	150	uniformS	migrationrates	1
Region4	0.12026300712083594	locationFrequency	150	uniformS	migrationrates	1
Region5	0.2576596731509017	locationFrequency	150	uniformS	migrationrates	1
Region6	0.03542684091343137	locationFrequency	150	uniformS	migrationrates	1
Region7	5.456579270455352e-05	locationFrequency	150	uniformS	migrationrates	1
NA	1989.468493	mrcaDate	150	uniformS	migrationrates	1
NA	Region1	mrcaLocation	150	uniformS	migrationrates	1
NA	21.676711999999952	treeHeight	150	uniformS	migrationrates	1
Region1_Region1	12217.0	migrationCount	500	uniformS	migrationrates	1
Region1_Region2	70.0	migrationCount	500	uniformS	migrationrates	1
Region1_Region4	1.0	migrationCount	500	uniformS	migrationrates	1
Region1_Region5	1.0	migrationCount	500	uniformS	migrationrates	1
Region1_Region6	1.0	migrationCount	500	uniformS	migrationrates	1
Region2_Region1	140.0	migrationCount	500	uniformS	migrationrates	1
Region2_Region2	9185.0	migrationCount	500	uniformS	migrationrates	1
Region2_Region3	86.0	migrationCount	500	uniformS	migrationrates	1
Region2_Region4	80.0	migrationCount	500	uniformS	migrationrates	1
Region2_Region5	34.0	migrationCount	500	uniformS	migrationrates	1
Region2_Region6	7.0	migrationCount	500	uniformS	migrationrates	1
Region3_Region2	78.0	migrationCount	500	uniformS	migrationrates	1
Region3_Region3	21218.0	migrationCount	500	uniformS	migrationrates	1
Region3_Region4	65.0	migrationCount	500	uniformS	migrationrates	1
Region4_Region2	7.0	migrationCount	500	uniformS	migrationrates	1
Region4_Region3	16.0	migrationCount	500	uniformS	migrationrates	1
Region4_Region4	8905.0	migrationCount	500	uniformS	migrationrates	1
Region4_Region5	48.0	migrationCount	500	uniformS	migrationrates	1
Region4_Region6	1.0	migrationCount	500	uniformS	migrationrates	1
Region5_Region1	1.0	migrationCount	500	uniformS	migrationrates	1
Region5_Region2	13.0	migrationCount	500	uniformS	migrationrates	1
Region5_Region3	6.0	migrationCount	500	uniformS	migrationrates	1
Region5_Region4	74.0	migrationCount	500	uniformS	migrationrates	1
Region5_Region5	18849.0	migrationCount	500	uniformS	migrationrates	1
Region5_Region6	44.0	migrationCount	500	uniformS	migrationrates	1
Region6_Region4	2.0	migrationCount	500	uniformS	migrationrates	1
Region6_Region5	13.0	migrationCount	500	uniformS	migrationrates	1
Region6_Region6	2546.0	migrationCount	500	uniformS	migrationrates	1
Region6_Region7	3.0	migrationCount	500	uniformS	migrationrates	1
Region7_Region7	1.0	migrationCount	500	uniformS	migrationrates	1
Region1_Region3	NA	migrationCount	500	uniformS	migrationrates	1
Region1_Region7	NA	migrationCount	500	uniformS	migrationrates	1
Region2_Region7	NA	migrationCount	500	uniformS	migrationrates	1
Region3_Region1	NA	migrationCount	500	uniformS	migrationrates	1
Region3_Region5	NA	migrationCount	500	uniformS	migrationrates	1
Region3_Region6	NA	migrationCount	500	uniformS	migrationrates	1
Region3_Region7	NA	migrationCount	500	uniformS	migrationrates	1
Region4_Region1	NA	migrationCount	500	uniformS	migrationrates	1
Region4_Region7	NA	migrationCount	500	uniformS	migrationrates	1
Region5_Region7	NA	migrationCount	500	uniformS	migrationrates	1
Region6_Region1	NA	migrationCount	500	uniformS	migrationrates	1
Region6_Region2	NA	migrationCount	500	uniformS	migrationrates	1
Region6_Region3	NA	migrationCount	500	uniformS	migrationrates	1
