# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 07 19:11:19 CET 2022 [seed=1646676671798]
# -save_every 50000 -save_state sars_cov_2_dta2.states sars_cov_2_dta2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	pInv	default.clock.rate	continent.clock.rate	default.meanRate	continent.meanRate	continent.rates.Africa.Americas	continent.rates.Africa.Asia	continent.rates.Africa.China	continent.rates.Africa.Europe	continent.rates.Africa.Oceania	continent.rates.Americas.Asia	continent.rates.Americas.China	continent.rates.Americas.Europe	continent.rates.Americas.Oceania	continent.rates.Asia.China	continent.rates.Asia.Europe	continent.rates.Asia.Oceania	continent.rates.China.Europe	continent.rates.China.Oceania	continent.rates.Europe.Oceania	continent.rates.Americas.Africa	continent.rates.Asia.Africa	continent.rates.China.Africa	continent.rates.Europe.Africa	continent.rates.Oceania.Africa	continent.rates.Asia.Americas	continent.rates.China.Americas	continent.rates.Europe.Americas	continent.rates.Oceania.Americas	continent.rates.China.Asia	continent.rates.Europe.Asia	continent.rates.Oceania.Asia	continent.rates.Europe.China	continent.rates.Oceania.China	continent.rates.Oceania.Europe	continent.indicators.Africa.Americas	continent.indicators.Africa.Asia	continent.indicators.Africa.China	continent.indicators.Africa.Europe	continent.indicators.Africa.Oceania	continent.indicators.Americas.Asia	continent.indicators.Americas.China	continent.indicators.Americas.Europe	continent.indicators.Americas.Oceania	continent.indicators.Asia.China	continent.indicators.Asia.Europe	continent.indicators.Asia.Oceania	continent.indicators.China.Europe	continent.indicators.China.Oceania	continent.indicators.Europe.Oceania	continent.indicators.Americas.Africa	continent.indicators.Asia.Africa	continent.indicators.China.Africa	continent.indicators.Europe.Africa	continent.indicators.Oceania.Africa	continent.indicators.Asia.Americas	continent.indicators.China.Americas	continent.indicators.Europe.Americas	continent.indicators.Oceania.Americas	continent.indicators.China.Asia	continent.indicators.Europe.Asia	continent.indicators.Oceania.Asia	continent.indicators.Europe.China	continent.indicators.Oceania.China	continent.indicators.Oceania.Europe	continent.nonZeroRates	default.treeLikelihood	default.branchRates	continent.branchRates	c_continent.count[1]	c_counts_Africa_Americas[1]	c_counts_Africa_Asia[1]	c_counts_Africa_China[1]	c_counts_Africa_Europe[1]	c_counts_Africa_Oceania[1]	c_counts_Americas_Africa[1]	c_counts_Americas_Asia[1]	c_counts_Americas_China[1]	c_counts_Americas_Europe[1]	c_counts_Americas_Oceania[1]	c_counts_Asia_Africa[1]	c_counts_Asia_Americas[1]	c_counts_Asia_China[1]	c_counts_Asia_Europe[1]	c_counts_Asia_Oceania[1]	c_counts_China_Africa[1]	c_counts_China_Americas[1]	c_counts_China_Asia[1]	c_counts_China_Europe[1]	c_counts_China_Oceania[1]	c_counts_Europe_Africa[1]	c_counts_Europe_Americas[1]	c_counts_Europe_Asia[1]	c_counts_Europe_China[1]	c_counts_Europe_Oceania[1]	c_counts_Oceania_Africa[1]	c_counts_Oceania_Americas[1]	c_counts_Oceania_Asia[1]	c_counts_Oceania_China[1]	c_counts_Oceania_Europe[1]	c_reward_Africa[1]	c_reward_Americas[1]	c_reward_Asia[1]	c_reward_China[1]	c_reward_Europe[1]	c_reward_Oceania[1]	c_allTransitions[1]	continent	coalescent
0	-59911.09173159759	-203.64909382466385	-59707.442637772925	0.22765000000000002	2019.947213387978	6.424770538598036	1.0	0.0	2.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	-59374.87056284384	0.0	0.0	54.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	1.0	0.0	7.0	17.0	6.0	4.0	1.0	5.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.022938227582157023	0.714011449727176	0.5475818970920118	3.218830591877708	1.5204223406971327	0.3723228334127031	55.0	"China"	-120.35943812752225
50000	-44886.43392545727	-124.59970637837651	-44761.83421907889	0.23919083836255872	2019.9356725496157	7.1258522886828075	1.0514303952448396	8.27559027179362	6.385968539879406	0.12170231560530342	0.7040927169285218	0.001520810325625495	1.9172172843382822	0.001520810325625496	1.9172172843382829	1.5642124985186676	0.620527278644128	0.03033984092569793	1.1410157303861936	0.03554361545263141	0.5762529890280957	0.2556292245648915	0.3069896012556577	1.1934599494672784	0.5584327037203694	0.010623300941774428	0.1837433641603875	0.7372689910542272	1.0527388048677084	1.4357559404483917	0.06447310343901567	1.55095990584828	0.5031950309792635	0.42658179065304763	0.24072296172625832	1.549453767061649	1.3094158835656449	0.5758629616718078	1.6583339784749758	2.3663182438350954	0.20991747092936655	0.24904639308260657	4.152748048628339	0.8241037980601831	0.6711969195716586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	11.0	-44537.48457170604	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	22.0	7.0	5.0	1.0	4.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.007114696787188756	0.6993647109273897	0.4361509084958444	3.8605336647215527	1.6813139124773446	0.3714137998525861	55.0	"China"	-65.0976681704527
100000	-44892.26701995384	-148.11372161215036	-44744.15329834169	0.2681592753315901	2019.9067041126466	7.425832248925525	1.3115956270656117	8.321688056588334	6.06352842370767	0.08245369613941095	0.694104620412595	0.0015799557099429116	2.4867625743373676	0.001579955709942912	2.486762574337365	0.6222277179928488	0.7235539380443332	0.008278048450121287	0.3543689953271127	0.3836122164175559	1.2882742614057467	0.16310124365942813	0.22387412452826005	1.0074555011975825	2.5764764766253676	1.0924797515527833	2.1539642645123096	1.4154070790423394	0.5152370476636676	2.102553584799889	0.4222967613687561	0.8575786681390737	0.04769274193114115	0.5565822103155635	0.19770826933910438	1.0709711935642026	0.9072004879458553	0.8764712273804786	0.5525342689437033	4.636856415050386	0.7860974763535115	1.8526533696609115	0.6438386707865569	0.0030194192147497963	0.12096010241988217	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	12.0	-44525.225802059846	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	25.0	8.0	4.0	1.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0022652068992440595	0.8220133902201955	0.5679909141144859	3.9988667427809026	1.6810497891595828	0.4040413272094875	57.0	"China"	-80.60502963252725
150000	-44948.43538283532	-205.3591649825729	-44743.076217852744	0.258633109882239	2019.9162302780958	8.202436230094007	1.7996315562857261	9.901895302146544	6.7949733543091195	0.2666011861792812	0.7993874015002838	0.0013919388629187357	1.8946062668455632	0.0013919388629187388	1.894606266845566	2.3083330945026996	0.05059051506637085	1.857449136594351	0.47655830413170897	0.5296866610677621	2.2235858913053823	1.43006952849996	1.7005011757762907	0.8352325853114498	0.5247618563697828	0.06204537707046737	2.3889749781544554	1.349938473083959	0.9378451072196334	0.12369961279501254	1.444786830246951	1.1219685331923532	1.617281867416504	0.8335394553721305	0.3346953557339272	0.7482412782353204	1.6782492674910021	1.2214490578788861	0.7357152674886315	3.876998908343359	0.7900771927796544	0.7959856821546071	0.19678720587406598	2.167011561829725	0.5755470163804042	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	-44532.83256039486	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	17.0	7.0	5.0	1.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.3619431743314785E-4	0.9416214784243899	0.720111439251234	4.1973477177859975	1.8423171024921061	0.5753451723753974	49.0	"China"	-131.85967009253568
200000	-44924.84293402395	-166.78799390896384	-44758.05494011499	0.255506551426099	2019.919356836552	7.875210521114013	1.1383963320881176	7.078852889122333	7.056214545306111	0.4174388335516366	0.7873190412148864	0.00139225436124647	1.98207230533214	0.0013922543612464708	1.982072305332142	0.057617887056910115	0.09432587202667408	2.712770014429301	0.6553105338659182	1.6550953528459358	0.1402733431198713	0.7545033778756878	1.455121514205211	0.11697549666836303	0.23159770566285517	0.06430997629522597	0.2961530782499316	0.29810766205922223	0.18851566812608322	0.09404639273065786	0.055854125886019616	0.8621450884191485	0.4621253485752097	0.1540859850789854	1.060847405835959	0.1456745000937209	1.024857774133583	0.2782289716260522	0.4078738237392676	1.0509955392441568	0.2989457166375453	0.3219375660263107	0.06041880583460639	0.7862839413236122	1.0269135270705292	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	-44547.076196704824	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	18.0	6.0	5.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.016534560376993596	0.8518577777868908	0.6060435482026617	4.151725568567929	1.8634435984770201	0.45549549970774683	50.0	"China"	-114.20163675306847
250000	-44945.02256055627	-211.69633654765641	-44733.32622400861	0.27565513559394283	2019.8992082523841	8.450390714783964	1.497564653810519	8.572831014785619	5.714520363013235	0.7182089449270384	0.8755924418459646	0.0013352147578165146	2.004055274720376	0.0013352147578165152	2.004055274720376	0.12478106115477637	1.7781446960194187	0.7729078346251348	0.08370610482751234	2.0261227118723455	0.23196196318746015	1.19327548114695	0.1554905985101259	1.1995234558580943	2.6169810374578146	0.26945282670725595	0.6790425028834619	1.1520354768013483	2.112576492000665	0.3981451458325202	1.0541797405287636	0.0805046104734231	0.5768681248305426	0.2605631492336777	0.1980136384522733	0.5134802188745834	1.2030760278694148	1.107405259308145	0.24314542885837437	2.2533423151452507	0.4502126505884321	0.6550742143591433	0.3230327346053413	0.6504772728044699	0.6273555706585433	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	-44522.57162587821	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	18.0	8.0	6.0	1.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.001499393018793577	0.9238282254133189	0.6929056837710091	4.445275073298549	1.890695257073091	0.5963113001662471	51.0	"China"	-147.64637090405947
300000	-44928.47014680055	-203.4373972527302	-44725.03274954782	0.2510850847301913	2019.923778303248	8.083414021333239	1.2204943544415907	7.74935198254772	6.159524243924668	0.42076580687799753	0.8301244861249076	0.001481234203413619	2.629187773006938	0.0014812342034136179	2.629187773006937	0.77703135306219	0.22628940312926654	1.5613215635981958	0.5514194420363101	0.9734726061114106	1.0138094779405586	2.0931214674466627	2.16040101201788	0.6552721344945127	0.8886252550174106	0.020624793766322744	0.7374487907750674	1.3913858862993667	1.461440948653326	1.3162100989322463	0.27709184861724134	0.46481208551579994	0.8059823395240157	0.1925269400184336	0.4045775590293874	0.4624614599716405	2.144381377090141	0.5010717146599198	0.2892812049285585	2.285295616504345	1.1339642423533534	0.8001163300254797	0.8511401786148451	2.2486459755383112	0.020711699298665707	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	13.0	-44517.526861896666	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	12.0	8.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017281869410459315	0.9425586321993723	0.7009960909688873	4.190490860824747	1.5830294472866708	0.548747058760544	53.0	"China"	-131.67294294162008
350000	-44883.24049948171	-131.35938915512372	-44751.88111032659	0.26149007899912285	2019.913373308979	7.210961286387605	1.0835116009098316	7.851008449877441	5.907267511422936	0.22605574403421352	0.647244715055596	0.001607791731075774	2.055613204574566	0.0016077917310757764	2.0556132045745685	0.9914948209076806	0.6878584194026789	0.40158601010723194	2.3091119048426583	0.2768111300432784	0.975269620265922	0.1277528784734698	0.899285506108996	0.4412483334709819	0.514062203336498	0.3836233213069923	0.04674107126659813	1.110163741011282	1.6850728274874998	0.6062299212979205	0.025296365367358062	3.9359403281306315	0.3260126715582087	0.6254862241645083	0.11413926307091889	2.409494509860279	3.07735982774707	1.711682324175849	0.0744894353906825	3.748783035656648	0.8434872146412572	0.09790077577116718	1.4297384614103925	0.5111620878292833	1.730868151504127	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	12.0	-44523.42447551418	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	17.0	11.0	8.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006354491519518996	0.7958781219309683	0.5731263943980492	3.871047261757405	1.5265998781893055	0.39613829773948533	57.0	"China"	-64.01029837055985
400000	-44879.61462591653	-136.49038889124594	-44743.12423702529	0.24772519243451752	2019.9271381955436	7.186486992180226	1.5172665648099033	10.805152105454935	7.070996289900543	0.4056146624981394	0.7008920824149445	0.00161363481465051	2.35716812404704	0.001613634814650512	2.357168124047043	1.175417972478069	0.4728412831760561	1.0200436107281556	0.09242863876468431	1.0215787879685567	0.35071439683888816	0.11942346652655894	1.0806451796427872	0.21952778559874594	2.8223391865741227	0.1011505232460423	0.8098049117952583	1.1358383103065242	1.213401182113141	0.2948742290958262	2.367168725551509	0.9858380518385419	0.09507701962525615	1.5423722325076805	2.5180593994201916	1.168069391403653	3.099915521193112	1.5510894006572604	0.2420543002060297	3.697348752235262	0.4307419766911935	0.08043154738701096	2.0688520498117544	1.4155549721921394	0.3437421344254278	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	13.0	-44536.22917453755	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	16.0	7.0	7.0	1.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.011372581959806895	0.796389739144284	0.594579241353987	3.423122818534356	1.7799907614723567	0.519611528805586	51.0	"China"	-60.64757095258963
450000	-44904.19290198191	-192.07629085267507	-44712.11661112923	0.237414003237287	2019.9374493847408	7.988086402029144	1.3952276939776667	8.551451248994924	5.891998667167684	3.1379658864987223	0.8903175620956624	0.0014689514087698208	1.9347590757269397	0.001468951408769821	1.9347590757269388	1.158641879207224	0.008251467046417594	0.6668602474525583	0.10913241169097879	0.39463953715114547	1.0430116769199382	0.4779822447168265	0.03839288869418942	0.34295572732380497	0.2469421082056997	0.03339339560262716	0.8769780687039911	1.9496157047205234	0.8461955503750892	1.6567041383428194	1.2304962879481094	1.0910335454170805	0.3706228394127468	1.373257499043067	0.5948427595615876	2.633513897539236	4.080485852357572	0.8454226691146101	0.28890088903885913	3.734938191371008	0.5446507771870676	0.4353032375369937	0.2271509486864085	2.5242572011284623	0.8305231941904223	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	14.0	-44500.59794548373	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	18.0	7.0	7.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02440008844667344	0.8318881274898127	0.5589059216102255	4.109177545565636	1.9815275740740137	0.4193061032555193	51.0	"China"	-116.97740930509352
