Sample	posterior	likelihood	prior	treeLikelihood.sim1_biased_20_500	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-1798025.0911655268	-1797166.7347258446	-858.3564396821245	-1797166.7347258446	-840.7035879053681	31.103020967178963	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6	1.0	2.0	0.25	0.25	0.25	0.25
4000	-109392.28482140986	-108533.59662455341	-858.6881968564521	-108533.59662455341	-832.088528921154	31.446625062295023	0	1	1	1	0	1	0.370220	0.370220	0.370220	0.0	5.075940	8.078244	6.508072	0.0	1.470177	4	0.003415212059231203	3.174803990322364	0.2508078790587486	0.24856298090852771	0.24790173565608598	0.25272740437663777
8000	-97544.30051550009	-96473.58620482944	-1070.714310670656	-96473.58620482944	-1052.9721727300666	30.13023285844128	0	0	1	1	1	0	0.846692	0.846692	0.846692	0.0	0.0	7.081102	1.268619	2.770481	0.0	3	0.00270686111099795	3.174803990322364	0.2508078790587486	0.238741177602235	0.23950052488752344	0.27095041845149304
12000	-88419.85865971367	-87099.36943807766	-1320.489221636017	-87099.36943807766	-1304.9734580968181	30.294243688613463	1	0	1	1	1	0	1.399856	1.399856	1.399856	0.526173	0.0	7.819353	0.423088	0.820069	0.0	4	0.0019034334866276004	1.6167694286115994	0.2508078790587486	0.238741177602235	0.23950052488752344	0.27095041845149304
16000	-80830.75486757273	-79333.27390849464	-1497.4809590780935	-79333.27390849464	-1480.1757306296831	30.294245992649724	1	0	1	1	0	1	1.762808	1.762808	1.762808	0.479976	0.0	7.705449	0.791229	0.0	0.850387	4	0.001400214418865746	1.6167694286115994	0.2579488629743689	0.22449688344505814	0.24660383512908	0.27095041845149304
20000	-77061.14880467401	-75460.55172116782	-1600.5970835061853	-75460.55172116782	-1576.9686730238543	30.32143405067204	0	1	1	1	0	1	2.111575	2.111575	2.111575	0.0	0.288516	5.457984	0.162394	0.0	0.884726	4	0.0011971289423126762	1.6167694286115994	0.26784791873898817	0.23132260394933468	0.23977811462480345	0.2610513626868738
24000	-72981.04406695355	-71299.1671551479	-1681.8769118056475	-71299.1671551479	-1665.8254251997873	29.152032717529757	0	1	1	0	1	0	2.369021	2.369021	2.369021	0.0	0.311380	2.920764	0.0	0.593949	0.0	3	0.0010405774817814095	1.6167694286115994	0.26784791873898817	0.23132260394933468	0.2352804219683607	0.2655490553433165
28000	-69458.20673675448	-67691.7920196721	-1766.4147170823896	-67691.7920196721	-1743.121355536014	29.151052383930157	1	1	1	0	1	0	2.687676	2.687676	2.687676	0.132780	0.324232	3.153326	0.0	0.533517	0.0	4	9.085428336695267E-4	1.6167694286115994	0.2866190982483809	0.20934327299748853	0.2304812146282598	0.27355641412587084
32000	-65927.3320882621	-64084.235962626175	-1843.0961256359358	-64084.235962626175	-1825.609992709928	29.164032235965507	0	1	1	0	0	1	2.924021	2.924021	2.924021	0.0	0.192216	1.688592	0.0	0.0	0.501584	3	7.899784740754131E-4	1.6167694286115994	0.2866190982483809	0.20934327299748853	0.2304812146282598	0.27355641412587084
36000	-63287.2295725763	-61379.402909339275	-1907.8266632370264	-61379.402909339275	-1885.8423644102877	29.164071616786327	0	1	1	0	1	1	3.492330	3.492330	3.492330	0.0	0.275142	1.862820	0.0	0.369596	0.174717	4	6.83927763223279E-4	1.6167694286115994	0.2866190982483809	0.20934327299748853	0.2304812146282598	0.27355641412587084
