Sample	posterior	likelihood	prior	treeLikelihood.sim1_biased_10_500	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-1716483.4488691234	-1715632.4365266247	-851.0123424987116	-1715632.4365266247	-833.3594907219552	29.224415535311298	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6	1.0	2.0	0.25	0.25	0.25	0.25
4000	-118308.11590095446	-117817.89191567857	-490.2239852758892	-117817.89191567857	-468.75420033168245	29.224415471443365	0	1	1	1	1	1	0.184352	0.184352	0.184352	0.0	8.775242	4.933719	4.804116	0.525567	21.960874	5	0.007072252090373664	3.4196687425297925	0.2518934754166971	0.25	0.24734439015096663	0.2507621344323363
8000	-105007.90677946559	-103925.28255341497	-1082.6242260506085	-103925.28255341497	-1061.8690796743217	29.688145112572325	0	1	1	0	0	1	0.907610	0.907610	0.907610	0.0	12.794984	13.614283	0.0	0.0	0.487146	3	0.0029346009958354613	3.4196687425297925	0.2518934754166971	0.25	0.24734439015096663	0.2507621344323363
12000	-95927.65592903766	-94619.98283633124	-1307.6730927064225	-94619.98283633124	-1285.8393622135502	29.728278463465987	1	0	1	1	1	0	1.297057	1.297057	1.297057	0.189592	0.0	6.465744	0.296899	0.917849	0.0	4	0.0022102109878780855	3.4196687425297925	0.2518934754166971	0.25	0.24734439015096663	0.2507621344323363
16000	-87770.91898055778	-86267.45924108151	-1503.4597394762723	-86267.45924108151	-1480.4348017464463	29.728278754159575	1	0	1	1	1	0	1.660278	1.660278	1.660278	0.399361	0.0	5.283833	0.444149	0.653457	0.0	4	0.0016560173431144462	3.4196687425297925	0.2584641277077173	0.2434293477089798	0.24734439015096663	0.2507621344323363
20000	-82112.14207712348	-80414.4471929853	-1697.6948841381884	-80414.4471929853	-1673.5127065399395	29.244702933572007	0	1	1	0	1	0	2.631131	2.631131	2.631131	0.0	0.201128	5.858833	0.0	0.710147	0.0	3	0.0011804425416944515	3.4196687425297925	0.2680400367302326	0.2365071434603454	0.24469068537708577	0.2507621344323363
24000	-77828.09691217501	-75952.9744267751	-1875.1224853999122	-75952.9744267751	-1848.2940036024163	29.33227872536099	0	1	1	0	1	0	4.272389	4.272389	4.272389	0.0	0.183595	7.031507	0.0	0.496325	0.0	3	9.211192393997976E-4	3.4196687425297925	0.2680400367302326	0.2365071434603454	0.24469068537708577	0.2507621344323363
28000	-73694.25589489403	-71759.67394251468	-1934.5819523793482	-71759.67394251468	-1912.112376819514	29.336252527237015	0	1	1	0	1	0	4.205022	4.205022	4.205022	0.0	0.140908	3.088935	0.0	0.408930	0.0	3	8.298254060901702E-4	3.4196687425297925	0.2680400367302326	0.23195952573476963	0.24469068537708577	0.2553097521579121
32000	-69236.92509710202	-67232.97304184393	-2003.952055258099	-67232.97304184393	-1981.4597995405325	29.374096985194853	0	1	1	0	1	0	4.206765	4.206765	4.206765	0.0	0.132627	1.813951	0.0	0.326039	0.0	3	7.277684488059117E-4	2.429141162032061	0.27837467431013135	0.22259474228304868	0.243720831248908	0.2553097521579121
36000	-65792.1342528406	-63777.04383654964	-2015.0904162909646	-63777.04383654964	-1991.2933315788725	29.374448721017483	0	1	1	0	1	0	4.162517	4.162517	4.162517	0.0	0.199753	1.439657	0.0	0.261011	0.0	3	6.345471541752015E-4	2.429141162032061	0.2848281722322136	0.2099372493359864	0.23723430649770433	0.2680002719340958
40000	-63546.30774940178	-61480.033431528296	-2066.2743178734804	-61480.033431528296	-2041.1342266025408	29.37527913472398	0	1	1	0	1	0	4.452641	4.452641	4.452641	0.0	0.187365	1.532935	0.0	0.271732	0.0	3	6.133400438594068E-4	1.6010746795862423	0.2848281722322136	0.2099372493359864	0.23723430649770433	0.2680002719340958
44000	-61763.96047863435	-59682.08067089545	-2081.8798077388997	-59682.08067089545	-2058.9880546610066	29.375380927557174	0	1	1	0	1	0	5.226998	5.226998	5.226998	0.0	0.190640	1.106056	0.0	0.348579	0.0	3	5.472694332155655E-4	1.6010746795862423	0.28437231780066474	0.2099372493359864	0.23723430649770433	0.26845612636564464
48000	-59142.36827173284	-57033.07986519291	-2109.2884065399344	-57033.07986519291	-2079.5784135351146	29.180454750932675	0	1	1	0	1	1	5.844046	5.844046	5.844046	0.0	1.839898	0.203796	0.0	2.308483	0.327345	4	4.898387620443071E-4	1.6010746795862423	0.28437231780066474	0.21427508190897906	0.23289647392471166	0.26845612636564464
52000	-57263.50666941086	-55122.29411283711	-2141.2125565737547	-55122.29411283711	-2111.560962901398	29.189428668242755	0	1	1	0	0	1	5.547227	5.547227	5.547227	0.0	0.245303	0.433254	0.0	0.0	0.239833	3	4.6348626119275844E-4	1.6010746795862423	0.28437231780066474	0.21427508190897906	0.23289647392471166	0.26845612636564464
56000	-56042.65251762752	-53897.79378851822	-2144.8587291093017	-53897.79378851822	-2114.6340983335454	29.453663167320595	1	1	1	1	1	1	6.623570	6.623570	6.623570	0.141357	0.156524	0.177854	0.078664	0.027255	0.111108	6	4.31094005482603E-4	1.6010746795862423	0.2872875879061436	0.21427508190897906	0.23289647392471166	0.26554085626016577
60000	-54251.910787595625	-52113.66620395819	-2138.2445836374304	-52113.66620395819	-2107.713071482842	29.453910322804152	1	1	1	1	1	1	6.063930	6.063930	6.063930	0.101046	0.160001	0.232682	0.127686	0.021448	0.059790	6	4.071829193080024E-4	1.6787177932129609	0.2872875879061436	0.21427508190897906	0.23289647392471166	0.26554085626016577
64000	-53155.16382339948	-50999.99665049695	-2155.1671729025356	-50999.99665049695	-2124.791249766672	29.45385869826028	1	1	1	1	0	1	6.119240	6.119240	6.119240	0.103660	0.294570	0.322412	0.062404	0.0	0.173975	5	3.9753155720173924E-4	1.6787177932129609	0.2884095005751615	0.21427508190897906	0.23289647392471166	0.26441894359114787
68000	-52013.12584716785	-49837.96137800223	-2175.164469165624	-49837.96137800223	-2143.706170001507	29.453950758644993	1	1	1	1	0	1	6.742218	6.742218	6.742218	0.187708	0.217232	0.232942	0.058803	0.0	0.064974	5	3.7277962812073175E-4	1.6787177932129609	0.2825529760842085	0.2201316063999321	0.23289647392471166	0.26441894359114787
72000	-50615.462294192024	-48431.59812367798	-2183.864170514051	-48431.59812367798	-2153.798653210233	29.453919396928526	1	1	1	1	0	1	6.685499	6.685499	6.685499	0.201973	0.348128	0.125481	0.082183	0.0	0.116482	5	3.446877242375941E-4	1.7374895619143713	0.2825529760842085	0.2201316063999321	0.23289647392471166	0.26441894359114787
76000	-49712.18228472418	-47511.55413822975	-2200.628146494428	-47511.55413822975	-2162.7729809412494	29.45369524424058	1	1	1	1	1	1	7.071957	7.071957	7.071957	0.100075	0.177490	0.060090	0.184648	0.232142	0.002969	6	3.1151857764382844E-4	1.7374895619143713	0.2825529760842085	0.2201316063999321	0.23289647392471166	0.26441894359114787
80000	-48660.46743919671	-46471.83940976687	-2188.628029429843	-46471.83940976687	-2155.963935819538	29.45380710047816	1	1	1	1	1	0	7.385662	7.385662	7.385662	0.224225	0.208126	0.125425	0.093696	0.079433	0.0	5	3.0901675678674727E-4	1.6295453755371438	0.2769764050341579	0.2246004149095895	0.22842766541505424	0.2699955146411985
84000	-48026.19664852893	-45828.91055580619	-2197.2860927227343	-45828.91055580619	-2164.86681436726	29.453734156624222	1	1	1	1	0	1	7.497105	7.497105	7.497105	0.207989	0.145358	0.122475	0.082766	0.0	0.029060	5	3.035217841149667E-4	1.7823492617934016	0.27486476391704484	0.2246004149095895	0.22842766541505424	0.2721071557583115
88000	-47431.37748510549	-45220.1359634363	-2211.241521669186	-45220.1359634363	-2180.111550468428	29.453898430267316	1	1	1	0	0	1	6.879435	6.879435	6.879435	0.309469	0.366412	0.204546	0.0	0.0	0.083126	4	3.094195865420622E-4	1.7357264640533479	0.27486476391704484	0.2246004149095895	0.22842766541505424	0.2721071557583115
92000	-46905.21883256074	-44703.27946009047	-2201.9393724702777	-44703.27946009047	-2166.6414358508987	29.454728506500864	1	1	1	1	1	1	7.604789	7.604789	7.604789	0.142499	0.165440	0.123447	0.047300	0.006234	0.083446	6	2.9803645033595267E-4	1.7357264640533479	0.27891731476087717	0.2262672035148007	0.22842766541505424	0.266387816309268
96000	-46169.84882244809	-43948.72432112547	-2221.1245013226226	-43948.72432112547	-2190.1299322525624	29.55103359815637	1	1	1	1	0	1	7.214267	7.214267	7.214267	0.100027	0.076557	0.088224	0.112264	0.0	0.065508	5	2.838004885407777E-4	1.7357264640533479	0.27891731476087717	0.2262672035148007	0.22842766541505424	0.266387816309268
100000	-45408.45280943394	-43190.91420392766	-2217.5386055062745	-43190.91420392766	-2179.433616992952	29.55114462748694	1	1	1	1	0	1	7.859067	7.859067	7.859067	0.066878	0.315564	0.172932	0.013691	0.0	0.139399	5	2.716602267179296E-4	1.7357264640533479	0.2808798248238955	0.22430469345178236	0.22842766541505424	0.266387816309268
104000	-44740.85711026444	-42520.17663508706	-2220.680475177383	-42520.17663508706	-2188.0159337551486	29.551339902124443	1	1	1	0	0	1	7.686945	7.686945	7.686945	0.097475	0.377647	0.147021	0.0	0.0	0.076906	4	2.626497824076852E-4	1.7158298997379973	0.2808798248238955	0.22430469345178236	0.22842766541505424	0.266387816309268
108000	-44505.29495740392	-42277.483064039756	-2227.8118933641667	-42277.483064039756	-2192.9771253143945	29.550491294057373	1	1	1	1	1	0	7.410919	7.410919	7.410919	0.220881	0.206127	0.189400	0.079575	0.150952	0.0	5	2.4823893822625896E-4	1.846547610432687	0.2808798248238955	0.22430469345178236	0.23303637207472816	0.2617791096495941
112000	-44089.76289419535	-41870.82645337915	-2218.936440816198	-41870.82645337915	-2183.523906072023	29.549273619706973	1	1	1	1	0	1	7.615608	7.615608	7.615608	0.096695	0.258395	0.180365	0.041301	0.0	0.061341	5	2.6194220140166404E-4	1.846547610432687	0.2808798248238955	0.22430469345178236	0.23303637207472816	0.2617791096495941
116000	-43681.662736213555	-41467.479547731855	-2214.183188481697	-41467.479547731855	-2181.118350587024	32.6961726535379	1	1	1	0	0	1	7.519212	7.519212	7.519212	0.125390	0.331059	0.247307	0.0	0.0	0.053089	4	2.502506212020103E-4	1.8564727643738161	0.2808798248238955	0.22430469345178236	0.23303637207472816	0.2617791096495941
120000	-42940.30229744411	-40737.54205323117	-2202.7602442129446	-40737.54205323117	-2170.296057643984	32.696572352072394	0	1	1	0	0	1	7.608946	7.608946	7.608946	0.0	0.441616	0.141658	0.0	0.0	0.130404	3	2.3950544558846176E-4	1.836451154615938	0.2808798248238955	0.22430469345178236	0.23303637207472816	0.2617791096495941
124000	-42444.56366288274	-40246.45073896429	-2198.1129239184547	-40246.45073896429	-2166.48393666008	32.21061929319612	1	1	1	0	0	1	7.141270	7.141270	7.141270	0.161953	0.226237	0.223435	0.0	0.0	0.035410	4	2.442215740334262E-4	1.836451154615938	0.2808798248238955	0.21647602074766112	0.2408650447788494	0.2617791096495941
