Sample	posterior	likelihood	prior	treeLikelihood.sim1_maxPerRegion_500	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
40000	-62924.354523233866	-60800.4797168767	-2123.87480635716	-60800.4797168767	-2094.899875738416	29.502455514653676	1	1	1	1	0	1	5.883915	5.883915	5.883915	0.052403	0.137619	0.684107	0.109528	0.0	0.149761	5	5.050531722539746E-4	1.8688857007412027	0.2770336701715466	0.21641448404330255	0.2358665713860893	0.2706852743990616
44000	-61175.804883571785	-59005.26544292361	-2170.539440648175	-59005.26544292361	-2138.099075839099	29.50226059808931	1	1	1	1	0	1	6.226810	6.226810	6.226810	0.047678	0.138333	1.068775	0.058213	0.0	0.184312	5	4.5094641693708753E-4	1.8688857007412027	0.2770336701715466	0.220282389958683	0.23199866547070885	0.2706852743990616
48000	-58960.102275606616	-56766.610828930665	-2193.4914466759483	-56766.610828930665	-2160.0045509537194	29.480001269754414	0	1	1	1	0	1	7.005726	7.005726	7.005726	0.0	0.156228	0.874039	0.019694	0.0	0.106891	4	4.0525661639186067E-4	1.8688857007412027	0.276074249699926	0.22131854611021928	0.2319219297907932	0.2706852743990616
52000	-57434.69351094616	-55214.65729055418	-2220.0362203919817	-55214.65729055418	-2186.2488708788746	29.479820000564963	1	1	1	1	0	1	7.674566	7.674566	7.674566	0.120472	0.110621	0.594350	0.118723	0.0	0.125503	5	3.8526813166910067E-4	2.0157337049465	0.276074249699926	0.22131854611021928	0.2319219297907932	0.2706852743990616
56000	-56074.78212986793	-53828.23281513987	-2246.549314728058	-53828.23281513987	-2213.039618530527	29.47984893369299	1	1	1	1	0	1	7.824216	7.824216	7.824216	0.148437	0.125076	0.606061	0.057598	0.0	0.064414	5	3.4499909311246584E-4	2.0157337049465	0.2830401177805901	0.22131854611021928	0.22495606171012913	0.2706852743990616
60000	-54578.36293887555	-52302.4442983388	-2275.9186405367527	-52302.4442983388	-2242.213732877067	29.479881771407314	1	1	1	1	0	1	7.661422	7.661422	7.661422	0.114285	0.076791	0.757433	0.178517	0.0	0.090457	5	3.3318393161255096E-4	2.0157337049465	0.28958828435194195	0.2147703795388674	0.22495606171012913	0.2706852743990616
64000	-53372.46299314872	-51106.04405946325	-2266.4189336854697	-51106.04405946325	-2228.2284337674764	29.479765245676163	1	1	1	1	0	1	7.635554	7.635554	7.635554	0.222434	0.083105	0.273820	0.118622	0.0	0.068711	5	3.288877869605252E-4	2.0157337049465	0.28958828435194195	0.2147703795388674	0.22495606171012913	0.2706852743990616
68000	-52274.57513719353	-50009.22594931018	-2265.34918788335	-50009.22594931018	-2230.233937501595	29.69717699396111	1	1	1	1	0	1	7.656259	7.656259	7.656259	0.104095	0.161697	0.550793	0.035229	0.0	0.115153	5	3.1363403206387697E-4	2.0157337049465	0.28958828435194195	0.2147703795388674	0.22495606171012913	0.2706852743990616
72000	-50630.29979636639	-48354.97452817497	-2275.325268191414	-48354.97452817497	-2239.7078058725574	29.24558983818233	1	1	1	1	0	1	8.167088	8.167088	8.167088	0.121321	0.074904	0.309283	0.075032	0.0	0.054825	5	2.8676265762508273E-4	2.0157337049465	0.28958828435194195	0.2147703795388674	0.22495606171012913	0.2706852743990616
76000	-49718.91632722384	-47429.948599214265	-2288.967728009573	-47429.948599214265	-2251.882281358923	29.24550441537491	1	1	1	1	0	1	8.740109	8.740109	8.740109	0.092319	0.053178	0.259466	0.096109	0.0	0.096716	5	2.7764979152022126E-4	2.0157337049465	0.27761939244376554	0.21589937403657514	0.23550942099128608	0.2709718125283733
80000	-49069.48588201985	-46784.95169833962	-2284.534183680235	-46784.95169833962	-2247.9577993233115	29.432363717109876	1	1	1	1	0	1	8.672040	8.672040	8.672040	0.075994	0.084213	0.404338	0.066597	0.0	0.072174	5	2.63636425572486E-4	2.0157337049465	0.27761939244376554	0.21976213771856065	0.23984625832433448	0.2627722115133394
84000	-48287.23772041593	-46001.10503374542	-2286.132686670502	-46001.10503374542	-2248.122731581088	29.432448280821486	1	1	1	0	0	1	8.412585	8.412585	8.412585	0.072052	0.125259	0.554701	0.0	0.0	0.045433	4	2.545402319113189E-4	2.0157337049465	0.2731112769283259	0.2230155144922912	0.23659288155060393	0.2672803270287791
88000	-47699.33579430583	-45391.84721308834	-2307.4885812174934	-45391.84721308834	-2270.180971459023	29.43203155914833	1	1	1	0	0	1	8.278171	8.278171	8.278171	0.055465	0.084131	0.382202	0.0	0.0	0.039656	4	2.4689013169123435E-4	2.0157337049465	0.27705926840187417	0.2230155144922912	0.23264489007705563	0.2672803270287791
92000	-46983.787279618016	-44678.53644135137	-2305.250838266651	-44678.53644135137	-2272.950010590537	29.431735051650563	1	1	1	0	0	1	8.257112	8.257112	8.257112	0.089323	0.096614	0.616175	0.0	0.0	0.051474	4	2.3331324296831622E-4	2.0157337049465	0.27677377705682055	0.22330100583734483	0.23264489007705563	0.2672803270287791
96000	-46425.1976991095	-44118.28238028552	-2306.9153188239816	-44118.28238028552	-2269.45549987915	29.431826890131227	1	1	1	0	0	1	8.790956	8.790956	8.790956	0.044195	0.112354	0.519712	0.0	0.0	0.043928	4	2.444668174996759E-4	2.0157337049465	0.27677377705682055	0.22330100583734483	0.23264489007705563	0.2672803270287791
100000	-45840.40530211901	-43538.20460100406	-2302.200701114955	-43538.20460100406	-2265.448251763629	29.431868864475515	1	1	1	0	0	1	9.465682	9.465682	9.465682	0.067437	0.108441	0.441363	0.0	0.0	0.084200	4	2.3093910355241232E-4	2.0157337049465	0.27677377705682055	0.22330100583734483	0.23264489007705563	0.2672803270287791
104000	-45340.32162112218	-43036.27079274384	-2304.050828378341	-43036.27079274384	-2264.71479274756	29.433032139361465	1	1	1	0	0	1	9.639174	9.639174	9.639174	0.064096	0.115845	0.452178	0.0	0.0	0.065584	4	2.3106098210356376E-4	2.087042669506671	0.27908330135553017	0.21948226820821085	0.23264489007705563	0.26878954035920344
108000	-44854.96125425821	-42551.57247863929	-2303.3887756189233	-42551.57247863929	-2263.445788742871	29.433036235989313	1	1	1	0	0	1	9.412448	9.412448	9.412448	0.088255	0.106709	0.612130	0.0	0.0	0.073299	4	2.233161783370554E-4	2.087042669506671	0.27908330135553017	0.21948226820821085	0.23264489007705563	0.26878954035920344
