Sample	posterior	likelihood	prior	treeLikelihood.sim1_biased_50_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-865778.9571038587	-865506.7485437383	-272.20856012039536	-865506.7485437383	-254.55570834363903	30.344130840311802	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6	1.0	2.0	0.25	0.25	0.25	0.25
2000	-71538.07371758527	-71446.37514334595	-91.69857423931455	-71446.37514334595	-73.50833990603752	28.348871500899367	0	1	0	0	0	1	0.275856	0.275856	0.275856	0.0	2.222506	0.0	0.0	0.0	4.496380	2	0.04428141279116446	2.0	0.25170929789442853	0.25	0.24955211799180715	0.24873858411376434
4000	-39543.48149711604	-39402.642999522686	-140.83849759335413	-39402.642999522686	-119.88186736472059	28.23328141339764	1	0	0	1	0	0	0.349461	0.349461	0.349461	16.429221	0.0	0.0	18.330235	0.0	0.0	2	0.0035571334509825634	2.0	0.25170929789442853	0.25	0.24955211799180715	0.24873858411376434
6000	-37680.59219900036	-37450.926767592944	-229.66543140741857	-37450.926767592944	-213.34605978787457	28.233280241822527	0	1	0	1	1	1	0.386546	0.386546	0.386546	0.0	8.594920	0.0	6.480217	0.838165	6.469019	4	0.001903993935631043	2.0	0.269164557394452	0.2508603211973558	0.23214215889842038	0.24783296250977188
8000	-35010.810812962336	-34734.96544333196	-275.8453696303792	-34734.96544333196	-264.22008560997944	28.23327679127513	1	1	1	0	0	1	0.539749	0.539749	0.539749	1.224091	1.516277	1.510139	0.0	0.0	2.659227	4	0.0014246106458979594	1.7040801158125258	0.269164557394452	0.24651500555700015	0.23648747453877603	0.24783296250977188
10000	-32784.642332317315	-32433.28335376093	-351.35897855638797	-32433.28335376093	-339.92461888216917	28.233277611829468	1	0	1	1	1	0	0.835066	0.835066	0.835066	0.948564	0.0	0.636577	0.175189	0.204728	0.0	4	9.452218583677584E-4	1.7040801158125258	0.269164557394452	0.24651500555700015	0.22935278452238528	0.2549676525261626
12000	-31903.843036962593	-31497.639443648957	-406.20359331363744	-31497.639443648957	-389.1801665322204	28.23327832042158	1	1	0	1	1	0	1.528314	1.528314	1.528314	0.669309	2.610144	0.0	0.136469	3.803614	0.0	4	7.461488054169213E-4	1.7040801158125258	0.2741840735300214	0.24651500555700015	0.22935278452238528	0.2499481363905932
14000	-30891.253893197543	-30462.149549544825	-429.1043436527174	-30462.149549544825	-414.5748597134107	27.57505460473748	1	0	0	1	1	0	1.728699	1.728699	1.728699	1.229404	0.0	0.0	0.258101	0.596432	0.0	3	6.577891672269915E-4	1.7040801158125258	0.2741840735300214	0.24134764250020269	0.22935278452238528	0.25511549944739065
16000	-29611.87240053299	-29150.609480819305	-461.2629197136856	-29150.609480819305	-444.84004234217036	27.57505432247863	1	1	0	1	1	0	1.682463	1.682463	1.682463	0.522350	0.276380	0.0	0.362976	0.663758	0.0	4	5.47443098701939E-4	1.7040801158125258	0.2741840735300214	0.24134764250020269	0.22935278452238528	0.25511549944739065
18000	-28642.993362394616	-28146.25628324547	-496.73707914914445	-28146.25628324547	-480.7287714281336	27.500257962959726	0	1	0	1	1	1	2.219032	2.219032	2.219032	0.0	0.549754	0.0	0.536862	0.779022	0.771187	4	4.3240986768979396E-4	1.7040801158125258	0.28038347219152404	0.2351482438387	0.22935278452238528	0.25511549944739065
20000	-27882.58090502404	-27355.546725002634	-527.0341800214044	-27355.546725002634	-508.8860339313682	27.550906308676062	1	1	1	1	1	1	2.257637	2.257637	2.257637	0.230663	0.026756	0.081294	0.464899	0.024049	0.226813	6	3.8866956990615635E-4	1.7040801158125258	0.2858207559797018	0.22971096005052227	0.22935278452238528	0.25511549944739065
22000	-27032.670157177625	-26485.221384720684	-547.4487724569391	-26485.221384720684	-529.8784893791199	27.55090560649035	1	0	0	1	1	0	3.140730	3.140730	3.140730	0.419858	0.0	0.0	0.139565	0.178350	0.0	3	2.966049519291814E-4	1.6277875779340276	0.2858207559797018	0.22971096005052227	0.22935278452238528	0.25511549944739065
24000	-26617.95442387184	-26059.329355487353	-558.6250683844873	-26059.329355487353	-536.6365273369889	28.241418946030237	1	0	0	1	1	0	3.382836	3.382836	3.382836	0.230153	0.0	0.0	0.209441	0.650199	0.0	3	2.815871278428572E-4	1.6277875779340276	0.28200886267177144	0.22971096005052227	0.23316467783031564	0.25511549944739065
26000	-26129.243358925494	-25561.95453530559	-567.2888236199027	-25561.95453530559	-544.1490118702776	28.241407025032284	1	0	0	1	1	0	3.482972	3.482972	3.482972	0.151206	0.0	0.0	0.177231	0.254515	0.0	3	2.451026716330845E-4	1.6277875779340276	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
28000	-25954.04967912873	-25382.01649474143	-572.0331843872985	-25382.01649474143	-549.9029312674436	28.241436397355763	1	1	0	1	1	0	4.151322	4.151322	4.151322	0.372215	0.126002	0.0	0.180053	0.239237	0.0	4	2.285776000597149E-4	1.6277875779340276	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
30000	-25827.293667738497	-25242.944422345292	-584.3492453932064	-25242.944422345292	-563.4372112673781	30.812698891683794	1	0	0	1	1	0	4.159113	4.159113	4.159113	0.099496	0.0	0.0	0.173551	0.673535	0.0	3	2.3911130981133026E-4	1.6277875779340276	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
32000	-25641.187370427688	-25061.141943678987	-580.045426748702	-25061.141943678987	-556.5133424855301	29.09816396733855	1	0	1	1	1	0	3.970370	3.970370	3.970370	0.139484	0.0	0.160995	0.048768	0.164936	0.0	4	2.405721804184431E-4	1.6277875779340276	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
34000	-25362.30776658206	-24778.67798188583	-583.6297846962298	-24778.67798188583	-562.2289531275379	29.55787943793074	1	1	1	0	1	1	4.039429	4.039429	4.039429	0.465178	0.334231	0.350959	0.0	0.220553	0.010352	5	2.2766880347702232E-4	1.9168440836363771	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
36000	-25307.68658194543	-24723.55963038039	-584.1269515650371	-24723.55963038039	-562.1914181349363	31.293336427951836	1	0	1	1	0	0	4.004033	4.004033	4.004033	0.176495	0.0	0.028481	0.176551	0.0	0.0	3	2.179298290612771E-4	1.8572514979281638	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
38000	-25084.314562619347	-24506.40429937875	-577.9102632405971	-24506.40429937875	-553.5601546041136	31.293242053374694	1	0	0	1	1	0	5.023358	5.023358	5.023358	1.134726	0.0	0.0	0.110310	0.032427	0.0	3	2.1424100053424436E-4	1.8572514979281638	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
40000	-24841.9815495593	-24264.417493248715	-577.5640563105832	-24264.417493248715	-559.249670113637	31.29318807527355	1	1	1	0	0	0	2.980695	2.980695	2.980695	0.909328	0.189440	0.976710	0.0	0.0	0.0	3	1.9730108656741858E-4	1.8572514979281638	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
42000	-24671.514263862682	-24100.510474785668	-571.0037890770161	-24100.510474785668	-548.8812379969504	31.29326355262466	1	1	1	0	1	0	3.827050	3.827050	3.827050	0.417524	0.768083	0.252736	0.0	0.193623	0.0	4	2.0033720564934743E-4	1.8572514979281638	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
44000	-24627.842657721547	-24060.02416994961	-567.8184877719374	-24060.02416994961	-541.0109026189319	31.560205520720185	1	1	1	0	0	1	3.470486	3.470486	3.470486	0.642938	0.378870	0.306865	0.0	0.0	0.002426	4	1.9208099499755613E-4	1.7735098949925083	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
46000	-24496.095738415148	-23935.418249775037	-560.6774886401095	-23935.418249775037	-538.8998866539257	31.573194640810648	1	1	1	0	1	0	3.794800	3.794800	3.794800	0.168982	0.219240	0.183475	0.0	0.110094	0.0	4	2.0149586820075475E-4	1.7735098949925083	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
48000	-24472.737977764395	-23916.967899336705	-555.7700784276881	-23916.967899336705	-536.5065943037663	32.27775558067449	1	1	1	0	0	0	3.583322	3.583322	3.583322	1.895349	0.649713	0.375266	0.0	0.0	0.0	3	1.984791344421549E-4	1.7735098949925083	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
50000	-24466.108744919107	-23915.716126639025	-550.3926182800813	-23915.716126639025	-531.8137792154421	32.277598933430426	1	1	1	0	0	1	2.964911	2.964911	2.964911	0.078817	0.176929	0.294390	0.0	0.0	0.164747	4	1.9043733092515935E-4	1.7304319800115626	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
52000	-24466.32447888542	-23922.77274393383	-543.5517349515901	-23922.77274393383	-527.8352612004164	31.283719045293804	0	0	1	1	1	1	2.584299	2.584299	2.584299	0.0	0.0	0.236845	0.212124	0.382158	0.305617	4	2.109483723283195E-4	1.7304319800115626	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
54000	-24452.098886647836	-23912.95160018986	-539.147286457977	-23912.95160018986	-523.395634893671	31.28374256104892	1	0	1	1	1	0	2.593217	2.593217	2.593217	0.435468	0.0	0.019336	0.175583	0.509135	0.0	4	2.1375541766396742E-4	1.7304319800115626	0.28200886267177144	0.2232558180621554	0.23316467783031564	0.26157064143575753
56000	-24464.461025318073	-23901.531731436102	-562.9292938819708	-23901.531731436102	-540.3060097906775	31.1466466555682	0	1	0	1	1	0	3.096690	3.096690	3.096690	0.0	3.218405	0.0	0.488497	1.071527	0.0	3	2.1653642489202684E-4	1.7304319800115626	0.28200886267177144	0.22780680589550117	0.2259660617259494	0.264218269706778
58000	-24428.402550435007	-23874.47714455329	-553.9254058817183	-23874.47714455329	-535.1193365342359	31.723816283174642	1	0	0	1	1	0	2.594899	2.594899	2.594899	0.321074	0.0	0.0	0.453574	0.508521	0.0	3	1.960207256722688E-4	1.7304319800115626	0.2897838902572993	0.22003177830997334	0.2259660617259494	0.264218269706778
60000	-24402.006848686502	-23865.854038628728	-536.1528100577751	-23865.854038628728	-519.8069466931212	33.226012447984225	0	1	1	1	1	0	2.544717	2.544717	2.544717	0.0	0.062141	0.339674	0.087815	0.390285	0.0	4	2.1682710091447274E-4	1.7304319800115626	0.2983579595095875	0.2114577090576851	0.2259660617259494	0.264218269706778
62000	-24414.920496866995	-23856.16328265473	-558.7572142122655	-23856.16328265473	-535.9303789366481	33.23089070840952	1	0	0	1	1	1	3.176955	3.176955	3.176955	0.267103	0.0	0.0	0.297636	0.700926	0.362791	4	2.0037182347447537E-4	2.0445247202718573	0.29198840271944326	0.21499717858559128	0.23233561851609363	0.2606788001788718
64000	-24404.41093182807	-23844.351452946685	-560.0594788813864	-23844.351452946685	-539.556496604971	33.23116294441901	0	1	1	1	1	1	3.023337	3.023337	3.023337	0.0	0.222528	0.131901	0.145519	0.014200	0.025087	5	1.9869541754661226E-4	2.0445247202718573	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
66000	-24403.060013714272	-23853.248439720162	-549.8115739941105	-23853.248439720162	-529.3854760781607	33.28888904125748	1	1	1	1	1	0	2.601851	2.601851	2.601851	0.171001	0.539250	0.182993	0.091914	0.328911	0.0	5	2.0021809963102397E-4	1.752860136580654	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
68000	-24379.355475129534	-23841.73624787413	-537.6192272554036	-23841.73624787413	-521.6742181926808	33.288853853243694	1	0	1	1	0	0	2.908449	2.908449	2.908449	1.422638	0.0	0.489573	0.153062	0.0	0.0	3	2.0790766748293734E-4	1.7860590531801974	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
70000	-24362.922968956373	-23819.602534402715	-543.3204345536572	-23819.602534402715	-526.1142940774183	32.838230347366654	1	1	1	1	0	0	2.836859	2.836859	2.836859	0.259666	0.248903	0.341821	0.060737	0.0	0.0	4	2.1563094406284883E-4	1.7791352190814067	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
72000	-24337.638439453425	-23797.163974849667	-540.4744646037597	-23797.163974849667	-524.6420155347059	32.83807451273927	1	1	1	0	0	0	2.753243	2.753243	2.753243	0.366174	0.419142	0.345247	0.0	0.0	0.0	3	2.103787838414754E-4	1.7791352190814067	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
74000	-24354.50190438426	-23803.849205319195	-550.652699065064	-23803.849205319195	-534.1248141260625	32.838436396745934	0	1	1	1	0	1	2.434351	2.434351	2.434351	0.0	0.037474	0.526685	0.230987	0.0	0.501546	4	2.007861572755892E-4	1.823238405598537	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
76000	-24351.878691164988	-23804.4168405088	-547.4618506561891	-23804.4168405088	-531.4884068742035	30.994984661310696	1	0	1	1	0	0	3.306544	3.306544	3.306544	0.630222	0.0	0.120321	0.199868	0.0	0.0	3	2.2100102891357145E-4	1.823238405598537	0.28946321722152596	0.21752236408350858	0.23233561851609363	0.2606788001788718
78000	-24353.167604449463	-23798.001720362205	-555.1658840872575	-23798.001720362205	-534.6147845329909	30.460852161718147	1	1	1	0	0	1	2.860376	2.860376	2.860376	0.740151	0.347205	0.629164	0.0	0.0	0.042900	4	1.9614935877178947E-4	1.823238405598537	0.28946321722152596	0.21872537757773786	0.23113260502186436	0.2606788001788718
80000	-24320.114426689834	-23769.143503089937	-550.9709235998953	-23769.143503089937	-534.5955676383011	31.003742472502356	1	1	1	0	0	0	2.630038	2.630038	2.630038	0.536325	0.295069	0.756031	0.0	0.0	0.0	3	2.1228435011220082E-4	1.823238405598537	0.2809400001358236	0.21872537757773786	0.23113260502186436	0.26920201726457416
82000	-24188.931216155717	-23655.2588994066	-533.6723167491176	-23655.2588994066	-513.069356584083	31.555888619584838	1	1	1	1	0	1	2.253838	2.253838	2.253838	0.485399	0.240506	0.575212	0.024068	0.0	0.049417	5	2.0940044089151844E-4	1.823238405598537	0.2809400001358236	0.21872537757773786	0.23113260502186436	0.26920201726457416
84000	-24148.165646919777	-23611.27130462887	-536.8943422909083	-23611.27130462887	-519.8980488324585	31.544802170135096	1	1	1	0	0	0	3.029291	3.029291	3.029291	1.562495	0.463240	0.584362	0.0	0.0	0.0	3	2.0733532486734785E-4	1.823238405598537	0.2809400001358236	0.2186543190616893	0.2312036635379129	0.26920201726457416
86000	-24155.222903653517	-23613.69801298957	-541.5248906639457	-23613.69801298957	-522.4165488205292	31.544039543400924	0	1	1	0	0	0	2.779598	2.779598	2.779598	0.0	0.227699	0.509090	0.0	0.0	0.0	2	1.995777255620764E-4	1.823238405598537	0.2809400001358236	0.2186543190616893	0.2312036635379129	0.26920201726457416
88000	-24140.91285406148	-23604.886857629906	-536.0259964315742	-23604.886857629906	-514.1339756526048	31.450008115126813	0	1	1	1	0	0	2.572825	2.572825	2.572825	0.0	0.097237	0.802903	0.148337	0.0	0.0	3	1.9943931355316625E-4	1.823238405598537	0.2809400001358236	0.2186543190616893	0.2312036635379129	0.26920201726457416
90000	-24145.691444121818	-23606.87254451288	-538.8188996089382	-23606.87254451288	-518.7989606178822	31.45211667967947	0	1	1	0	0	0	2.570829	2.570829	2.570829	0.0	0.155050	0.559740	0.0	0.0	0.0	2	2.017344966678306E-4	1.823238405598537	0.2809400001358236	0.2186543190616893	0.2312036635379129	0.26920201726457416
92000	-24125.74376451463	-23599.714946749104	-526.028817765526	-23599.714946749104	-506.36566604588444	31.452037678264876	1	1	1	0	0	0	2.493154	2.493154	2.493154	0.232894	0.201576	0.610040	0.0	0.0	0.0	3	2.169173205889942E-4	1.823238405598537	0.2809400001358236	0.2186543190616893	0.2312036635379129	0.26920201726457416
94000	-24100.09036235214	-23575.85440630358	-524.2359560485601	-23575.85440630358	-505.0732920684714	30.232094207343266	0	1	1	0	0	0	2.118486	2.118486	2.118486	0.0	0.217810	0.537971	0.0	0.0	0.0	2	2.1519992561857214E-4	1.9905063040001898	0.2809400001358236	0.22354571083051278	0.2312036635379129	0.2643106254957507
96000	-24056.72562884452	-23545.806660142065	-510.9189687024554	-23545.806660142065	-491.5741119284192	30.231852730406146	1	1	1	0	0	0	2.544886	2.544886	2.544886	0.858599	0.412296	0.513170	0.0	0.0	0.0	3	2.3848823068579238E-4	1.9905063040001898	0.2809400001358236	0.22354571083051278	0.2312036635379129	0.2643106254957507
98000	-24051.995369236847	-23532.352197441218	-519.6431717956293	-23532.352197441218	-496.12671609621134	30.23169997582904	1	1	1	0	0	1	2.495386	2.495386	2.495386	1.100590	0.247551	0.494444	0.0	0.0	0.141508	4	2.19156456427703E-4	1.9905063040001898	0.28989957808969546	0.2142657835149986	0.2380701448514056	0.2577644935439003
100000	-24054.33028627394	-23548.102059322482	-506.2282269514589	-23548.102059322482	-486.9113965659798	30.23154162845636	1	1	1	1	0	0	2.630235	2.630235	2.630235	0.477029	0.416017	0.225992	0.004169	0.0	0.0	4	2.0737361425908013E-4	1.9905063040001898	0.28989957808969546	0.2142657835149986	0.2380701448514056	0.2577644935439003
