traits	regions
1_36278_2018.950685	Region2
0_19467_2018.912329	Region1
1_35998_2018.767123	Region2
0_15415_2016.36612	Region1
1_35980_2018.690411	Region2
0_15160_2016.008197	Region1
1_32905_2015.679452	Region2
1_32901_2015.621918	Region2
0_14040_2015.252055	Region1
1_32238_2015.032877	Region2
0_12599_2014.60274	Region1
0_12402_2014.457534	Region1
0_12013_2014.279452	Region1
1_30655_2013.693151	Region2
0_10053_2013.221918	Region1
0_10023_2013.180822	Region1
1_30012_2013.071233	Region2
0_9724_2012.939891	Region1
1_29773_2012.972678	Region2
1_29535_2012.79235	Region2
2_29414_2012.770492	Region3
0_8910_2012.508197	Region1
0_8242_2012.117486	Region1
0_7780_2011.854795	Region1
1_27312_2011.821918	Region2
0_15501_2016.598361	Region1
0_6723_2011.408219	Region1
1_25772_2011.29863	Region2
2_27473_2011.29589	Region3
2_29792_2013.263014	Region3
2_27173_2011.109589	Region3
0_14322_2015.479452	Region1
2_26680_2010.783562	Region3
1_24237_2010.824658	Region2
2_26535_2010.720548	Region3
1_23751_2010.59726	Region2
1_23573_2010.632877	Region2
2_26050_2010.460274	Region3
1_23271_2010.405479	Region2
1_23110_2010.356164	Region2
2_13372_2004.672131	Region3
1_8682_2004.502732	Region2
0_18273_2018.334247	Region1
2_11399_2003.619178	Region3
1_32873_2015.616438	Region2
2_17315_2006.446575	Region3
1_26369_2011.49863	Region2
2_14621_2005.339726	Region3
0_18767_2018.526027	Region1
1_25641_2011.315068	Region2
1_8981_2004.647541	Region2
1_27780_2012.038251	Region2
1_12740_2006.920548	Region2
1_6731_2003.372603	Region2
1_12950_2006.994521	Region2
1_16209_2008.606557	Region2
1_23850_2010.679452	Region2
2_8248_2002.367123	Region3
0_14724_2015.679452	Region1
0_11445_2013.994521	Region1
1_14299_2007.734247	Region2
2_17288_2006.413699	Region3
1_9821_2005.054795	Region2
0_10111_2013.183562	Region1
1_25799_2011.375342	Region2
1_5975_2003.046575	Region2
2_2889_1999.232877	Region3
2_4090_1999.923288	Region3
2_3633_1999.682192	Region3
2_18612_2007.230137	Region3
1_25932_2011.369863	Region2
2_13713_2004.885246	Region3
2_24359_2009.736986	Region3
2_567_1995.893151	Region3
1_33530_2016.387978	Region2
1_35538_2018.484932	Region2
2_30144_2013.452055	Region3
0_1300_1992.215847	Region1
2_149_1993.772603	Region3
1_35930_2018.654795	Region2
1_22829_2010.276712	Region2
0_495_1991.073973	Region1
2_3417_1999.578082	Region3
2_12280_2004.038251	Region3
1_23394_2010.465753	Region2
1_14657_2007.917808	Region2
0_6492_2011.463014	Region1
1_8546_2004.338798	Region2
0_2410_2004.046448	Region1
1_16497_2008.669399	Region2
0_1743_1993.646575	Region1
1_23845_2010.726027	Region2
2_19085_2007.583562	Region3
2_280_1994.936986	Region3
1_20933_2009.832877	Region2
1_8593_2004.387978	Region2
0_19033_2018.641096	Region1
1_36161_2018.79726	Region2
2_22210_2008.863388	Region3
2_10587_2003.290411	Region3
1_12464_2006.723288	Region2
1_2804_2001.260274	Region2
0_1095_1991.956164	Region1
1_1269_1999.942466	Region2
0_17757_2018.090411	Region1
1_1011_1999.778082	Region2
1_5061_2002.542466	Region2
0_1253_1992.161202	Region1
2_7891_2002.263014	Region3
2_14584_2005.326027	Region3
2_25517_2010.169863	Region3
2_14750_2005.40274	Region3
2_19716_2007.830137	Region3
2_2898_1999.284932	Region3
2_23484_2009.484932	Region3
1_17367_2009	Region2
2_5728_2001.060274	Region3
0_5925_2011.167123	Region1
2_16194_2006.027397	Region3
1_10208_2005.263014	Region2
2_14527_2005.312329	Region3
1_19859_2009.6	Region2
2_1748_1997.947945	Region3
2_17023_2006.561644	Region3
2_27400_2011.284932	Region3
1_10867_2005.687671	Region2
1_5037_2002.484932	Region2
1_14477_2007.854795	Region2
2_25268_2010.106849	Region3
1_6476_2003.216438	Region2
0_9009_2012.562842	Region1
0_3134_2008.270492	Region1
2_19212_2007.591781	Region3
1_30809_2013.676712	Region2
1_12951_2007.008219	Region2
2_18139_2006.876712	Region3
1_13852_2007.517808	Region2
0_15102_2015.969863	Region1
1_16032_2008.631148	Region2
1_16040_2008.521858	Region2
1_16433_2008.726776	Region2
1_18774_2009.312329	Region2
2_21719_2008.704918	Region3
0_10323_2013.391781	Region1
2_23563_2009.616438	Region3
1_19167_2009.446575	Region2
1_16265_2008.644809	Region2
1_21364_2009.923288	Region2
0_9425_2012.871585	Region1
2_18400_2007.079452	Region3
