Sample	posterior	likelihood	prior	treeLikelihood.sim6_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-959341.890093844	-959026.3981562079	-315.4919376362131	-959026.3981562079	-297.83908585945676	23.484027091054653	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6	1.0	2.0	0.25	0.25	0.25	0.25
2000	-58171.54239007909	-58001.336856513684	-170.20553356540432	-58001.336856513684	-144.31665197164307	23.358540080270167	1	1	0	1	1	1	0.232635	0.232635	0.232635	16.716872	35.395397	0.0	7.259947	0.910634	14.682840	5	0.012741044423688955	2.0	0.25	0.25	0.25	0.25
4000	-47189.47302012931	-46897.95798682366	-291.5150333056544	-46897.95798682366	-275.13692102366383	23.60266079866824	0	1	1	1	1	0	0.635773	0.635773	0.635773	0.0	8.662081	0.543478	3.980616	1.190781	0.0	4	0.0025086328216747124	2.0	0.25	0.25	0.25	0.25
6000	-41539.834301973184	-41113.42516240746	-426.4091395657226	-41113.42516240746	-410.1286157174224	23.869761432437908	1	1	1	1	1	0	1.506158	1.506158	1.506158	0.541442	3.909478	0.083205	1.852065	0.348336	0.0	5	0.0012780264375386117	1.972906145041453	0.25	0.25	0.25	0.25
8000	-38844.43534356748	-38365.8636571773	-478.5716863901763	-38365.8636571773	-463.27069662653844	23.92784161348975	0	0	1	1	1	1	1.988472	1.988472	1.988472	0.0	0.0	1.730632	0.554733	0.546218	0.338989	4	9.047671348094134E-4	1.9701362525603339	0.25	0.25	0.25	0.25
10000	-36773.99259829225	-36269.716701136706	-504.27589715554853	-36269.716701136706	-488.6040342037384	23.940276844248906	1	0	1	1	1	0	2.162493	2.162493	2.162493	0.116872	0.0	0.875579	0.247772	0.564378	0.0	4	7.363360027259578E-4	1.9701362525603339	0.25	0.24284846581902714	0.2553171664559461	0.25183436772502676
12000	-35135.10341324831	-34597.5989285992	-537.504484649113	-34597.5989285992	-515.1734776215546	23.45243648751633	1	0	1	1	0	1	2.574536	2.574536	2.574536	0.165774	0.0	0.545352	0.120771	0.0	0.742967	4	6.341689003110553E-4	1.9701362525603339	0.2532936741771123	0.24416445606019294	0.2553171664559461	0.24722470330674864
14000	-34329.87794106502	-33771.89563790732	-557.9823031576941	-33771.89563790732	-539.2597191814115	23.45243752596565	1	1	1	0	1	0	3.017139	3.017139	3.017139	0.324550	0.010158	0.815542	0.0	0.539261	0.0	4	5.491767733192145E-4	1.9701362525603339	0.2532936741771123	0.24416445606019294	0.2553171664559461	0.24722470330674864
16000	-32821.68270666241	-32244.83729161428	-576.8454150481305	-32244.83729161428	-554.7381695546841	23.452439740859017	0	1	1	0	0	1	3.608162	3.608162	3.608162	0.0	0.053351	0.895931	0.0	0.0	0.476446	3	4.4986052022991184E-4	1.9701362525603339	0.2589350420981655	0.24416445606019294	0.24155708046829014	0.2553434213733514
18000	-31239.22083274844	-30663.45072109857	-575.7701116498729	-30663.45072109857	-554.8355705190826	23.452439582831214	1	0	1	1	0	1	3.336704	3.336704	3.336704	0.180541	0.0	0.461813	0.112548	0.0	0.375834	4	4.1642995421717533E-4	1.9701362525603339	0.2678033470499891	0.24416445606019294	0.24155708046829014	0.24647511642152783
