state	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	pInv	gammaShape	kappa	Mascot	Ne_Africa	Ne_Americas	Ne_Asia	Ne_China	Ne_Europe	Ne_Oceania	backwards_Africa_Americas	backwards_Africa_Asia	backwards_Africa_China	backwards_Africa_Europe	backwards_Africa_Oceania	backwards_Americas_Africa	backwards_Americas_Asia	backwards_Americas_China	backwards_Americas_Europe	backwards_Americas_Oceania	backwards_Asia_Africa	backwards_Asia_Americas	backwards_Asia_China	backwards_Asia_Europe	backwards_Asia_Oceania	backwards_China_Africa	backwards_China_Americas	backwards_China_Asia	backwards_China_Europe	backwards_China_Oceania	backwards_Europe_Africa	backwards_Europe_Americas	backwards_Europe_Asia	backwards_Europe_China	backwards_Europe_Oceania	backwards_Oceania_Africa	backwards_Oceania_Americas	backwards_Oceania_Asia	backwards_Oceania_China	backwards_Oceania_Europe	sum(indicatorsConstantBSSVS_)	nMigration_Africa_Americas	nMigration_Africa_Asia	nMigration_Africa_China	nMigration_Africa_Europe	nMigration_Africa_Oceania	nMigration_Americas_Africa	nMigration_Americas_Asia	nMigration_Americas_China	nMigration_Americas_Europe	nMigration_Americas_Oceania	nMigration_Asia_Africa	nMigration_Asia_Americas	nMigration_Asia_China	nMigration_Asia_Europe	nMigration_Asia_Oceania	nMigration_China_Africa	nMigration_China_Americas	nMigration_China_Asia	nMigration_China_Europe	nMigration_China_Oceania	nMigration_Europe_Africa	nMigration_Europe_Americas	nMigration_Europe_Asia	nMigration_Europe_China	nMigration_Europe_Oceania	nMigration_Oceania_Africa	nMigration_Oceania_Americas	nMigration_Oceania_Asia	nMigration_Oceania_China	nMigration_Oceania_Europe	nrMigrationEvents	forwards_Americas_Africa	forwards_Asia_Africa	forwards_China_Africa	forwards_Europe_Africa	forwards_Oceania_Africa	forwards_Africa_Americas	forwards_Asia_Americas	forwards_China_Americas	forwards_Europe_Americas	forwards_Oceania_Americas	forwards_Africa_Asia	forwards_Americas_Asia	forwards_China_Asia	forwards_Europe_Asia	forwards_Oceania_Asia	forwards_Africa_China	forwards_Americas_China	forwards_Asia_China	forwards_Europe_China	forwards_Oceania_China	forwards_Africa_Europe	forwards_Americas_Europe	forwards_Asia_Europe	forwards_China_Europe	forwards_Oceania_Europe	forwards_Africa_Oceania	forwards_Americas_Oceania	forwards_Asia_Oceania	forwards_China_Oceania	forwards_Europe_Oceania
42800000	-44715.11336771881	-44470.07657390212	-245.0367938166896	-44470.07657390212	0.3685109320040001	0.0009310443793302408	0.7175583478399282	0.2224432635567124	7.095046076859042	-184.52389659150265	0.162126	0.162126	0.162126	0.162126	0.162126	0.162126	0.0	0.0	0.512521	1.418306	0.0	0.0	0.0	2.252495	2.587297	3.785902	0.211101	3.022254	0.0	0.535022	6.197815	0.0	3.131102	2.521583	1.111509	7.313546	0.0	0.0	0.0	0.0	3.209673	0.0	0.0	0.0	0.0	0.0	14	0	0	0	0	0	0	4	9	0	0	0	0	9	0	0	0	1	0	0	0	1	6	1	3	0	0	13	21	29	9	106	0.0	0.0	0.512521	1.418306	0.0	0.0	0.0	2.252495	2.587297	3.785902	0.211101	3.022254	0.0	0.535022	6.197815	0.0	3.131102	2.521583	1.111509	7.313545999999999	0.0	0.0	0.0	0.0	3.2096730000000004	0.0	0.0	0.0	0.0	0.0
42850000	-44717.13411287209	-44476.84416868785	-240.289944184236	-44476.84416868785	0.3832950611251149	0.0009845852917263794	0.7253192575330613	0.7761930723524113	6.412009544547695	-172.2188171568812	0.154758	0.154758	0.154758	0.154758	0.154758	0.154758	0.0	0.0	0.0	3.914528	0.0	0.0	0.0	3.265039	1.634596	1.983418	0.0	0.79999	0.0	1.147367	10.929375	0.0	0.227478	4.055948	0.269066	6.152008	0.0	0.0	0.517348	0.0	1.668908	0.0	0.0	0.0	0.47414	0.336987	15	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	1	1	6	1	0	3	0	5	27	37	8	107	0.0	0.0	0.0	3.914528	0.0	0.0	0.0	3.265039	1.634596	1.9834179999999997	0.0	0.79999	0.0	1.147367	10.929375	0.0	0.22747800000000004	4.055948	0.269066	6.152008	0.0	0.0	0.517348	0.0	1.6689080000000003	0.0	0.0	0.0	0.47414	0.336987
42900000	-44691.651500116575	-44461.65456418377	-229.9969359328008	-44461.65456418377	0.3165691778353017	0.000976096186618819	0.8231971631834246	0.8900655041246462	7.014442428439661	-184.24383895282227	0.156391	0.156391	0.156391	0.156391	0.156391	0.156391	1.343858	0.0	0.0	1.27655	0.0	0.0	0.0	2.126635	0.37132	1.70827	0.0	0.0	3.450392	2.39591	6.415859	0.0	0.035417	2.348846	0.0	4.47411	0.0	0.0	0.0	0.0	1.768445	0.0	0.0	0.0	0.0	0.0	12	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	8	4	0	0	1	3	4	0	0	0	5	17	34	7	93	1.343858	0.0	0.0	1.27655	0.0	0.0	0.0	2.126635	0.37132	1.70827	0.0	0.0	3.450392	2.39591	6.415859	0.0	0.035417	2.348846	0.0	4.47411	0.0	0.0	0.0	0.0	1.768445	0.0	0.0	0.0	0.0	0.0
42950000	-44676.13035814646	-44471.41790799679	-204.71245014967357	-44471.41790799679	0.3294581518156686	0.0010005476240379	0.8548259649511484	1.52162393864497	7.544613874194556	-147.88430216059135	0.144807	0.144807	0.144807	0.144807	0.144807	0.144807	0.0	0.0	0.344764	2.972993	0.0	0.649106	0.349668	3.435334	0.524196	1.777574	0.0	0.0	0.0	1.931439	5.639475	0.0	0.0	5.112664	0.0	6.208896	0.0	0.0	0.0	0.0	1.924074	0.0	0.0	0.0	0.0	0.302461	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	7	0	0	0	1	3	4	0	3	0	5	16	31	5	88	0.0	0.0	0.344764	2.972993	0.0	0.649106	0.349668	3.435334	0.524196	1.777574	0.0	0.0	0.0	1.931439	5.639475	0.0	0.0	5.112664	0.0	6.208896	0.0	0.0	0.0	0.0	1.924074	0.0	0.0	0.0	0.0	0.302461
43000000	-44788.59909342665	-44478.35143114009	-310.2476622865621	-44478.35143114009	0.423731097953597	0.0007923858848529251	0.7260757623894548	0.6690577914544008	7.823056723894955	-252.03993972168175	0.195979	0.195979	0.195979	0.195979	0.195979	0.195979	0.0	0.0	0.0	2.248206	0.0	0.606565	0.0	2.55501	3.229077	0.0	0.0	0.0	7.072466	0.367218	2.303773	0.0	0.0	1.006634	0.0	6.764145	0.045303	0.0	0.0	0.0	2.27087	0.0	0.0	0.0	0.0	0.679226	12	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	11	16	0	0	2	4	0	0	2	0	0	6	46	10	104	0.0	0.0	0.0	2.248206	0.0	0.606565	0.0	2.5550100000000002	3.2290770000000006	0.0	0.0	0.0	7.072466	0.36721800000000004	2.303773	0.0	0.0	1.006634	0.0	6.764145	0.045303	0.0	0.0	0.0	2.27087	0.0	0.0	0.0	0.0	0.679226
43050000	-44807.12476646697	-44501.86056993058	-305.2641965363909	-44501.86056993058	0.3916715388902853	0.0007830764916166082	0.8142404663985632	0.6898854661144406	6.484159122851587	-248.44340857186836	0.20493	0.20493	0.20493	0.20493	0.20493	0.20493	2.493128	0.0	0.0	2.174288	0.0	0.0	0.0	3.565444	2.567776	0.691422	0.480738	0.0	1.677556	0.745944	5.864645	0.0	1.269799	2.91672	0.0	6.602615	0.0	0.0	0.0	0.023266	1.323051	0.0	0.0	0.0	0.343766	0.0	15	0	1	0	0	0	1	0	6	0	0	0	0	10	0	0	0	12	6	0	1	1	4	1	0	0	0	2	15	38	6	104	2.493128	0.0	0.0	2.174288	0.0	0.0	0.0	3.565444	2.567776	0.691422	0.480738	0.0	1.677556	0.745944	5.864645	0.0	1.269799	2.91672	0.0	6.602615	0.0	0.0	0.0	0.023266	1.323051	0.0	0.0	0.0	0.343766	0.0
43100000	-44789.77183358062	-44479.60709759562	-310.16473598499954	-44479.60709759562	0.4013064375662487	0.0007277420473420842	0.8699091021623592	2.2127507273896128	7.207865063874307	-240.7452905489208	0.201056	0.201056	0.201056	0.201056	0.201056	0.201056	0.0	0.0	0.0	1.522841	0.0	0.0	2.194434	0.0	2.5888	3.568473	0.919579	0.0	3.875147	0.510054	7.037523	0.0	1.161451	0.939923	0.0	10.064489	0.0	0.763756	0.703358	0.0	1.583962	0.0	0.0	0.0	0.0	0.264008	15	0	0	0	0	0	0	0	4	2	0	0	3	4	1	0	0	0	8	0	0	1	4	1	0	1	0	13	16	43	5	106	0.0	0.0	0.0	1.522841	0.0	0.0	2.194434	0.0	2.5887999999999995	3.568473	0.919579	0.0	3.875147	0.510054	7.037523	0.0	1.161451	0.939923	0.0	10.064489	0.0	0.763756	0.703358	0.0	1.583962	0.0	0.0	0.0	0.0	0.264008
43150000	-44806.09929761389	-44451.6621760627	-354.437121551187	-44451.6621760627	0.3821684854769041	0.0007698575242702514	0.8699091021623592	0.951671368913464	5.84462386150921	-285.2734976899323	0.235476	0.235476	0.235476	0.235476	0.235476	0.235476	0.0	6.242997	0.0	0.611419	0.819403	0.0	0.0	3.739215	3.094379	0.0	2.726334	0.0	4.116599	1.643045	4.325953	1.538191	0.0	2.15251	0.0	8.342657	0.0	0.0	0.0	0.058868	2.198187	0.161007	0.0	0.0	0.0	0.0	15	0	1	0	0	0	0	0	0	0	0	2	0	7	0	0	0	12	6	0	0	0	5	3	0	0	0	0	22	45	12	115	0.0	6.242997	0.0	0.611419	0.819403	0.0	0.0	3.739215	3.094379	0.0	2.726334	0.0	4.116599	1.643045	4.325953	1.538191	0.0	2.15251	0.0	8.342657	0.0	0.0	0.0	0.058868	2.198187	0.161007	0.0	0.0	0.0	0.0
43200000	-44799.5817814982	-44471.84017339073	-327.74160810746656	-44471.84017339073	0.355589855495999	0.0008327315491311441	0.7476712152525989	0.5369073758977647	6.645883337536751	-253.3122242222501	0.215221	0.215221	0.215221	0.215221	0.215221	0.215221	0.0	0.0	0.0	1.275177	0.0	0.0	0.0	8.004221	6.199489	1.956735	0.0	1.849179	0.0	1.289558	7.787905	0.0	0.0	1.599166	0.0	11.112666	0.0	0.0	0.0	0.0	1.402217	0.0	0.0	0.0	0.0	0.0	10	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	8	0	0	0	1	6	3	0	0	0	5	17	59	10	114	0.0	0.0	0.0	1.275177	0.0	0.0	0.0	8.004221	6.199489	1.956735	0.0	1.849179	0.0	1.289558	7.787905	0.0	0.0	1.5991659999999999	0.0	11.112666	0.0	0.0	0.0	0.0	1.402217	0.0	0.0	0.0	0.0	0.0
43250000	-44812.10892094448	-44471.0298182121	-341.07910273237707	-44471.0298182121	0.4293633271349359	0.0006334265878929692	0.7476712152525989	0.6000530267704827	6.7383396155338815	-282.427432547284	0.220654	0.220654	0.220654	0.220654	0.220654	0.220654	0.0	0.573361	0.0	1.743722	0.0	0.0	1.820835	1.302213	1.923623	3.992902	0.0	0.0	5.636701	2.302851	2.77004	0.0	0.372103	0.0	0.0	6.055429	0.0	0.245374	0.0	0.0	1.125871	0.0	0.0	0.060326	0.0	0.0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	6	14	0	0	1	5	4	0	0	0	7	6	49	7	103	0.0	0.573361	0.0	1.7437219999999998	0.0	0.0	1.820835	1.302213	1.923623	3.992902	0.0	0.0	5.636701	2.302851	2.77004	0.0	0.372103	0.0	0.0	6.055429	0.0	0.245374	0.0	0.0	1.125871	0.0	0.0	0.060326	0.0	0.0
