state	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	pInv	gammaShape	Mascot	migrationGLM_Clock	NeGLM_Clock	forwards_Africa_Americas	forwards_Africa_Asia	forwards_Africa_China	forwards_Africa_Europe	forwards_Africa_Oceania	forwards_Americas_Africa	forwards_Americas_Asia	forwards_Americas_China	forwards_Americas_Europe	forwards_Americas_Oceania	forwards_Asia_Africa	forwards_Asia_Americas	forwards_Asia_China	forwards_Asia_Europe	forwards_Asia_Oceania	forwards_China_Africa	forwards_China_Americas	forwards_China_Asia	forwards_China_Europe	forwards_China_Oceania	forwards_Europe_Africa	forwards_Europe_Americas	forwards_Europe_Asia	forwards_Europe_China	forwards_Europe_Oceania	forwards_Oceania_Africa	forwards_Oceania_Americas	forwards_Oceania_Asia	forwards_Oceania_China	forwards_Oceania_Europe	sumMigPredNonZero	sumNePredNonZero	nMigration_Africa_Americas	nMigration_Africa_Asia	nMigration_Africa_China	nMigration_Africa_Europe	nMigration_Africa_Oceania	nMigration_Americas_Africa	nMigration_Americas_Asia	nMigration_Americas_China	nMigration_Americas_Europe	nMigration_Americas_Oceania	nMigration_Asia_Africa	nMigration_Asia_Americas	nMigration_Asia_China	nMigration_Asia_Europe	nMigration_Asia_Oceania	nMigration_China_Africa	nMigration_China_Americas	nMigration_China_Asia	nMigration_China_Europe	nMigration_China_Oceania	nMigration_Europe_Africa	nMigration_Europe_Americas	nMigration_Europe_Asia	nMigration_Europe_China	nMigration_Europe_Oceania	nMigration_Oceania_Africa	nMigration_Oceania_Americas	nMigration_Oceania_Asia	nMigration_Oceania_China	nMigration_Oceania_Europe	nrMigrationEvents
5050000	-44499.4204369763	-44482.1054003071	-17.31503666920826	-44482.1054003071	0.2334983687721441	0.0015915440815347	4.947976853902185	0.6776000320280539	0.300692343649156	30.24944517139188	1.2036340361376006	0.1257012575902132	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	8.933689672375115	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	0.7897400796587116	1.2036340361376006	1.2036340361376006	1.2036340361376006	1.2036340361376006	2	1	0	0	0	0	0	0	1	0	1	0	0	1	3	2	2	0	11	28	6	6	1	3	2	2	0	0	1	0	1	1	72
5100000	-44460.62550734158	-44467.12989882622	6.504391484639051	-44467.12989882622	0.2357997372769308	0.0015793000327603	5.873440042953519	0.834635852938619	1.172804710903812	54.8900607472177	0.7549868380229298	0.1195749141102768	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	1.8570340773622895	5.00447494395027	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	0.7549868380229298	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	14	24	9	8	2	2	1	3	0	0	1	0	0	0	70
5150000	-44458.96233492431	-44489.64141608274	30.67908115843805	-44489.64141608274	0.2588954570877617	0.0014506708127393	6.6942179587685935	0.836171811230912	0.2880419708009901	78.49606107951652	0.9515600166578176	0.1033573539416723	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	6.135109930227817	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	0.9515600166578176	17.876370138978835	0.9515600166578176	0.9515600166578176	2	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	12	23	5	4	1	3	1	1	0	1	2	9	4	4	75
5200000	-44472.00550888395	-44482.68876086121	10.683251977259296	-44482.68876086121	0.2294346322131698	0.0016264887944564	6.866530733559348	0.8498968018094715	0.5920847261361977	58.72511656308904	0.6103606690624218	0.1273691298248639	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.3318332679396497	0.6103606690624218	6.588982910466017	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	0.6103606690624218	2.7810282128926618	3	1	0	0	0	0	0	0	0	0	0	1	0	2	2	3	2	0	11	24	6	2	1	4	2	0	1	0	0	0	1	1	63
5250000	-44469.65384433183	-44471.49367171855	1.8398273867220356	-44471.49367171855	0.2347198270036236	0.0015633819627718	5.489448942572087	0.8806883445709114	1.845047593818437	51.974491013977264	1.1617034165484088	0.1196552833476044	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	10.082170299357273	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1.1617034165484088	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	4	5	1	8	26	4	3	1	5	1	1	0	0	2	0	2	1	69
5300000	-44501.39645292565	-44489.2466601907	-12.1497927349455	-44489.2466601907	0.2402751889107685	0.0013563483223045	6.249721918020066	0.7716450591881162	0.5928912508590628	32.52414420551852	1.3450275031402164	0.1551110875019547	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	0.9488027353388768	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	9.484519778979156	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	1.3450275031402164	2	1	0	0	0	0	0	0	0	0	0	0	0	5	2	2	1	0	7	26	8	7	1	3	1	2	0	0	2	0	1	0	68
5350000	-44509.9709247337	-44479.34040149251	-30.6305232411897	-44479.34040149251	0.2675124012932331	0.0014937700931189	6.648654709044622	0.5792052551503167	0.1772908078127962	18.77637816458154	1.6202270371523642	0.1366593403762483	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	3.655032909825936	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	13.613044624020414	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	1.6202270371523642	2.101654532736394	1.6202270371523642	2.0762994819789387	1.6202270371523642	1.6202270371523642	1.6202270371523642	4	1	0	0	0	2	1	1	0	1	1	0	0	2	3	1	2	2	13	29	5	7	1	4	1	1	1	0	2	0	4	0	84
5400000	-44525.27618740759	-44488.16115073894	-37.115036668646674	-44488.16115073894	0.2592610761562226	0.0015420405981838	4.464134614477993	0.6180308278008464	0.3261197740009012	5.518265566646999	1.0752998605265605	0.1276313131261111	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	0.3688225389588641	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1.0752998605265605	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	2	3	1	14	17	5	5	1	3	1	0	0	0	1	1	3	2	63
5450000	-44524.00988465808	-44482.91563550665	-41.09424915142687	-44482.91563550665	0.2772778461059376	0.0014545529104564	6.712353223807935	0.3885377133985188	0.1017894455438239	6.924459355470652	1.5899039510205488	0.1656645084639915	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	3.800709917044387	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1.5899039510205488	1	1	0	1	0	1	0	0	0	0	1	0	1	3	1	2	6	1	13	22	8	2	1	1	1	1	1	0	2	1	1	1	72
5500000	-44499.00971392305	-44493.91155965613	-5.098154266921483	-44493.91155965613	0.2457377673134257	0.0014259143067033	7.486346123045005	0.767196913595382	0.5793018191437858	40.7228448543714	0.6958538907743798	0.124581682594543	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	3.5332477988135524	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.6958538907743798	0.9779587752791	2	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	14	18	8	3	1	3	1	0	2	0	0	0	0	1	56
