traits	patch	samp.dates	short.names
1_36333_2018.909589	2	2018.909589	1_36333
1_36330_2018.980822	2	2018.980822	1_36330
1_36328_2018.945205	2	2018.945205	1_36328
0_19542_2018.920548	1	2018.920548	0_19542
0_19541_2018.972603	1	2018.972603	0_19541
0_19539_2018.956164	1	2018.956164	0_19539
1_36324_2018.923288	2	2018.923288	1_36324
0_19538_2018.945205	1	2018.945205	0_19538
1_36321_2018.920548	2	2018.920548	1_36321
1_36320_2018.912329	2	2018.912329	1_36320
0_19533_2018.942466	1	2018.942466	0_19533
0_19531_2019.093151	1	2019.093151	0_19531
1_36316_2018.906849	2	2018.906849	1_36316
1_36315_2018.912329	2	2018.912329	1_36315
1_36313_2018.912329	2	2018.912329	1_36313
1_36312_2018.906849	2	2018.906849	1_36312
1_36310_2018.950685	2	2018.950685	1_36310
1_36309_2018.912329	2	2018.912329	1_36309
0_19527_2018.934247	1	2018.934247	0_19527
1_36307_2018.909589	2	2018.909589	1_36307
1_36304_2018.972603	2	2018.972603	1_36304
1_36303_2019.038356	2	2019.038356	1_36303
0_19522_2018.983562	1	2018.983562	0_19522
1_36301_2018.917808	2	2018.917808	1_36301
1_36300_2018.912329	2	2018.912329	1_36300
1_36299_2019.041096	2	2019.041096	1_36299
0_19519_2018.920548	1	2018.920548	0_19519
0_19518_2018.934247	1	2018.934247	0_19518
0_19516_2018.90411	1	2018.90411	0_19516
0_19515_2018.887671	1	2018.887671	0_19515
0_19513_2018.90137	1	2018.90137	0_19513
0_19512_2018.882192	1	2018.882192	0_19512
1_36297_2018.879452	2	2018.879452	1_36297
0_19507_2018.934247	1	2018.934247	0_19507
1_36294_2018.991781	2	2018.991781	1_36294
0_19506_2018.923288	1	2018.923288	0_19506
0_19503_2018.915068	1	2018.915068	0_19503
1_36292_2018.893151	2	2018.893151	1_36292
1_36291_2018.89863	2	2018.89863	1_36291
0_19502_2018.906849	1	2018.906849	0_19502
0_19501_2018.89863	1	2018.89863	0_19501
0_19500_2018.868493	1	2018.868493	0_19500
0_19499_2018.882192	1	2018.882192	0_19499
1_36287_2018.873973	2	2018.873973	1_36287
1_36285_2018.868493	2	2018.868493	1_36285
0_19498_2018.876712	1	2018.876712	0_19498
0_19496_2018.909589	1	2018.909589	0_19496
0_19495_2018.890411	1	2018.890411	0_19495
0_19492_2018.926027	1	2018.926027	0_19492
1_36281_2018.893151	2	2018.893151	1_36281
1_36280_2018.915068	2	2018.915068	1_36280
1_36278_2018.950685	2	2018.950685	1_36278
0_19483_2018.887671	1	2018.887671	0_19483
0_19479_2018.873973	1	2018.873973	0_19479
0_19475_2018.863014	1	2018.863014	0_19475
1_36275_2018.884932	2	2018.884932	1_36275
1_36272_2018.849315	2	2018.849315	1_36272
0_19474_2018.909589	1	2018.909589	0_19474
0_19473_2019.010959	1	2019.010959	0_19473
0_19472_2018.860274	1	2018.860274	0_19472
0_19470_2018.958904	1	2018.958904	0_19470
1_36271_2018.961644	2	2018.961644	1_36271
